signature_id	species	function_label	perturbation_genes	split_group	split	assay_type	source	source_condition	cell_count	cardinality	original_partition	original_oof_fold	component_genes	mapping_status	label_policy	primary_label_score	candidate_label_count	benchmark_eligible	masked_perturbation_features
NORMAN::BPGM	human	GO:0005975	BPGM	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	BPGM+ctrl	393	1	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	2.0907492620866583	4	true	1
NORMAN::BPGM+SAMD1	human	GO:0005975	BPGM+SAMD1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	BPGM+SAMD1	240	2	development	1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.0453746310433292	8	true	2
NORMAN::BPGM+ZBTB1	human	GO:0006260	BPGM+ZBTB1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	BPGM+ZBTB1	283	2	development	0	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.5105685969646707	12	true	2
NORMAN::CBFA2T3	human	GO:0006355	CBFA2T3	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CBFA2T3+ctrl|ctrl+CBFA2T3	531	1	final_test	-1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.666306521040085	4	true	1
NORMAN::CBFA2T3+FEV	human	GO:0030154	CBFA2T3+FEV	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	FEV+CBFA2T3	153	2	development	2	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.5281258972568699	4	true	2
NORMAN::CBFA2T3+POU3F2	human	GO:0030154	CBFA2T3+POU3F2	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	POU3F2+CBFA2T3	202	2	development	1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.45609675779226	4	true	2
NORMAN::CBFA2T3+PRDM1	human	GO:0006355	CBFA2T3+PRDM1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	PRDM1+CBFA2T3	109	2	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.5829911949880806	4	true	2
NORMAN::CBL	human	GO:0030163	CBL	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CBL+ctrl	538	1	development	0	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	2.2868829411895386	5	true	1
NORMAN::CBL+CNN1	human	GO:0030163	CBL+CNN1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CBL+CNN1	288	2	final_test	-1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.1434414705947693	6	true	2
NORMAN::CBL+PTPN12	human	GO:0030163	CBL+PTPN12	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CBL+PTPN12	257	2	development	1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.1434414705947693	5	true	2
NORMAN::CBL+PTPN9	human	GO:0030163	CBL+PTPN9	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CBL+PTPN9	234	2	development	2	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.1434414705947693	5	true	2
NORMAN::CBL+TGFBR2	human	GO:0012501	CBL+TGFBR2	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CBL+TGFBR2	156	2	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.6365188618032622	8	true	2
NORMAN::CBL+UBASH3B	human	GO:0030163	CBL+UBASH3B	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CBL+UBASH3B	326	2	development	0	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.1434414705947693	7	true	2
NORMAN::CDKN1A	human	GO:0006913	CDKN1A	PGC_d7e89572d1a8	train	CRISPRa	Norman_CRISPRa	CDKN1A+ctrl|ctrl+CDKN1A	275	1	development	2	CDKN1A;CDKN1B;CDKN1C	primary_go_audit_label	primary_go_weight_x_two_species_ic	3.219652804165747	6	true	1
NORMAN::CDKN1A+CDKN1B	human	GO:0006913	CDKN1A+CDKN1B	PGC_d7e89572d1a8	train	CRISPRa	Norman_CRISPRa	CDKN1B+CDKN1A	98	2	development	1	CDKN1A;CDKN1B;CDKN1C	primary_go_audit_label	primary_go_weight_x_two_species_ic	3.219652804165747	6	true	2
NORMAN::CDKN1B	human	GO:0012501	CDKN1B	PGC_d7e89572d1a8	train	CRISPRa	Norman_CRISPRa	CDKN1B+ctrl|ctrl+CDKN1B	413	1	final_test	-1	CDKN1A;CDKN1B;CDKN1C	primary_go_audit_label	primary_go_weight_x_two_species_ic	3.2730377236065245	5	true	1
NORMAN::CEBPA	human	GO:0006351	CEBPA	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPA+ctrl|ctrl+CEBPA	580	1	development	1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	2.7357347356001855	6	true	1
NORMAN::CEBPA+CEBPB	human	GO:0006351	CEBPA+CEBPB	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPB+CEBPA	75	2	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.89981578861124	8	true	2
NORMAN::CEBPA+CEBPE	human	GO:0006351	CEBPA+CEBPE	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	CEBPE+CEBPA	240	2	final_test	-1	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.89981578861124	6	true	2
NORMAN::CEBPA+JUN	human	GO:0006355	CEBPA+JUN	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	JUN+CEBPA	70	2	development	3	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.7588791055423119	6	true	2
NORMAN::CEBPA+KLF1	human	GO:0006355	CEBPA+KLF1	PGC_fe2c36c93531	train	CRISPRa	Norman_CRISPRa	KLF1+CEBPA	308	2	development	0	AHR;BAK1;BCL2L11;BPGM;CBFA2T3;CBL;CEBPA;CEBPB;CEBPE;CLDN6;CNN1;COL2A1;DLX2;DUSP9;ETS2;FEV;FOSB;FOXA1;FOXA3;FOXF1;FOXL2;HOXB9;HOXC13;IER5L;IGDCC3;IKZF3;IRF1;ISL2;JUN;KLF1;LYL1;MAP2K3;MAP2K6;MAP7D1;MAPK1;MEIS1;OSR2;POU3F2;PRDM1;PRTG;PTPN12;PTPN9;RUNX1T1;SAMD1;SET;SLC38A2;SNAI1;SPI1;TGFBR2;TMSB4X;UBASH3A;UBASH3B;ZBTB1;ZBTB10;ZBTB25;ZC3HAV1;ZNF318	primary_go_audit_label	primary_go_weight_x_two_species_ic	1.8514516900445388	8	true	2
