signature_id	species	function_label	perturbation_genes	split_group	split	assay_type	source	subseries	subseries_response_class	target_raw	target_stable_id	target_resolution_method	target_resolution_candidates	target_ncbi_gene_id	final_matrix_sample_titles	source_sample_titles	source_title_match_methods	source_title_removed_prefixes	source_gsm_accessions	n_source_arrays	mutant_channels	dye_swap_complete	control_sources	platform	benchmark_ready	benchmark_blocker	mapping_status	label_policy	primary_label_score	candidate_label_count	split_origin	benchmark_eligible	input_function_label	subseries_response_class_role
GSE42526:ECM5	yeast	GO:0006325	YMR176W	YPG_faeb645133f9	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	ECM5	YMR176W	gpl11232_primary_name			ecm5-del-2-a;ecm5-del-2-b	ecm5-del-2-a;ecm5-del-2-b	exact;exact	;	GSM636397;GSM636398	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.65308034386	2	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:PTP2	yeast	GO:0022414	YOR208W	YPG_829722e2e011	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	PTP2	YOR208W	gpl11232_primary_name			ptp2-del-1-b;ptp2-del-1-a	ptp2-del-1-b;ptp2-del-1-a	exact;exact	;	GSM630286;GSM630285	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.75191601493	2	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:TUS1	yeast	GO:0023052	YLR425W	YPG_d8903a021e2c	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	TUS1	YLR425W	gpl11232_primary_name			tus1-del-1-a;tus1-del-1-b	[hs1990] tus1-del-1-a;[hs1990] tus1-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106877;GSM1106878	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.45232138702	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:YPL066W	yeast	GO:0000910	YPL066W	YPG_e5ffb0d4b931	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	YPL066W	YPL066W	direct_systematic_name			ypl066w-del-1-a;ypl066w-del-1-b	[hs1990] ypl066w-del-1-a;[hs1990] ypl066w-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1107056;GSM1107057	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.97865785335	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:IDP3	yeast	GO:0006629	YNL009W	YPG_96522bd6f35f	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	IDP3	YNL009W	gpl11232_primary_name			idp3-del-1-a;idp3-del-1-b	[hs1990] idp3-del-1-a;[hs1990] idp3-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106437;GSM1106438	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.91517770839	4	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:CUL3	yeast	GO:0030163	YGR003W	YPG_1700ca8d3217	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	CUL3	YGR003W	gpl11232_primary_name			cul3-del-1-b;cul3-del-1-a	[hs1990] cul3-del-1-b;[hs1990] cul3-del-1-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106266;GSM1106265	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.28688294119	2	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:YUH1	yeast	GO:0051604	YJR099W	YPG_975045e716bd	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	YUH1	YJR099W	gpl11232_primary_name			yuh1-del-1-b;yuh1-del-1-a	[hs1990] yuh1-del-1-b;[hs1990] yuh1-del-1-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1107080;GSM1107079	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.96603425708	2	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:OTU1	yeast	GO:0006355	YFL044C	YPG_eae4969404ec	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	OTU1	YFL044C	gpl11232_primary_name			otu1-del-1-b;otu1-del-1-a	[hs1990] otu1-del-1-b;[hs1990] otu1-del-1-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106603;GSM1106602	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.85145169004	3	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:GIS3	yeast	GO:0023052	YLR094C	YPG_85402e2a313c	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	GIS3	YLR094C	gpl11232_primary_name			gis3-del-1-a;gis3-del-1-b	[hs1990] gis3-del-1-a;[hs1990] gis3-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106373;GSM1106374	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.30708924832	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:PGM2	yeast	GO:1901135	YMR105C	YPG_2be68ad426de	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	PGM2	YMR105C	gpl11232_primary_name			pgm2-del-2-a;pgm2-del-2-b	pgm2-del-2-a;pgm2-del-2-b	exact;exact	;	GSM819608;GSM819609	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.50406392827	4	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:ATG8	yeast	GO:0006914	YBL078C	YPG_6a069b76696d	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	ATG8	YBL078C	gpl11232_primary_name			atg8-del-1-b;atg8-del-1-a	[hs1990] atg8-del-1-b;[hs1990] atg8-del-1-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106185;GSM1106184	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	3.4269880508	4	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:ATG12	yeast	GO:0006914	YBR217W	YPG_1d4dc9a32c06	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	ATG12	YBR217W	gpl11232_primary_name			atg12-del-1-b;atg12-del-1-a	[hs1990] atg12-del-1-b;[hs1990] atg12-del-1-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106157;GSM1106156	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	3.08428924572	4	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:TRE1	yeast	GO:0006886	YPL176C	YPG_4bc177347f9b	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	TRE1	YPL176C	gpl11232_primary_name			tre1-del-1-a;tre1-del-1-b	[hs1990] tre1-del-1-a;[hs1990] tre1-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106870;GSM1106871	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.55213360483	3	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:YKL027W	yeast	GO:0006399	YKL027W	YPG_9bd13456e806	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	YKL027W	YKL027W	direct_systematic_name			ykl027w-del-1-a;ykl027w-del-1-b	[hs1990] ykl027w-del-1-a;[hs1990] ykl027w-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106999;GSM1107000	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.58537058217	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:SKI2	yeast	GO:0016071	YLR398C	YPG_1017e9dd5de9	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	SKI2	YLR398C	gpl11232_primary_name			ski2-del-1-b;ski2-del-1-a	[hs1990] ski2-del-1-b;[hs1990] ski2-del-1-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106782;GSM1106781	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.76938351446	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:ATG7	yeast	GO:0006914	YHR171W	YPG_ea280ebf6607	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	ATG7	YHR171W	gpl11232_primary_name			atg7-del-1-a;atg7-del-1-b	[hs1990] atg7-del-1-a;[hs1990] atg7-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106182;GSM1106183	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	3.4269880508	2	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:ATG5	yeast	GO:0006914	YPL149W	YPG_a7a609ed1270	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	ATG5	YPL149W	gpl11232_primary_name			atg5-del-1-b;atg5-del-1-a	[hs1990] atg5-del-1-b;[hs1990] atg5-del-1-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106179;GSM1106178	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	3.08428924572	2	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:NUP53	yeast	GO:0006913	YMR153W	YPG_3a04bcb61ced	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	NUP53	YMR153W	gpl11232_primary_name			nup53-del-1-a;nup53-del-1-b	[hs1990] nup53-del-1-a;[hs1990] nup53-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106593;GSM1106594	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.89768752375	3	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:BCK2	yeast	GO:0000278	YER167W	YPG_2c63202533e2	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	BCK2	YER167W	gpl11232_primary_name			bck2-del-1-a;bck2-del-1-b	[hs1990] bck2-del-1-a;[hs1990] bck2-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106188;GSM1106189	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.02143055478	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:NAS6	yeast	GO:0065003	YGR232W	YPG_d035b4ef63bb	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	NAS6	YGR232W	gpl11232_primary_name			nas6-del-1-a;nas6-del-1-b	[hs1990] nas6-del-1-a;[hs1990] nas6-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106561;GSM1106562	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.84334294321	3	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:UBP2	yeast	GO:0030163	YOR124C	YPG_f002410a2bee	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	UBP2	YOR124C	gpl11232_primary_name			ubp2-del-1-a;ubp2-del-1-b	[hs1990] ubp2-del-1-a;[hs1990] ubp2-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106893;GSM1106894	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.05819464707	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:UBC5	yeast	GO:0030163	YDR059C	YPG_1547afb6b5eb	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	UBC5	YDR059C	gpl11232_primary_name			ubc5-del-1-b;ubc5-del-1-a	[hs1990] ubc5-del-1-b;[hs1990] ubc5-del-1-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106886;GSM1106885	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	1.48647391177	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:STE23	yeast	GO:0051604	YLR389C	YPG_fe7e82b47a49	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	STE23	YLR389C	gpl11232_primary_name			ste23-del-1-a	[hs1990] ste23-del-1-a	strip_anchored_submitter_batch_prefix	[hs1990] 	GSM1106829	1	ch2	0	refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.66943083137	2	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:SSB2	yeast	GO:0002181	YNL209W	YPG_2de2ded657cf	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	SSB2	YNL209W	gpl11232_primary_name			ssb2-del-1-a	[hs1990] ssb2-del-1-a	strip_anchored_submitter_batch_prefix	[hs1990] 	GSM1106824	1	ch2	0	refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	3.60391875896	5	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:HSP12	yeast	GO:0007155	YFL014W	YPG_03865f9d8abe	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	HSP12	YFL014W	gpl11232_primary_name			hsp12-del-1-b;hsp12-del-1-a	hsp12-del-1-b;hsp12-del-1-a	exact;exact	;	GSM819560;GSM819559	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	3.43150273116	4	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:TPS3	yeast	GO:0005975	YMR261C	YPG_e22155269e13	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	TPS3	YMR261C	gpl11232_primary_name			tps3-del-1-b;tps3-del-1-a	tps3-del-1-b;tps3-del-1-a	exact;exact	;	GSM819661;GSM819660	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.11037013978	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:NUP157	yeast	GO:0006913	YER105C	YPG_ea988bc04887	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	NUP157	YER105C	gpl11232_primary_name			nup157-del-1-a;nup157-del-1-b	[hs1990] nup157-del-1-a;[hs1990] nup157-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106587;GSM1106588	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.32530480301	3	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:SAP4	yeast	GO:0000278	YGL229C	YPG_8f298837498e	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	SAP4	YGL229C	gpl11232_primary_name			sap4-del-1-b;sap4-del-1-a	[hs1990] sap4-del-1-b;[hs1990] sap4-del-1-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106764;GSM1106763	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.02143055478	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:HRT3	yeast	GO:0030163	YLR097C	YPG_eea87a00e0ba	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	HRT3	YLR097C	gpl11232_primary_name			hrt3-del-1-a;hrt3-del-1-b	[hs1990] hrt3-del-1-a;[hs1990] hrt3-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106415;GSM1106416	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.28688294119	1	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:YOS9	yeast	GO:0030163	YDR057W	YPG_fd63f3496866	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	YOS9	YDR057W	gpl11232_primary_name			yos9-del-2-b;yos9-del-2-a	[hs1990] yos9-del-2-b;[hs1990] yos9-del-2-a	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1107053;GSM1107052	2	ch1;ch2	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.28688294119	3	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
GSE42526:SOL1	yeast	GO:0006913	YNR034W	YPG_b1f64c47fd8f	train	deletion_expression_microarray	NCBI_GEO_GSE42528	GSE42526	non_responsive_le3_significant_mrna_changes	SOL1	YNR034W	gpl11232_primary_name			sol1-del-1-a;sol1-del-1-b	[hs1990] sol1-del-1-a;[hs1990] sol1-del-1-b	strip_anchored_submitter_batch_prefix;strip_anchored_submitter_batch_prefix	[hs1990] ;[hs1990] 	GSM1106804;GSM1106805	2	ch2;ch1	1	refpool;refpool	GPL11232	0		primary_go_audit_label	primary_go_weight_x_two_species_ic	2.60791877137	5	yeast_only_training_component	1	UNASSIGNED_NEEDS_FROZEN_GO	provenance_only_never_a_label
