候选编号,赛道,靶点,化合物_InChIKey,化合物_CID,SMILES,方向,spearman_rho,emp_p,q_bh,剂量,证据等级,模型与版本,备注
YB-011,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,FPR3,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0513,6e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-012,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GALR2,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0511,8e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-013,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GPR151,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0518,6e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-014,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GPR152,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0516,8e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-015,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GPR156,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0511,8e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-016,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GPR50,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.051,9e-05,0.00010588,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-017,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GPR84,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0517,8e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-018,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GPRC5D,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0518,7e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-019,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,HRH3,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0513,5e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-020,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNA5,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0509,8e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-021,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNC1,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0508,0.00012,0.00012,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-022,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNC3,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.051,0.00011,0.00011282,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-023,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNC4,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0507,0.0001,0.00011282,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-024,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCND1,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.051,0.00011,0.00011282,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-025,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNF1,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0514,8e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-026,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNG2,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.051,8e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-027,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNG4,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0508,0.00011,0.00011282,12.2,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-028,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNH2,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0507,9e-05,0.00010588,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-029,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNK17,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0511,6e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-030,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNS1,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0518,7e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-031,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNS2,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.052,7e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-032,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNV2,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0513,8e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-033,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,MCHR1,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.051,8e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-034,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,MRGPRD,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0508,7e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-035,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,NPFFR1,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0516,6e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-036,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OPN4,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0521,5e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-037,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR1E3,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0514,0.00011,0.00011282,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-038,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR8K5,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.051,7e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-039,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,PRLHR,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0527,6e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-040,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,TACR2,SQFNCEKTEKNPCN-UHFFFAOYSA-N,46495113,C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F,+z（耐药富集）,0.0529,4e-05,0.00010322,12.2,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-041,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,ADGRV1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0492,0.00016,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-042,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GPR146,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0494,0.00012,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-043,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GPR152,UQOWKTPSEYWQSM-UHFFFAOYSA-N,3690829,C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-],-z（超敏）,0.0507,4e-05,0.00016842,18.6,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-044,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GPR176,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0492,0.00014,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-045,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,GPR82,DUCXQFAHDINGEV-UHFFFAOYSA-N,748350,C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3,-z（超敏）,0.0511,0.0001,0.00016842,211.0,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-046,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,HTR2A,IQYSTSHQRRVQGE-UHFFFAOYSA-N,830119,CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl,-z（超敏）,0.0497,6e-05,0.00016842,51.82,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-047,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,ITPR2,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0487,0.00017,0.00017,4.09,家族级,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,家族均值轴复现（12/12 在册）
YB-048,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,ITPR3,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0491,0.00016,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-049,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,KCNH8,IQYSTSHQRRVQGE-UHFFFAOYSA-N,830119,CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl,-z（超敏）,0.0498,6e-05,0.00016842,51.82,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-050,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR10A7,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0487,0.00014,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-051,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR10G2,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0489,0.00013,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-052,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR10G4,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0495,0.00011,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-053,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR10G7,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0494,0.00012,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-054,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR10G9,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0495,0.00011,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-055,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR12D2,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0487,0.00017,0.00017,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
YB-056,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR14I1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.0495,0.00012,0.00016842,4.09,靶点级（构造性，无近同谱）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,0.9 阈值下为单例靶点
YB-057,赛道三（离子通道、GPCR 等药靶的小分子药物虚拟筛选）,OR1E1,CLQPEZWMMZFTBG-UHFFFAOYSA-N,4118451,CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C,-z（超敏）,0.05,0.00012,0.00016842,4.09,靶点级（残差检验过阈）,YeastBridge EJ-dc 任务轴（RRF20: direct_pc1 + aligned_C + b2_verbatim，共模双去除）,去掉家族公共分量后仍显著
