human_target_symbol	yeast_deletion_target	component_id	split	eligible_primary_human_target
BECN1	YPL120W	ORTHOCC_C6B4DC7096C71C49	validation	1
BLMH	YNL239W	ORTHOCC_3A72894DF2BFF397	train	1
BOLA1	YAL044W-A	ORTHOCC_EDC1411BDB1B841C	validation	1
BOLA3	YAL046C	ORTHOCC_B30E2CDEB443753A	train	1
BRAP	YHL010C	ORTHOCC_200728C1B5A0780F	train	1
BRD2	YDL070W	ORTHOCC_C72A9582BBDF7163	train	1
BRD3	YDL070W	ORTHOCC_C72A9582BBDF7163	train	1
BRD4	YDL070W	ORTHOCC_C72A9582BBDF7163	train	0
BTF3	YDR252W	ORTHOCC_DCD9DC1BE40B76F3	train	1
BTF3	YPL037C	ORTHOCC_DCD9DC1BE40B76F3	train	1
BTF3L4	YDR252W	ORTHOCC_DCD9DC1BE40B76F3	train	1
BTF3L4	YPL037C	ORTHOCC_DCD9DC1BE40B76F3	train	1
C1D	YHR081W	ORTHOCC_96EDC7F761408669	validation	1
CAMK1	YFR014C	ORTHOCC_FC2A831934179450	train	1
CAMK1	YOL016C	ORTHOCC_FC2A831934179450	train	1
CAMKK2	YGL179C	ORTHOCC_B10DB8BE56466DC6	validation	1
CAP1	YNL138W	ORTHOCC_A45D3E681A78DCFB	validation	1
CCDC150	YGL086W	ORTHOCC_DC61E8FA4C907FC9	train	1
CCDC77	YPL253C	ORTHOCC_15E11F5AB056B281	validation	1
CCNB1	YGR108W	ORTHOCC_A306924A422287B4	validation	1
CCNB1	YPR119W	ORTHOCC_A306924A422287B4	validation	1
CCNB2	YGR108W	ORTHOCC_A306924A422287B4	validation	1
CCNB2	YPR119W	ORTHOCC_A306924A422287B4	validation	1
CCNC	YNL025C	ORTHOCC_28FC6B9DB02E2844	train	1
CD2BP2	YHR156C	ORTHOCC_EE9D1AB3ED09611A	validation	1
CDC40	YDR364C	ORTHOCC_F265E9C1DEDB6B02	validation	1
CDK19	YPL042C	ORTHOCC_21B14881C613B4F4	train	1
CDK5	YPL031C	ORTHOCC_98BA88EEA2975FC6	train	1
CDK8	YPL042C	ORTHOCC_21B14881C613B4F4	train	1
CDK9	YKL139W	ORTHOCC_BBAA082F0F7C9CE8	train	1
CELF1	YCL011C	ORTHOCC_354E7B8CEBD033C7	test	1
CELF1	YNL004W	ORTHOCC_354E7B8CEBD033C7	test	1
CELF2	YCL011C	ORTHOCC_354E7B8CEBD033C7	test	1
CELF2	YNL004W	ORTHOCC_354E7B8CEBD033C7	test	1
CFDP1	YBR231C	ORTHOCC_02F7261663B6539E	train	1
CHAF1B	YML102W	ORTHOCC_C73AA037CA64DCB8	validation	1
CHD1	YER164W	ORTHOCC_429EA79D06384F2A	train	1
CHD2	YER164W	ORTHOCC_429EA79D06384F2A	train	1
CHEK1	YBR274W	ORTHOCC_DED043B4C58D7D7C	train	1
CHKA	YDR147W	ORTHOCC_58262BB1CB93B0A4	train	1
CHKA	YLR133W	ORTHOCC_58262BB1CB93B0A4	train	1
CHKB	YDR147W	ORTHOCC_58262BB1CB93B0A4	train	1
CHKB	YLR133W	ORTHOCC_58262BB1CB93B0A4	train	1
CHMP2A	YKL002W	ORTHOCC_D2815DDA106807F5	train	1
CHMP2B	YKL041W	ORTHOCC_C6AE538E9015DA0C	train	1
CHMP3	YKL041W	ORTHOCC_C6AE538E9015DA0C	train	1
CHMP4A	YLR025W	ORTHOCC_8C07CD577E3BA86E	train	1
CHMP4B	YLR025W	ORTHOCC_8C07CD577E3BA86E	train	1
CHRAC1	YJL065C	ORTHOCC_ED7D089902829F86	test	1
CHTF18	YMR078C	ORTHOCC_716AA7352BEC0507	train	1
CLK1	YLL019C	ORTHOCC_87F1F83C54A70C7D	train	1
CLK2	YLL019C	ORTHOCC_87F1F83C54A70C7D	train	1
CLK3	YLL019C	ORTHOCC_87F1F83C54A70C7D	train	1
CLK4	YLL019C	ORTHOCC_87F1F83C54A70C7D	train	1
CLUH	YMR012W	ORTHOCC_C98168EDA2864735	train	1
CNBP	YNL255C	ORTHOCC_7865C0DA9E4A3B98	train	1
CNOT3	YIL038C	ORTHOCC_B02FBF462420A437	test	1
CNOT4	YER068W	ORTHOCC_789A5F5C656887A3	test	1
CNOT6	YAL021C	ORTHOCC_53E973557433796C	train	1
CNOT6L	YAL021C	ORTHOCC_53E973557433796C	train	1
CNOT6L	YOL042W	ORTHOCC_53E973557433796C	train	1
CNOT9	YNL288W	ORTHOCC_57869B74AC0E2D17	train	1
COQ8A	YGL119W	ORTHOCC_7AFBA1D4C97B7E33	validation	1
COQ8B	YGL119W	ORTHOCC_7AFBA1D4C97B7E33	validation	1
CORO1A	YLR429W	ORTHOCC_42B3D9E12B19BB8C	train	1
CORO1B	YLR429W	ORTHOCC_42B3D9E12B19BB8C	train	1
CORO1C	YLR429W	ORTHOCC_42B3D9E12B19BB8C	train	1
CORO2A	YLR429W	ORTHOCC_42B3D9E12B19BB8C	train	1
CPT2	YAR035W	ORTHOCC_7C7E782B888AE91A	train	1
CRY1	YOR386W	ORTHOCC_B73C582BB495C504	train	1
CRY2	YOR386W	ORTHOCC_B73C582BB495C504	train	1
CSNK1G1	YER123W	ORTHOCC_745E5D6842DB3015	train	1
CSNK1G1	YHR135C	ORTHOCC_745E5D6842DB3015	train	1
CSNK1G1	YNL154C	ORTHOCC_745E5D6842DB3015	train	1
CSNK1G2	YER123W	ORTHOCC_745E5D6842DB3015	train	1
CSNK1G2	YHR135C	ORTHOCC_745E5D6842DB3015	train	1
CSNK1G2	YNL154C	ORTHOCC_745E5D6842DB3015	train	1
CSNK1G3	YER123W	ORTHOCC_745E5D6842DB3015	train	1
CSNK1G3	YHR135C	ORTHOCC_745E5D6842DB3015	train	1
CSNK1G3	YNL154C	ORTHOCC_745E5D6842DB3015	train	1
CSNK2A1	YIL035C	ORTHOCC_0F9B190CA8F22AFC	train	1
CSNK2A2	YIL035C	ORTHOCC_0F9B190CA8F22AFC	train	1
CSNK2B	YOR039W	ORTHOCC_122D23255FC5BF63	train	1
CTPS1	YBL039C	ORTHOCC_B1EA5C1A1E48DE08	train	1
CTPS2	YBL039C	ORTHOCC_B1EA5C1A1E48DE08	train	1
CTR9	YOL145C	ORTHOCC_6C751176D843CBAB	train	1
CTSD	YPL154C	ORTHOCC_D50ADFD406A58CFC	train	1
CTU1	YGL211W	ORTHOCC_E988C4B22F0C40AF	train	1
CUL3	YGR003W	ORTHOCC_CDE9C047A9DF68CD	train	1
CUL4A	YGR003W	ORTHOCC_CDE9C047A9DF68CD	train	1
CUL4B	YGR003W	ORTHOCC_CDE9C047A9DF68CD	train	1
CWC27	YPL064C	ORTHOCC_4429B28E13B5B99D	validation	1
DAZAP1	YNL175C	ORTHOCC_51C5246FB2A01D1A	train	1
DBR1	YKL149C	ORTHOCC_CABAEAFCC233658B	train	1
DCAF7	YDR364C	ORTHOCC_F265E9C1DEDB6B02	validation	1
DCAF7	YGL004C	ORTHOCC_F265E9C1DEDB6B02	validation	1
DCAF7	YPL247C	ORTHOCC_F265E9C1DEDB6B02	validation	1
DCPS	YLR270W	ORTHOCC_454EF69D56EDF9DC	train	1
DCPS	YOR173W	ORTHOCC_454EF69D56EDF9DC	train	1
DCUN1D1	YLR128W	ORTHOCC_CE07654F9902EB11	train	1
DCUN1D2	YLR128W	ORTHOCC_CE07654F9902EB11	train	1
DCUN1D4	YLR128W	ORTHOCC_CE07654F9902EB11	train	1
DCUN1D5	YLR128W	ORTHOCC_CE07654F9902EB11	train	1
DDI2	YER143W	ORTHOCC_7B6B5470F18166E6	test	1
DDX11	YPL008W	ORTHOCC_405DFCC6AD16B42D	train	1
DDX18	YKL161C	ORTHOCC_6CEFDFAD5F736678	test	1
DDX3X	YPL119C	ORTHOCC_398795D0817FA307	train	1
DDX55	YKL161C	ORTHOCC_6CEFDFAD5F736678	test	1
DDX6	YDL160C	ORTHOCC_338EA89171141247	train	1
DENR	YJR014W	ORTHOCC_A966A74A579D6C0C	train	1
DHX29	YLR419W	ORTHOCC_1FB48EFDE0DBB69F	test	1
DHX36	YLR419W	ORTHOCC_1FB48EFDE0DBB69F	test	1
DHX57	YLR419W	ORTHOCC_1FB48EFDE0DBB69F	test	1
DMC1	YER179W	ORTHOCC_EF80E37E530243BD	test	1
DNAJC21	YNL227C	ORTHOCC_559991681F88A5A4	validation	1
DRG2	YGR173W	ORTHOCC_ADDBABFDC61E79E1	validation	1
DRGX	YDR451C	ORTHOCC_37238DD838781884	test	1
DRGX	YML027W	ORTHOCC_37238DD838781884	test	1
DSCC1	YCL016C	ORTHOCC_174E3D781597C11B	train	1
DUS2	YNR015W	ORTHOCC_8724DF41DBDEB3F3	test	1
DUS3L	YLR401C	ORTHOCC_BCDCA67412DD4C7E	train	1
DUSP12	YIR026C	ORTHOCC_221F5FA7890713BE	test	1
DUSP14	YIL113W	ORTHOCC_E2DFE2ADC35EE40F	train	1
DUSP28	YIL113W	ORTHOCC_E2DFE2ADC35EE40F	train	1
DXO	YGL246C	ORTHOCC_FDF03FEE2A5C256A	train	1
DYNC1H1	YKR054C	ORTHOCC_E866162FE31942BA	train	1
DYRK2	YJL141C	ORTHOCC_87F1F83C54A70C7D	train	1
DYRK2	YLL019C	ORTHOCC_87F1F83C54A70C7D	train	1
DYRK3	YJL141C	ORTHOCC_87F1F83C54A70C7D	train	1
DYRK4	YJL141C	ORTHOCC_87F1F83C54A70C7D	train	1
DYRK4	YLL019C	ORTHOCC_87F1F83C54A70C7D	train	1
EBF3	YER016W	ORTHOCC_2DFE8EC803D4ADF3	train	1
EDF1	YOR298C-A	ORTHOCC_337627E3B7864B22	validation	1
EIF2AK4	YDR283C	ORTHOCC_BC2ABC48B7B11C8D	train	1
EIF2D	YDR117C	ORTHOCC_DEF2D460ABB9455C	validation	1
EIF3J	YLR192C	ORTHOCC_3116A31CC875CE42	validation	1
EIF4A1	YKR059W	ORTHOCC_62DF8321A1157188	train	1
EIF4A2	YKR059W	ORTHOCC_62DF8321A1157188	train	1
EIF4A3	YKR059W	ORTHOCC_62DF8321A1157188	train	1
ELAVL1	YCL011C	ORTHOCC_354E7B8CEBD033C7	test	1
ELAVL1	YNL004W	ORTHOCC_354E7B8CEBD033C7	test	1
ELOF1	YKL160W	ORTHOCC_5E0F254FF2CD1A1C	train	1
ELP1	YLR384C	ORTHOCC_3DF1545A60102579	validation	1
ELP2	YGR200C	ORTHOCC_8695BAFAAE00272D	train	1
ELP3	YPL086C	ORTHOCC_45551ECC9E836109	train	1
ELP4	YPL101W	ORTHOCC_ECFC28111D7EB2CD	train	1
ENY2	YBR111W-A	ORTHOCC_DEEBBCF2BF35A6B2	train	1
ERCC4	YPL022W	ORTHOCC_0A0152FDEB84B865	test	1
ERN1	YHR079C	ORTHOCC_273BB3019749AE6E	test	1
ETNK1	YDR147W	ORTHOCC_58262BB1CB93B0A4	train	1
ETNK1	YLR133W	ORTHOCC_58262BB1CB93B0A4	train	1
ETNK2	YDR147W	ORTHOCC_58262BB1CB93B0A4	train	1
ETNK2	YLR133W	ORTHOCC_58262BB1CB93B0A4	train	1
EXOSC10	YOR001W	ORTHOCC_5A3BA1148716F45F	train	1
FAM72B	YHL010C	ORTHOCC_200728C1B5A0780F	train	0
FAM72B	YLL039C	ORTHOCC_200728C1B5A0780F	train	0
FAM72B	YOR052C	ORTHOCC_200728C1B5A0780F	train	0
FAM72C	YHL010C	ORTHOCC_200728C1B5A0780F	train	0
FAM72C	YLL039C	ORTHOCC_200728C1B5A0780F	train	0
FAM72C	YOR052C	ORTHOCC_200728C1B5A0780F	train	0
FAM72D	YHL010C	ORTHOCC_200728C1B5A0780F	train	0
FAM72D	YLL039C	ORTHOCC_200728C1B5A0780F	train	0
FAM72D	YOR052C	ORTHOCC_200728C1B5A0780F	train	0
FBXO9	YLR097C	ORTHOCC_380A31EB7D1EDF3C	test	1
FEN1	YKL113C	ORTHOCC_6C9E3AF7C03044C1	train	1
FZR1	YGL003C	ORTHOCC_A6F36277FD9365AC	test	1
G6PD	YNL241C	ORTHOCC_0A2B8F58C6C876B4	validation	1
GABARAP	YBL078C	ORTHOCC_CB4E8E5F816F29CE	train	1
GABARAPL1	YBL078C	ORTHOCC_CB4E8E5F816F29CE	train	1
GABARAPL2	YBL078C	ORTHOCC_CB4E8E5F816F29CE	train	1
GALK2	YDR009W	ORTHOCC_C6ABCE6FE193435B	train	1
GBF1	YJR031C	ORTHOCC_728FA801A3F981BA	train	1
GGA1	YDR358W	ORTHOCC_5CFC0CF0423BE715	validation	1
GGA1	YHR108W	ORTHOCC_5CFC0CF0423BE715	validation	1
GGA2	YDR358W	ORTHOCC_5CFC0CF0423BE715	validation	1
GGA2	YHR108W	ORTHOCC_5CFC0CF0423BE715	validation	1
GGA3	YDR358W	ORTHOCC_5CFC0CF0423BE715	validation	1
GGA3	YHR108W	ORTHOCC_5CFC0CF0423BE715	validation	1
GID4	YBR105C	ORTHOCC_684E5900CF8B5698	train	1
GLRX	YDR513W	ORTHOCC_57E8056C718DF24D	train	1
GLRX2	YDR513W	ORTHOCC_57E8056C718DF24D	train	1
GLRX3	YDR098C	ORTHOCC_911219C02457F1B1	validation	1
GLRX3	YER174C	ORTHOCC_911219C02457F1B1	validation	1
GMFB	YDR063W	ORTHOCC_03ACF6FD7501D687	train	1
GMFG	YDR063W	ORTHOCC_03ACF6FD7501D687	train	1
GNA11	YER020W	ORTHOCC_7B07333EB2EB4BB8	train	1
GNAI2	YER020W	ORTHOCC_7B07333EB2EB4BB8	train	1
GNAI3	YER020W	ORTHOCC_7B07333EB2EB4BB8	train	1
GNAQ	YER020W	ORTHOCC_7B07333EB2EB4BB8	train	1
GPATCH11	YLR271W	ORTHOCC_8DF796DA957F9D68	train	1
GSK3A	YDL079C	ORTHOCC_AF0A1AA53112FF01	train	1
GSK3A	YMR139W	ORTHOCC_AF0A1AA53112FF01	train	1
GSK3A	YNL307C	ORTHOCC_AF0A1AA53112FF01	train	1
GSK3B	YDL079C	ORTHOCC_AF0A1AA53112FF01	train	1
GSK3B	YMR139W	ORTHOCC_AF0A1AA53112FF01	train	1
GTF2H5	YDR079C-A	ORTHOCC_54C918EC5E2DF501	train	1
GYG1	YJL137C	ORTHOCC_F2FB471A98452BBB	train	1
GYG1	YKR058W	ORTHOCC_F2FB471A98452BBB	train	1
GYS1	YFR015C	ORTHOCC_9B14F8F5C8252A5B	test	1
GYS1	YLR258W	ORTHOCC_9B14F8F5C8252A5B	test	1
HAT1	YPL001W	ORTHOCC_584F0979FC39F961	validation	1
HCCS	YAL039C	ORTHOCC_FC23FC6F76D7A33E	train	1
HDAC1	YNL330C	ORTHOCC_69CEDC00847FC4EB	train	1
HDAC2	YNL330C	ORTHOCC_69CEDC00847FC4EB	train	1
HDAC3	YGL194C	ORTHOCC_96F10366FBDE22B4	train	1
HDLBP	YJL080C	ORTHOCC_08613E395853771C	train	1
HELLS	YFR038W	ORTHOCC_3BDE6A9081C8C827	train	1
HIRA	YOR038C	ORTHOCC_603ECF10D573D1CD	train	1
HIST1H2AB	YBL003C	ORTHOCC_F15A586FB6AA559C	train	1
HIST1H2AK	YBL003C	ORTHOCC_F15A586FB6AA559C	train	0
HK1	YFR053C	ORTHOCC_DBDBC1D07003F543	train	1
HK1	YGL253W	ORTHOCC_DBDBC1D07003F543	train	1
HLTF	YLR032W	ORTHOCC_3F16A788F25DB97C	train	1
HMGB2	YMR072W	ORTHOCC_72837A0B8212E769	train	1
HMGB3	YMR072W	ORTHOCC_72837A0B8212E769	train	1
HMGCR	YML075C	ORTHOCC_745670EDCAC5B297	train	1
HNRNPA0	YNL175C	ORTHOCC_51C5246FB2A01D1A	train	1
HNRNPA1	YNL175C	ORTHOCC_51C5246FB2A01D1A	train	1
HNRNPA1L2	YNL175C	ORTHOCC_51C5246FB2A01D1A	train	0
HNRNPA2B1	YNL175C	ORTHOCC_51C5246FB2A01D1A	train	1
HNRNPA3	YNL175C	ORTHOCC_51C5246FB2A01D1A	train	1
HNRNPAB	YNL175C	ORTHOCC_51C5246FB2A01D1A	train	1
HNRNPD	YNL175C	ORTHOCC_51C5246FB2A01D1A	train	1
HNRNPDL	YNL175C	ORTHOCC_51C5246FB2A01D1A	train	1
HOOK1	YGL086W	ORTHOCC_DC61E8FA4C907FC9	train	1
HSP90AA1	YMR186W	ORTHOCC_54608ED2D7A4AF1B	train	1
HSP90AB1	YMR186W	ORTHOCC_54608ED2D7A4AF1B	train	1
HUWE1	YDR457W	ORTHOCC_4285039AB1DB4032	test	1
IBA57	YJR122W	ORTHOCC_E2BC4AE9A022BF2F	test	1
ICMT	YDR410C	ORTHOCC_FA9453DC43A47458	test	1
IDE	YLR389C	ORTHOCC_333DD671049F29FE	train	1
IDH1	YLR174W	ORTHOCC_1FC8F686F268C8C8	train	1
IDH1	YNL009W	ORTHOCC_1FC8F686F268C8C8	train	1
IDH2	YLR174W	ORTHOCC_1FC8F686F268C8C8	train	1
IDH2	YNL009W	ORTHOCC_1FC8F686F268C8C8	train	1
IGHMBP2	YKL017C	ORTHOCC_5CC88E8DB322FC95	train	1
ING1	YOR064C	ORTHOCC_CC98656B897F8926	train	1
ING2	YOR064C	ORTHOCC_CC98656B897F8926	train	1
ING4	YOR064C	ORTHOCC_CC98656B897F8926	train	1
ING5	YOR064C	ORTHOCC_CC98656B897F8926	train	1
IPO11	YPL125W	ORTHOCC_143D9171055097D2	test	1
IPO4	YER110C	ORTHOCC_A7CEACCA484E60D0	train	1
IPO9	YGL241W	ORTHOCC_FBF0D0CA6282B6C8	test	1
ISG20L2	YOL080C	ORTHOCC_CDBA9029B8D975FF	validation	1
ISYNA1	YJL153C	ORTHOCC_149D733C93E3D877	train	1
ITPA	YJR069C	ORTHOCC_967DF415EE005D31	train	1
KAT7	YMR127C	ORTHOCC_6B2779804408CEE4	train	1
KAT8	YMR127C	ORTHOCC_6B2779804408CEE4	train	1
KDM5A	YMR176W	ORTHOCC_9EB7EC056320D515	train	1
KDM5B	YMR176W	ORTHOCC_9EB7EC056320D515	train	1
KDM5C	YJR119C	ORTHOCC_9EB7EC056320D515	train	1
KDM5C	YMR176W	ORTHOCC_9EB7EC056320D515	train	1
KIF11	YBL063W	ORTHOCC_54058D0F799FE4ED	train	1
KPNA1	YEL013W	ORTHOCC_507F6E014312A943	train	1
KPNA2	YEL013W	ORTHOCC_507F6E014312A943	train	1
KPNA5	YEL013W	ORTHOCC_507F6E014312A943	train	1
KPNA6	YEL013W	ORTHOCC_507F6E014312A943	train	1
KRT10	YDL197C	ORTHOCC_8C9BE189502AD0B6	validation	1
KRT17	YDL197C	ORTHOCC_8C9BE189502AD0B6	validation	1
KRT19	YDL197C	ORTHOCC_8C9BE189502AD0B6	validation	1
KTI12	YKL110C	ORTHOCC_6117860441259300	train	1
LEO1	YOR123C	ORTHOCC_D44B8FF6497C2F16	train	1
LETM1	YPR125W	ORTHOCC_62E01075FF98D7BB	test	1
LSM12	YHR121W	ORTHOCC_E14CEC01F16B1AAA	train	1
LSM6	YDR378C	ORTHOCC_1297D6C31895F0E1	train	1
LSM7	YNL147W	ORTHOCC_D0762231E28EB342	test	1
LTN1	YMR247C	ORTHOCC_BAA596CBD1F20ABE	test	1
LTV1	YKL143W	ORTHOCC_9B13515D6567A303	train	1
MAD1L1	YGL086W	ORTHOCC_DC61E8FA4C907FC9	train	1
MAD2L1	YJL030W	ORTHOCC_8231E032DEB24E0A	test	1
MAP2K1	YDL159W	ORTHOCC_79FA27AF771CEB50	validation	1
MAP2K2	YDL159W	ORTHOCC_79FA27AF771CEB50	validation	1
MAP2K2	YJL128C	ORTHOCC_79FA27AF771CEB50	validation	1
MAP2K5	YOR231W	ORTHOCC_59C57E5DA79BCC6A	train	1
MAP2K5	YPL140C	ORTHOCC_59C57E5DA79BCC6A	train	1
MAPK1	YBL016W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK1	YGR040W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK1	YHR030C	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK1	YLR113W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK11	YBL016W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK11	YGR040W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK11	YHR030C	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK11	YLR113W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK12	YBL016W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK12	YGR040W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK12	YHR030C	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK12	YKL161C	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK12	YLR113W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK14	YBL016W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK14	YGR040W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK14	YHR030C	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK14	YLR113W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK3	YBL016W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK3	YGR040W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK3	YHR030C	ORTHOCC_6CEFDFAD5F736678	test	1
MAPK3	YLR113W	ORTHOCC_6CEFDFAD5F736678	test	1
MAPRE1	YER016W	ORTHOCC_2DFE8EC803D4ADF3	train	1
MAPRE2	YER016W	ORTHOCC_2DFE8EC803D4ADF3	train	1
MAPRE3	YER016W	ORTHOCC_2DFE8EC803D4ADF3	train	1
MARK2	YOR233W	ORTHOCC_44E094DE499E24E5	test	1
MARK2	YPL141C	ORTHOCC_44E094DE499E24E5	test	1
MARK3	YOR233W	ORTHOCC_44E094DE499E24E5	test	1
MARK3	YPL141C	ORTHOCC_44E094DE499E24E5	test	1
MARK4	YOR233W	ORTHOCC_44E094DE499E24E5	test	1
MARK4	YPL141C	ORTHOCC_44E094DE499E24E5	test	1
MAT2A	YLR180W	ORTHOCC_3A32D710FCE38054	train	1
MCTS1	YER007C-A	ORTHOCC_751D05FEBCE7D3B1	train	1
ME1	YKL029C	ORTHOCC_30311CDD2985F593	validation	1
ME2	YKL029C	ORTHOCC_30311CDD2985F593	validation	1
METTL14	YCL055W	ORTHOCC_DC1D046DA1E05041	validation	1
MINDY2	YGL082W	ORTHOCC_02ED4C55A362E304	train	1
MITF	YJR060W	ORTHOCC_8825AE88407417EE	validation	1
MLH1	YMR167W	ORTHOCC_BF19CDE71472C40D	train	1
MLH3	YPL164C	ORTHOCC_25D5892A9F774B68	train	1
MMS19	YIL128W	ORTHOCC_26C3AADC2DECF33A	validation	1
MOCS3	YHR111W	ORTHOCC_01DA0A3F219084F2	train	1
MORF4L1	YPR023C	ORTHOCC_4B72C38F839378BA	train	1
MORF4L2	YPR023C	ORTHOCC_4B72C38F839378BA	train	1
MPST	YOR251C	ORTHOCC_71516C7A437CA5CD	train	1
MRE11	YMR224C	ORTHOCC_779DF172A44D72D2	validation	1
MRTO4	YKL009W	ORTHOCC_6AAB7A5D30344D15	test	1
MSH2	YOL090W	ORTHOCC_D07547A15A5756F9	test	1
MSH3	YCR092C	ORTHOCC_F13387385E67D6BA	test	1
MSH5	YDL154W	ORTHOCC_8C5AC420E593BCD5	validation	1
MSH6	YDR097C	ORTHOCC_7919D301DD51328F	train	1
