symbol	status	accession	seq_len	in_pairs	in_norman
CLDN6	ok	P56747	220	0	1
CLK1	ok	P49759	484	1	0
CLK2	ok	P49760	499	1	0
CLK3	ok	P49761	490	1	0
CLK4	ok	Q9HAZ1	481	1	0
CLUH	ok	O75153	1309	1	0
CNBP	ok	P62633	177	1	0
CNN1	ok	P51911	297	0	1
CNNM4	ok	Q6P4Q7	775	0	1
CNOT3	ok	O75175	753	1	0
CNOT4	ok	O95628	575	1	0
CNOT6	ok	Q9ULM6	557	1	0
CNOT6L	ok	Q96LI5	555	1	0
CNOT9	ok	Q92600	299	1	0
COL1A1	ok	P02452	1464	0	1
COL2A1	ok	P02458	1487	0	1
COQ8A	ok	Q8NI60	647	1	0
COQ8B	ok	Q96D53	544	1	0
CORO1A	ok	P31146	461	1	0
CORO1B	ok	Q9BR76	489	1	0
CORO1C	ok	Q9ULV4	474	1	0
CORO2A	ok	Q92828	525	1	0
CPT2	ok	P23786	658	1	0
CRY1	ok	Q16526	586	1	0
CRY2	ok	Q49AN0	593	1	0
CSNK1G1	ok	Q9HCP0	422	1	0
CSNK1G2	ok	P78368	415	1	0
CSNK1G3	ok	Q9Y6M4	447	1	0
CSNK2A1	ok	P68400	391	1	0
CSNK2A2	ok	P19784	350	1	0
CSNK2B	ok	P67870	215	1	0
CSRNP1	ok	Q96S65	589	0	1
CTPS1	ok	P17812	591	1	0
CTPS2	ok	Q9NRF8	586	1	0
CTR9	ok	Q6PD62	1173	1	0
CTSD	ok	P07339	412	1	0
CTU1	ok	Q7Z7A3	348	1	0
CUL3	ok	Q13618	768	1	0
CUL4A	ok	Q13619	759	1	0
CUL4B	ok	Q13620	913	1	0
CWC27	ok	Q6UX04	472	1	0
DAZAP1	ok	Q96EP5	407	1	0
DBR1	ok	Q9UK59	544	1	0
DCAF7	ok	P61962	342	1	0
DCPS	ok	Q96C86	337	1	0
DCUN1D1	ok	Q96GG9	259	1	0
DCUN1D2	ok	Q6PH85	259	1	0
DCUN1D4	ok	Q92564	292	1	0
DCUN1D5	ok	Q9BTE7	237	1	0
DDI2	ok	Q5TDH0	399	1	0
DDX11	ok	Q96FC9	970	1	0
DDX18	ok	Q9NVP1	670	1	0
DDX3X	ok	O00571	662	1	0
DDX55	ok	Q8NHQ9	600	1	0
DDX6	ok	P26196	483	1	0
DENR	ok	O43583	198	1	0
DHX29	ok	Q7Z478	1369	1	0
DHX36	ok	Q9H2U1	1008	1	0
DHX57	ok	Q6P158	1386	1	0
DLX2	ok	Q07687	328	0	1
DMC1	ok	Q8IV36	788	1	0
DNAJC21	ok	Q5F1R6	531	1	0
DRG2	ok	P55039	364	1	0
DRGX	ok	A6NNA5	263	1	0
DSCC1	ok	Q9BVC3	393	1	0
DUS2	ok	Q9NX74	493	1	0
DUS3L	ok	Q96G46	650	1	0
DUSP12	ok	Q9UNI6	340	1	0
DUSP14	ok	O95147	198	1	0
DUSP28	ok	Q4G0W2	176	1	0
DUSP9	ok	Q99956	384	0	1
DXO	ok	O77932	396	1	0
DYNC1H1	ok	Q14204	4646	1	0
DYRK2	ok	Q92630	601	1	0
DYRK3	ok	O43781	588	1	0
DYRK4	ok	Q9NR20	520	1	0
EBF3	ok	Q9H4W6	596	1	0
EDF1	ok	O60869	148	1	0
EGR1	ok	P18146	543	0	1
EIF2AK4	ok	Q9P2K8	1649	1	0
EIF2D	ok	P41214	584	1	0
EIF3J	ok	O75822	258	1	0
EIF4A1	ok	P60842	406	1	0
EIF4A2	ok	Q14240	407	1	0
EIF4A3	ok	P38919	411	1	0
ELAVL1	ok	Q15717	326	1	0
ELOF1	ok	P60002	83	1	0
ELP1	ok	O95163	1332	1	0
ELP2	ok	Q6IA86	826	1	0
ELP3	ok	Q9H9T3	547	1	0
ELP4	ok	Q96EB1	424	1	0
ENY2	ok	Q9NPA8	101	1	0
ERCC4	ok	Q92889	916	1	0
ERN1	ok	O75460	977	1	0
ETNK1	ok	Q9HBU6	452	1	0
ETNK2	ok	Q9NVF9	386	1	0
ETS2	ok	P15036	469	0	1
EXOSC10	ok	Q01780	885	1	0
FAM72B	ok	Q86X60	149	1	0
FAM72C	ok	H0Y354	149	1	0
FAM72D	ok	Q6L9T8	149	1	0
FBXO9	ok	Q9UK97	447	1	0
FEN1	ok	P39748	380	1	0
FEV	ok	Q99581	238	0	1
FOSB	ok	P53539	338	0	1
FOXA1	ok	P55317	472	0	1
FOXA3	ok	P55318	350	0	1
FOXF1	ok	Q12946	379	0	1
FOXL2	ok	P58012	376	0	1
FOXO4	ok	P98177	505	0	1
FZR1	ok	Q9UM11	496	1	0
G6PD	ok	P11413	515	1	0
GABARAP	ok	O95166	117	1	0
GABARAPL1	ok	Q9H0R8	117	1	0
GABARAPL2	ok	P60520	117	1	0
GALK2	ok	Q01415	458	1	0
GBF1	ok	Q92538	1860	1	0
GGA1	ok	Q9UJY5	639	1	0
GGA2	ok	Q9UJY4	613	1	0
GGA3	ok	Q9NZ52	723	1	0
GID4	ok	Q8IVV7	300	1	0
GLB1L2	ok	Q8IW92	636	0	1
GLRX	ok	P35754	106	1	0
GLRX2	ok	Q9NS18	164	1	0
GLRX3	ok	O76003	335	1	0
GMFB	ok	P60983	142	1	0
GMFG	ok	O60234	142	1	0
GNA11	ok	P29992	359	1	0
GNAI2	ok	P04899	355	1	0
GNAI3	ok	P08754	354	1	0
GNAQ	ok	P50148	359	1	0
GPATCH11	ok	Q8N954	285	1	0
GSK3A	ok	P49840	483	1	0
GSK3B	ok	P49841	420	1	0
GTF2H5	ok	Q6ZYL4	71	1	0
GYG1	ok	P46976	350	1	0
GYS1	ok	P13807	737	1	0
HAT1	ok	O14929	419	1	0
HCCS	ok	P53701	268	1	0
HDAC1	ok	Q13547	482	1	0
HDAC2	ok	Q92769	488	1	0
HDAC3	ok	O15379	428	1	0
HDLBP	ok	Q00341	1268	1	0
HELLS	ok	Q9NRZ9	838	1	0
HES7	ok	Q9BYE0	225	0	1
HIRA	ok	P54198	1017	1	0
HIST1H2AB	ok	P04908	130	1	0
HIST1H2AK	ok	P0C0S8	130	1	0
HK1	ok	P19367	917	1	0
HK2	ok	P52789	917	0	1
HLTF	ok	Q14527	1009	1	0
HMGB2	ok	P26583	209	1	0
HMGB3	ok	O15347	200	1	0
HMGCR	ok	P04035	888	1	0
HNF4A	ok	P41235	474	0	1
HNRNPA0	ok	Q13151	305	1	0
HNRNPA1	ok	P09651	372	1	0
HNRNPA1L2	ok	Q32P51	320	1	0
HNRNPA2B1	ok	P22626	353	1	0
HNRNPA3	ok	P51991	378	1	0
HNRNPAB	ok	Q99729	332	1	0
HNRNPD	ok	Q14103	355	1	0
HNRNPDL	ok	O14979	420	1	0
HOOK1	ok	Q9UJC3	728	1	0
HOXA13	ok	P31271	388	0	1
HOXB9	ok	P17482	250	0	1
HOXC13	ok	P31276	330	0	1
HSP90AA1	ok	P07900	732	1	0
HSP90AB1	ok	P08238	724	1	0
HUWE1	ok	Q7Z6Z7	4374	1	0
IBA57	ok	Q5T440	356	1	0
ICMT	ok	O60725	284	1	0
IDE	ok	P14735	1019	1	0
IDH1	ok	O75874	414	1	0
IDH2	ok	P48735	452	1	0
IGDCC3	ok	Q8IVU1	814	0	1
IGHMBP2	ok	P38935	993	1	0
IKZF3	ok	Q9UKT9	509	0	1
ING1	ok	Q9UK53	422	1	0
ING2	ok	Q9H160	280	1	0
ING4	ok	Q9UNL4	249	1	0
ING5	ok	Q8WYH8	240	1	0
IPO11	ok	Q9UI26	975	1	0
IPO4	ok	Q8TEX9	1081	1	0
IPO9	ok	Q96P70	1041	1	0
IRF1	ok	P10914	325	0	1
ISG20L2	ok	Q9H9L3	353	1	0
ISL2	ok	Q96A47	359	0	1
ISYNA1	ok	Q9NPH2	558	1	0
ITPA	ok	Q9BY32	194	1	0
JUN	ok	P05412	331	0	1
KAT7	ok	O95251	611	1	0
KAT8	ok	Q9H7Z6	458	1	0
KDM5A	ok	P29375	1690	1	0
KDM5B	ok	Q9UGL1	1544	1	0
KDM5C	ok	P41229	1560	1	0
KIF11	ok	P52732	1056	1	0
KIF18B	ok	Q86Y91	852	0	1
KIF2C	ok	Q99661	725	0	1
KLF1	ok	Q13351	362	0	1
KMT2A	ok	Q03164	3969	0	1
KPNA1	ok	P52294	538	1	0
KPNA2	ok	P52292	529	1	0
KPNA5	ok	O15131	539	1	0
KPNA6	ok	O60684	536	1	0
KRT10	ok	P13645	584	1	0
KRT17	ok	Q04695	432	1	0
KRT19	ok	P08727	400	1	0
KTI12	ok	Q96EK9	354	1	0
LEO1	ok	Q8WVC0	666	1	0
LETM1	ok	O95202	739	1	0
LHX1	ok	P48742	406	0	1
LSM12	ok	Q3MHD2	195	1	0
LSM6	ok	P62312	80	1	0
LSM7	ok	Q9UK45	103	1	0
LTN1	ok	O94822	1766	1	0
LTV1	ok	Q96GA3	475	1	0
LYL1	ok	P12980	280	0	1
MAD1L1	ok	Q9Y6D9	718	1	0
MAD2L1	ok	Q13257	205	1	0
MAML2	ok	Q8IZL2	1156	0	1
MAP2K1	ok	Q02750	393	1	0
MAP2K2	ok	P36507	400	1	0
MAP2K3	ok	P46734	347	0	1
MAP2K5	ok	Q13163	448	1	0
MAP2K6	ok	P52564	334	0	1
MAP4K3	ok	Q8IVH8	894	0	1
MAP4K5	ok	Q9Y4K4	846	0	1
MAP7D1	ok	Q3KQU3	841	0	1
MAPK1	ok	P28482	360	1	1
MAPK11	ok	Q15759	364	1	0
MAPK12	ok	P53778	367	1	0
MAPK14	ok	Q16539	360	1	0
MAPK3	ok	P27361	379	1	0
MAPRE1	ok	Q15691	268	1	0
MAPRE2	ok	Q15555	327	1	0
MAPRE3	ok	Q9UPY8	281	1	0
MARK2	ok	Q7KZI7	788	1	0
MARK3	ok	P27448	753	1	0
MARK4	ok	Q96L34	752	1	0
MAT2A	ok	P31153	395	1	0
MCTS1	ok	Q9ULC4	181	1	0
ME1	ok	P48163	572	1	0
ME2	ok	P23368	584	1	0
MEIS1	ok	O00470	390	0	1
METTL14	ok	Q9HCE5	456	1	0
MIDN	ok	Q504T8	468	0	1
MINDY2	ok	Q8NBR6	621	1	0
MITF	ok	O75030	526	1	0
MLH1	ok	P40692	756	1	0
MLH3	ok	Q9UHC1	1453	1	0
MMS19	ok	Q96T76	1030	1	0
MOCS3	ok	O95396	460	1	0
MORF4L1	ok	Q9UBU8	362	1	0
MORF4L2	ok	Q15014	288	1	0
MPST	ok	P25325	297	1	0
MRE11	ok	P49959	708	1	0
MRTO4	ok	Q9UKD2	239	1	0
MSH2	ok	P43246	934	1	0
MSH3	ok	P20585	1137	1	0
MSH5	ok	O43196	834	1	0
MSH6	ok	P52701	1360	1	0
MSI2	ok	Q96DH6	328	1	0
MTHFR	ok	P42898	656	1	0
MTM1	ok	Q13496	603	1	0
MTMR2	ok	Q13614	643	1	0
MTMR9	ok	Q96QG7	549	1	0
MTOR	ok	P42345	2549	1	0
MUS81	ok	Q96NY9	551	1	0
NACA2	ok	Q9H009	215	1	0
NAP1L1	ok	P55209	391	1	0
NAP1L4	ok	Q99733	375	1	0
NCL	ok	P19338	710	0	1
NEDD8	ok	Q15843	81	1	0
NEDD8-MDP1	no_result			1	0
NEK2	ok	P51955	445	1	0
NFX1	ok	Q12986	1120	1	0
NFYB	ok	P25208	207	1	0
NIT1	ok	Q86X76	327	0	1
NLK	ok	Q9UBE8	527	1	0
NME1	ok	P15531	152	1	0
NME3	ok	Q13232	169	1	0
NPRL2	ok	Q8WTW4	380	1	0
NSUN2	ok	Q08J23	767	1	0
NSUN5	ok	Q96P11	429	1	0
NTHL1	ok	P78549	304	1	0
NUP155	ok	O75694	1391	1	0
OAT	ok	P04181	439	1	0
OGFOD1	ok	Q8N543	542	1	0
OSBP	ok	P22059	807	1	0
OSBP2	ok	Q969R2	916	1	0
OSR2	ok	Q8N2R0	312	0	1
OTP	ok	Q5XKR4	325	1	0
P4HB	ok	P07237	508	1	0
PAAF1	ok	Q9BRP4	392	1	0
PABPC1	ok	P11940	636	1	0
PAF1	ok	Q8N7H5	531	1	0
PAFAH1B1	ok	P43034	410	1	0
PAK1	ok	Q13153	545	1	0
PAK2	ok	Q13177	524	1	0
PAN2	ok	Q9HBH5	336	1	0
PAN3	ok	Q58A45	887	1	0
PC	ok	P11498	1178	1	0
PCBP1	ok	Q15365	356	1	0
PCBP2	ok	Q15366	365	1	0
PCBP4	ok	P57723	403	1	0
PCID2	ok	Q5JVF3	399	1	0
PDCD5	ok	O14737	125	1	0
PDE12	ok	Q6L8Q7	609	1	0
PDIA3	ok	P30101	505	1	0
PDIA4	ok	P13667	645	1	0
PDK1	ok	Q15118	436	1	0
PDK2	ok	Q15119	407	1	0
PDP2	ok	Q9P2J9	529	1	0
PDXP	ok	Q96GD0	296	1	0
PEMT	ok	Q9UBM1	199	1	0
PEX10	ok	O60683	326	1	0
PEX2	ok	P28328	305	1	0
PEX5	ok	P50542	639	1	0
PFKL	ok	P17858	780	1	0
PFKM	ok	P08237	780	1	0
PFKP	ok	Q01813	784	1	0
PGLS	ok	O95336	258	1	0
PGP	ok	A6NDG6	321	1	0
PHKG2	ok	P15735	406	1	0
PIF1	ok	Q9H611	641	1	0
PIK3R4	ok	Q99570	1358	1	0
PIKFYVE	ok	Q9Y2I7	2098	1	0
PITX1	ok	P78337	314	1	0
PITX3	ok	O75364	302	1	0
PLAA	ok	Q9Y263	795	1	0
PLCD1	ok	P51178	756	1	0
PLCD3	ok	Q8N3E9	789	1	0
PLCG1	ok	P19174	1290	1	0
PLCL2	ok	Q9UPR0	1127	1	0
PLK4	ok	O00444	970	0	1
PMS2	ok	P54278	862	1	0
POLB	ok	P06746	335	1	0
POLE3	ok	Q9NRF9	147	1	0
POLE4	ok	Q9NR33	117	1	0
POLG	ok	P54098	1239	1	0
POLH	ok	Q9Y253	713	1	0
POLL	ok	Q9UGP5	575	1	0
POLM	ok	Q9NP87	494	1	0
POLR1E	ok	Q9GZS1	419	1	0
POLR2I	ok	P36954	125	1	0
POU3F2	ok	P20265	443	0	1
PPAN	ok	Q9NQ55	473	1	0
PPIA	ok	P62937	165	1	0
PPIB	ok	P23284	216	1	0
PPIC	ok	P45877	212	1	0
PPID	ok	Q08752	370	1	0
PPIE	ok	Q9UNP9	301	1	0
PPIF	ok	P30405	207	1	0
PPM1A	ok	P35813	382	1	0
PPM1B	ok	O75688	479	1	0
PPM1G	ok	O15355	546	1	0
PPP2CA	ok	P67775	309	1	0
PPP2CB	ok	P62714	309	1	0
PPP2R5A	ok	Q15172	486	1	0
PPP2R5C	ok	Q13362	524	1	0
PPP2R5D	ok	Q14738	602	1	0
PPP2R5E	ok	Q16537	467	1	0
PPP3CA	ok	Q08209	521	1	0
PPP3CB	ok	P16298	524	1	0
PPP3CC	ok	P48454	512	1	0
PPP3R1	ok	P63098	170	1	0
PPP4C	ok	P60510	307	1	0
PPP5C	ok	P53041	499	1	0
PPP6C	ok	O00743	305	1	0
PPP6R1	ok	Q9UPN7	881	1	0
PPP6R2	ok	O75170	966	1	0
PPP6R3	ok	Q5H9R7	873	1	0
PPTC7	ok	Q8NI37	304	1	0
PRDM1	ok	O75626	825	0	1
PRKAA1	ok	Q13131	559	1	0
PRKAB1	ok	Q9Y478	270	1	0
PRKAB2	ok	O43741	272	1	0
PRKACA	ok	P17252	672	1	0
PRKAG1	ok	P54619	331	1	0
PRKAR1A	ok	P10644	381	1	0
PRKAR1B	ok	P31321	381	1	0
PRKAR2A	ok	P13861	404	1	0
PRKAR2B	ok	P31323	418	1	0
PRKX	ok	P51817	358	1	0
PRMT1	ok	Q99873	371	1	0
PRTG	ok	Q2VWP7	1150	0	1
PSKH1	ok	P11801	424	1	0
PSMA2	ok	P25787	234	1	0
PSMA4	ok	P25789	261	1	0
PSMA5	ok	P28066	241	1	0
PSMA7	ok	O14818	248	1	0
PSMC3IP	ok	Q9P2W1	217	1	0
PSMD10	ok	O75832	226	1	0
PSMD4	ok	P55036	377	1	0
PSME4	ok	Q14997	1843	1	0
PSPH	ok	P78330	225	1	0
PTPA	ok	P18433	802	1	0
PTPN1	ok	P18031	435	1	1
PTPN12	ok	Q05209	780	0	1
PTPN2	ok	P17706	415	1	0
PTPN9	ok	P43378	593	0	1
PTRH2	ok	Q9Y3E5	179	1	0
PUS1	ok	Q9Y606	427	1	0
PUS3	ok	Q9BZE2	481	1	0
PUS7	ok	Q96PZ0	661	1	0
PYGB	ok	P11216	843	1	0
PYGL	ok	P06737	847	1	0
QRSL1	ok	Q9H0R6	528	1	0
RAB10	ok	P61026	200	1	0
RAB11A	ok	P62491	216	1	0
RAB11B	ok	Q15907	218	1	0
RAB12	ok	Q6IQ22	340	1	0
RAB13	ok	P51153	203	1	0
RAB14	ok	P61106	215	1	0
RAB18	ok	Q9NP72	206	1	0
RAB1A	ok	P62820	205	1	0
RAB1B	ok	Q9H0U4	201	1	0
RAB24	ok	Q969Q5	203	1	0
RAB2A	ok	P61019	212	1	0
RAB2B	ok	Q8WUD1	216	1	0
RAB30	ok	Q15771	203	1	0
RAB31	ok	Q13636	195	1	0
RAB35	ok	Q15286	201	1	0
RAB4A	ok	P20338	218	1	0
RAB4B	ok	P61018	213	1	0
RAB5A	ok	P20339	215	1	0
RAB5B	ok	P61020	215	1	0
RAB5C	ok	P51148	216	1	0
RAB6A	ok	P20340	208	1	0
RAB7A	ok	P51149	207	1	0
RAB8A	ok	P61006	207	1	0
RAB8B	ok	Q92930	207	1	0
RAB9A	ok	P51151	201	1	0
RABGEF1	ok	Q9UJ41	491	1	0
RACK1	ok	P63244	317	1	0
RAD18	ok	Q9NS91	495	1	0
RAD23A	ok	P54725	363	1	0
RAD23B	ok	P54727	409	1	0
RAD50	ok	Q92878	1312	1	0
RAD54L	ok	Q92698	747	1	0
RAN	ok	P62826	216	1	0
RAP1A	ok	P62834	184	1	0
RAP1B	ok	P61224	184	1	0
RAP2A	ok	P10114	183	1	0
RAP2B	ok	P61225	183	1	0
RAP2C	ok	Q9Y3L5	183	1	0
RAX	ok	Q9Y2V3	346	1	0
RAX2	ok	Q96IS3	184	1	0
RBBP4	ok	Q09028	425	1	0
RBBP5	ok	Q15291	538	1	0
RBBP7	ok	Q16576	425	1	0
RBM34	ok	P42696	430	1	0
RCE1	ok	Q9Y256	329	1	0
REV1	ok	Q9UBZ9	1251	1	0
REV3L	ok	O60673	3130	1	0
REXO2	ok	Q9Y3B8	237	1	0
RFX2	ok	P48378	723	1	0
RHAG	ok	Q02094	409	1	0
RHCE	ok	P18577	417	1	0
RHD	ok	Q02161	417	1	0
RMND5A	ok	Q9H871	391	1	0
RMND5B	ok	Q96G75	393	1	0
RNASEH1	ok	O60930	286	1	0
RNASEH2A	ok	O75792	299	1	0
RNF10	ok	Q8N5U6	811	1	0
RNF14	ok	Q9UBS8	474	1	0
RNF20	ok	Q5VTR2	975	1	0
RNF40	ok	O75150	1001	1	0
RPL13A	ok	P40429	203	1	0
RPL38	ok	P63173	70	1	0
RPS21	ok	P63220	83	1	0
RPS6KA3	ok	P51812	740	1	0
RPS6KB1	ok	P23443	525	1	0
RPS6KB2	ok	Q9UBS0	482	1	0
RPSA	ok	A0A8I5KQE6	295	1	0
RPUSD2	ok	Q8IZ73	545	1	0
RRAGA	ok	Q7L523	313	1	0
RRAGB	ok	Q5VZM2	374	1	0
RRAS	ok	P10301	218	1	0
RRAS2	ok	P62070	204	1	0
RREB1	ok	Q92766	1687	0	1
RTF1	ok	Q92541	710	1	0
RTN4IP1	ok	Q8WWV3	396	1	0
RUNX1T1	ok	Q06455	604	0	1
S1PR2	ok	O95136	353	0	1
SACM1L	ok	Q9NTJ5	587	1	0
SAMD1	ok	Q6SPF0	538	0	1
SCYL1	ok	Q96KG9	808	1	0
SCYL2	ok	Q6P3W7	929	1	0
SEC24A	ok	O95486	1093	1	0
SEC24B	ok	O95487	1268	1	0
SEC24C	ok	P53992	1094	1	0
SEC24D	ok	O94855	1032	1	0
SEH1L	ok	Q96EE3	360	1	0
SEL1L	ok	Q9UBV2	794	1	0
SELENOI	ok	Q9C0D9	397	1	0
SET	ok	Q01105	290	1	1
SETD6	ok	Q8TBK2	473	1	0
SGK1	ok	O00141	431	1	1
SGK3	ok	Q96BR1	496	1	0
SGTA	ok	O43765	313	1	0
SGTB	ok	Q96EQ0	304	1	0
SHOX	ok	O15266	292	1	0
SHOX2	ok	O60902	331	1	0
SIGMAR1	ok	Q99720	223	1	0
SIN3A	ok	Q96ST3	1273	1	0
SIN3B	ok	O75182	1162	1	0
SIRT2	ok	Q8IXJ6	389	1	0
SIRT3	ok	Q9NTG7	399	1	0
SLC15A4	ok	Q8N697	577	1	0
SLC38A2	ok	Q96QD8	506	0	1
SLC4A1	ok	P02730	911	0	1
SLC6A9	ok	P48067	706	0	1
SMAP2	ok	Q8WU79	429	1	0
SMARCA1	ok	P28370	1042	1	0
SMARCA2	ok	P51531	1590	1	0
SMARCA4	ok	P51532	1647	1	0
SMARCA5	ok	O60264	1052	1	0
SMARCC1	ok	Q92922	1105	1	0
SMARCC2	ok	Q8TAQ2	1214	1	0
SMARCD1	ok	Q96GM5	515	1	0
SMARCD2	ok	Q92925	531	1	0
SMARCD3	ok	Q6STE5	483	1	0
SMYD5	ok	Q6GMV2	418	1	0
SNAI1	ok	O95863	264	0	1
SNF8	ok	Q96H20	258	1	0
SNRPA1	ok	P09661	255	1	0
SPHK1	ok	Q9NYA1	384	1	0
SPHK2	ok	Q9NRA0	654	1	0
SPI1	ok	P17947	270	0	1
SPOUT1	ok	Q5T280	376	1	0
SRPK1	ok	Q96SB4	655	1	0
SRPK2	ok	P78362	688	1	0
SRRM1	ok	Q8IYB3	904	1	0
SRSF4	ok	Q08170	494	1	0
SRSF5	ok	Q13243	272	1	0
SRSF6	ok	Q13247	344	1	0
SRXN1	ok	Q9BYN0	137	1	0
STAM	ok	Q92783	540	1	0
STAM2	ok	O75886	525	1	0
STIL	ok	Q15468	1287	0	1
STIP1	ok	P31948	543	1	0
STK16	ok	O75716	305	1	0
STK24	ok	Q9Y6E0	443	1	0
STK25	ok	O00506	426	1	0
STK3	ok	Q9Y6E0	443	1	0
STK4	ok	Q13043	487	1	0
STX1A	ok	Q16623	288	1	0
STX2	ok	P32856	288	1	0
STX3	ok	Q13277	289	1	0
STX4	ok	Q12846	297	1	0
SUPT3H	ok	O75486	317	1	0
SUPT4H1	ok	P63272	117	1	0
SYNJ2	ok	O15056	1496	1	0
TACO1	ok	Q9BSH4	297	1	0
TADA2A	ok	O75478	443	1	0
TADA2B	ok	Q86TJ2	420	1	0
TAOK1	ok	Q7L7X3	1001	1	0
TATDN1	ok	Q6P1N9	297	1	0
TBL1X	ok	O60907	577	1	0
TBL1XR1	ok	Q9BZK7	514	1	0
TBX2	ok	Q13207	712	0	1
TBX3	ok	O15119	743	0	1
TCEA1	ok	P23193	301	1	0
TCEA2	ok	Q15560	299	1	0
TDP1	ok	Q9NUW8	608	1	0
TENT4A	ok	Q5XG87	792	1	0
