systematic	common	uniprot	seq_len
	EXOSC10	Q01780	885
	PPP6R1	Q9UPN7	881
	PPP6R3	Q5H9R7	873
	ZBTB10	Q96DT7	871
	USP13	Q92995	863
	PMS2	P54278	862
	USP5	P45974	858
	VPS41	P49754	854
	KIF18B	Q86Y91	852
	AHR	P35869	848
	PYGL	P06737	847
	MAP4K5	Q9Y4K4	846
	PYGB	P11216	843
	MAP7D1	Q3KQU3	841
	ATG9A	Q7Z3C6	839
	VPS16	Q9H269	839
	HELLS	Q9NRZ9	838
	MSH5	O43196	834
	ELP2	Q6IA86	826
	PRDM1	O75626	825
	IGDCC3	Q8IVU1	814
	RNF10	Q8N5U6	811
	SCYL1	Q96KG9	808
	OSBP	P22059	807
	PTPA	P18433	802
	BRD2	P25440	801
	PLAA	Q9Y263	795
	SEL1L	Q9UBV2	794
	TENT4A	Q5XG87	792
	PLCD3	Q8N3E9	789
	DMC1	Q8IV36	788
	MARK2	Q7KZI7	788
	PFKP	Q01813	784
	ACO2	Q99798	780
	PFKL	P17858	780
	PFKM	P08237	780
	PTPN12	Q05209	780
	CNNM4	Q6P4Q7	775
	TLE4	Q04727	773
	CUL3	Q13618	768
	NSUN2	Q08J23	767
	TOP1	P11387	765
	UBTF	P17480	764
	CUL4A	Q13619	759
	MLH1	P40692	756
	PLCD1	P51178	756
	CNOT3	O75175	753
	MARK3	P27448	753
	MARK4	Q96L34	752
	RAD54L	Q92698	747
	TBX3	O15119	743
	RPS6KA3	P51812	740
	LETM1	O95202	739
	GYS1	P13807	737
	HSP90AA1	P07900	732
	HOOK1	Q9UJC3	728
	ANKZF1	Q9H8Y5	726
	BRD3	Q15059	726
	KIF2C	Q99661	725
	HSP90AB1	P08238	724
	GGA3	Q9NZ52	723
	RFX2	P48378	723
	ACSL3	O95573	720
	MAD1L1	Q9Y6D9	718
	POLH	Q9Y253	713
	ZBTB1	Q9Y2K1	713
	TBX2	Q13207	712
	ACSL4	O60488	711
	USP51	Q70EK9	711
	NCL	P19338	710
	RTF1	Q92541	710
	ABCF3	Q9NUQ8	709
	MRE11	P49959	708
	SLC6A9	P48067	706
	ATG7	O95352	703
	ACSS2	Q9NR19	701
	SRPK2	P78362	688
	UBC	P0CG48	685
	PRKACA	P17252	672
	DDX18	Q9NVP1	670
	LEO1	Q8WVC0	666
	WRNIP1	Q96S55	665
	DDX3X	O00571	662
	PUS7	Q96PZ0	661
	TRMT1	Q9NXH9	659
	CPT2	P23786	658
	MTHFR	P42898	656
	SRPK1	Q96SB4	655
	SPHK2	Q9NRA0	654
	CBFA2T3	O75081	653
	DUS3L	Q96G46	650
	UBASH3B	Q8TF42	649
	COQ8A	Q8NI60	647
	PDIA4	P13667	645
	MTMR2	Q13614	643
	PIF1	Q9H611	641
	GGA1	Q9UJY5	639
	PEX5	P50542	639
	GLB1L2	Q8IW92	636
	PABPC1	P11940	636
	TP73	O15350	636
	ADCK2	Q7Z695	626
	ACTR8	Q9H981	624
	UBQLN2	Q9UHD9	624
	MINDY2	Q8NBR6	621
	GGA2	Q9UJY4	613
	KAT7	O95251	611
	PDE12	Q6L8Q7	609
	XRCC6	P12956	609
	TDP1	Q9NUW8	608
	ACTR5	Q9H9F9	607
	RUNX1T1	Q06455	604
	MTM1	Q13496	603
	PPP2R5D	Q14738	602
	DYRK2	Q92630	601
	TOP1MT	Q969P6	601
	UBQLN4	Q9NRR5	601
	DDX55	Q8NHQ9	600
	EBF3	Q9H4W6	596
	CRY2	Q49AN0	593
	PTPN9	P43378	593
	CTPS1	P17812	591
	CSRNP1	Q96S65	589
	UBQLN1	Q9UMX0	589
	CAMKK2	Q96RR4	588
	DYRK3	O43781	588
	SACM1L	Q9NTJ5	587
	CRY1	Q16526	586
	CTPS2	Q9NRF8	586
	BTF3	O00478	584
	EIF2D	P41214	584
	KRT10	P13645	584
	ME2	P23368	584
	ADCK5	Q3MIX3	580
	CDC40	O60508	579
	SLC15A4	Q8N697	577
	TBL1X	O60907	577
	CNOT4	O95628	575
	POLL	Q9UGP5	575
	TFE3	P19532	575
	ME1	P48163	572
	TENT4B	Q8NDF8	572
	TGFBR2	P37173	567
	CHAF1B	Q13112	559
	PRKAA1	Q13131	559
	ATL1	Q8WXF7	558
	ISYNA1	Q9NPH2	558
	ARIH1	Q9Y4X5	557
	CNOT6	Q9ULM6	557
	CNOT6L	Q96LI5	555
	MUS81	Q96NY9	551
	MTMR9	Q96QG7	549
	ELP3	Q9H9T3	547
	PPM1G	O15355	546
	PAK1	Q13153	545
	RPUSD2	Q8IZ73	545
	COQ8B	Q96D53	544
	DBR1	Q9UK59	544
	EGR1	P18146	543
	STIP1	P31948	543
	OGFOD1	Q8N543	542
	STAM	Q92783	540
	KPNA5	O15131	539
	KPNA1	P52294	538
	RBBP5	Q15291	538
	SAMD1	Q6SPF0	538
	KPNA6	O60684	536
	DNAJC21	Q5F1R6	531
	PAF1	Q8N7H5	531
	SMARCD2	Q92925	531
	KPNA2	P52292	529
	PDP2	Q9P2J9	529
	QRSL1	Q9H0R6	528
	NLK	Q9UBE8	527
	MITF	O75030	526
	CORO2A	Q92828	525
	RPS6KB1	P23443	525
	STAM2	O75886	525
	USP22	Q9UPT9	525
	PAK2	Q13177	524
	PPP2R5C	Q13362	524
	PPP3CB	P16298	524
	PPP3CA	Q08209	521
	DYRK4	Q9NR20	520
	USP3	Q9Y6I4	520
	APEX2	Q9UBZ4	518
	ARFGAP3	Q9NP61	516
	G6PD	P11413	515
	SMARCD1	Q96GM5	515
	TBL1XR1	Q9BZK7	514
	PPP3CC	P48454	512
	IKZF3	Q9UKT9	509
	CELF2	O95319	508
	P4HB	P07237	508
	SLC38A2	Q96QD8	506
	FOXO4	P98177	505
	PDIA3	P30101	505
	CDK19	Q9BWU1	502
	CLK2	P49760	499
	PPP5C	P53041	499
	FZR1	Q9UM11	496
	SGK3	Q96BR1	496
	RAD18	Q9NS91	495
	POLM	Q9NP87	494
	SRSF4	Q08170	494
	USP14	P54578	494
	ARIH2	O95376	493
	DUS2	Q9NX74	493
	RABGEF1	Q9UJ41	491
	CLK3	P49761	490
	CORO1B	Q9BR76	489
	UBXN7	O94888	489
	CCDC77	Q9BR77	488
	HDAC2	Q92769	488
	ZDHHC14	Q8IZN3	488
	STK4	Q13043	487
	CELF1	Q92879	486
	PPP2R5A	Q15172	486
	CLK1	P49759	484
	DDX6	P26196	483
	GSK3A	P49840	483
	SMARCD3	Q6STE5	483
	HDAC1	Q13547	482
	RPS6KB2	Q9UBS0	482
	CLK4	Q9HAZ1	481
	PUS3	Q9BZE2	481
	PPM1B	O75688	479
	ZNF622	Q969S3	477
	CHEK1	O14757	476
	TFEB	P19484	476
	CAP1	Q01518	475
	LTV1	Q96GA3	475
	ATG4D	Q86TL0	474
	CORO1C	Q9ULV4	474
	HNF4A	P41235	474
	RNF14	Q9UBS8	474
	PPAN	Q9NQ55	473
	SETD6	Q8TBK2	473
	CWC27	Q6UX04	472
	FOXA1	P55317	472
	ETS2	P15036	469
	MIDN	Q504T8	468
	PPP2R5E	Q16537	467
	CDK8	P49336	464
	UBA3	Q8TBC4	463
	CORO1A	P31146	461
	MOCS3	O95396	460
	ATG4C	Q96DT6	458
	GALK2	Q01415	458
	KAT8	Q9H7Z6	458
	CHKA	P35790	457
	METTL14	Q9HCE5	456
	BLMH	Q13867	455
	ETNK1	Q9HBU6	452
	IDH2	P48735	452
	TUBA1A	Q71U36	451
	TUBA1B	P68363	451
	BECN1	Q14457	450
	TUBA3D	P0DPH8	450
	TUBA1C	Q9BQE3	449
	MAP2K5	Q13163	448
	TUBA4A	P68366	448
	CSNK1G3	Q9Y6M4	447
	FBXO9	Q9UK97	447
	NEK2	P51955	445
	TUBB2A	Q13885	445
	TUBB2B	Q9BVA1	445
	TUBB4B	P68371	445
	TUBB	P07437	444
	VPS4B	O75351	444
	POU3F2	P20265	443
	STK24	Q9Y6E0	443
	STK3	Q9Y6E0	443
	TADA2A	O75478	443
	OAT	P04181	439
	TGOLN2	O43493	437
	VPS4A	Q9UN37	437
	PDK1	Q15118	436
	PTPN1	P18031	435
	ZBTB25	P24278	435
	CCNB1	P14635	433
	KRT17	Q04695	432
	TRIP13	Q15645	432
	SGK1	O00141	431
	RBM34	P42696	430
	NSUN5	Q96P11	429
	SMAP2	Q8WU79	429
	HDAC3	O15379	428
	ACAT1	P24752	427
	PUS1	Q9Y606	427
	STK25	O00506	426
	ZC3H15	Q8WU90	426
	RBBP4	Q09028	425
	RBBP7	Q16576	425
	ACAA1	P09110	424
	ELP4	Q96EB1	424
	PSKH1	P11801	424
	CSNK1G1	Q9HCP0	422
	ING1	Q9UK53	422
	GSK3B	P49841	420
	HNRNPDL	O14979	420
	TADA2B	Q86TJ2	420
	BCS1L	Q9Y276	419
	HAT1	O14929	419
	POLR1E	Q9GZS1	419
	PRKAR2B	P31323	418
	SMYD5	Q6GMV2	418
	RHCE	P18577	417
	RHD	Q02161	417
	TSPYL5	Q86VY4	417
	CSNK1G2	P78368	415
	PTPN2	P17706	415
	IDH1	O75874	414
	BCKDK	O14874	412
	CTSD	P07339	412
	EIF4A3	P38919	411
	PAFAH1B1	P43034	410
	RAD23B	P54727	409
	RHAG	Q02094	409
	DAZAP1	Q96EP5	407
	EIF4A2	Q14240	407
	PDK2	Q15119	407
	EIF4A1	P60842	406
	LHX1	P48742	406
	PHKG2	P15735	406
	PRKAR2A	P13861	404
	PCBP4	P57723	403
	KRT19	P08727	400
	MAP2K2	P36507	400
	DDI2	Q5TDH0	399
	PCID2	Q5JVF3	399
	SIRT3	Q9NTG7	399
	ATG4A	Q8WYN0	398
	CCNB2	O95067	398
	ACAA2	P42765	397
	ACAT2	Q9BWD1	397
	SELENOI	Q9C0D9	397
	ACTR6	Q9GZN1	396
	DXO	O77932	396
	RTN4IP1	Q8WWV3	396
	CHKB	Q9Y259	395
	MAT2A	P31153	395
	ATG4B	Q9Y4P1	393
	DSCC1	Q9BVC3	393
	MAP2K1	Q02750	393
	RMND5B	Q96G75	393
	PAAF1	Q9BRP4	392
	CSNK2A1	P68400	391
	NAP1L1	P55209	391
	RMND5A	Q9H871	391
	MEIS1	O00470	390
	SIRT2	Q8IXJ6	389
	HOXA13	P31271	388
	ZDHHC18	Q9NUE0	388
	ETNK2	Q9NVF9	386
	TIA1	P31483	386
	DUSP9	Q99956	384
	SPHK1	Q9NYA1	384
	PPM1A	P35813	382
	PRKAR1A	P10644	381
	PRKAR1B	P31321	381
	FEN1	P39748	380
	NPRL2	Q8WTW4	380
	FOXF1	Q12946	379
	MAPK3	P27361	379
	HNRNPA3	P51991	378
	PSMD4	P55036	377
	FOXL2	P58012	376
	SPOUT1	Q5T280	376
	NAP1L4	Q99733	375
	TIAL1	Q01085	375
	RRAGB	Q5VZM2	374
	CDK9	P50750	372
	HNRNPA1	P09651	372
	PRMT1	Q99873	371
	CAMK1	Q14012	370
	PPID	Q08752	370
	USP12	O75317	370
	MAPK12	P53778	367
	USP46	P62068	366
	PCBP2	Q15366	365
	DRG2	P55039	364
	MAPK11	Q15759	364
	ZDHHC9	Q9Y397	364
	RAD23A	P54725	363
	KLF1	Q13351	362
	MORF4L1	Q9UBU8	362
	TMEM30A	Q9NV96	361
	MAPK1	P28482	360
	MAPK14	Q16539	360
	SEH1L	Q96EE3	360
	GNA11	P29992	359
	GNAQ	P50148	359
	ISL2	Q96A47	359
	CEBPA	P49715	358
	PRKX	P51817	358
	IBA57	Q5T440	356
	PCBP1	Q15365	356
	GNAI2	P04899	355
	HNRNPD	Q14103	355
	GNAI3	P08754	354
	KTI12	Q96EK9	354
	HNRNPA2B1	P22626	353
	ISG20L2	Q9H9L3	353
	S1PR2	O95136	353
	THUMPD1	Q9NXG2	353
	THOC3	Q96J01	351
	CSNK2A2	P19784	350
	FOXA3	P55318	350
	GYG1	P46976	350
	TWF1	Q12792	350
	TWF2	Q6IBS0	349
	CTU1	Q7Z7A3	348
	YOD1	Q5VVQ6	348
	BRAP	Q6UWU4	347
	MAP2K3	P46734	347
	TFEC	O14948	347
	RAX	Q9Y2V3	346
	CEBPB	P17676	345
	SRSF6	Q13247	344
	ALX3	O95076	343
	DCAF7	P61962	342
	CD2BP2	O95400	341
	DUSP12	Q9UNI6	340
	RAB12	Q6IQ22	340
	TRMT10A	Q8TBZ6	339
	FOSB	P53539	338
	DCPS	Q96C86	337
	PAN2	Q9HBH5	336
	GLRX3	O76003	335
	POLB	P06746	335
	MAP2K6	P52564	334
	WDR5	P61964	334
	HNRNPAB	Q99729	332
	JUN	P05412	331
	PRKAG1	P54619	331
	SHOX2	O60902	331
	HOXC13	P31276	330
	RCE1	Q9Y256	329
	DLX2	Q07687	328
	MSI2	Q96DH6	328
	MAPRE2	Q15555	327
	NIT1	Q86X76	327
	ALX1	Q15699	326
	ELAVL1	Q15717	326
	PEX10	O60683	326
	AEN	Q8WTP8	325
	AKR1A1	P14550	325
	IRF1	P10914	325
	OTP	Q5XKR4	325
	AKR1C1	Q04828	323
	AKR1C2	P52895	323
	PGP	A6NDG6	321
	AKR1E2	Q96JD6	320
	HNRNPA1L2	Q32P51	320
	RACK1	P63244	317
	SUPT3H	O75486	317
	TRMT10B	Q6PF06	316
	ATG3	Q9NT62	314
	PITX1	P78337	314
	RRAGA	Q7L523	313
	SGTA	O43765	313
	WDR82	Q6UXN9	313
	OSR2	Q8N2R0	312
	PPP2CA	P67775	309
	PPP2CB	P62714	309
	PPP4C	P60510	307
	HNRNPA0	Q13151	305
	PEX2	P28328	305
	PPP6C	O00743	305
	STK16	O75716	305
	NTHL1	P78549	304
	PPTC7	Q8NI37	304
	SGTB	Q96EQ0	304
	PITX3	O75364	302
	PPIE	Q9UNP9	301
	TCEA1	P23193	301
	GID4	Q8IVV7	300
	CFDP1	Q9UEE9	299
	CNOT9	Q92600	299
	RNASEH2A	O75792	299
	TCEA2	Q15560	299
	CNN1	P51911	297
	MPST	P25325	297
	STX4	Q12846	297
	TACO1	Q9BSH4	297
	TATDN1	Q6P1N9	297
	TST	Q16762	297
	PDXP	Q96GD0	296
	RPSA	A0A8I5KQE6	295
	CDK5	Q00535	292
	DCUN1D4	Q92564	292
	SHOX	O15266	292
	TTC1	Q99614	292
	SET	Q01105	290
	STX3	Q13277	289
	MORF4L2	Q15014	288
	STX1A	Q16623	288
	STX2	P32856	288
	RNASEH1	O60930	286
	GPATCH11	Q8N954	285
	ICMT	O60725	284
	CCNC	P24863	283
	CEBPE	Q15744	281
	MAPRE3	Q9UPY8	281
	ING2	Q9H160	280
	LYL1	P12980	280
	ATG5	Q9H1Y0	275
	PRKAB2	O43741	272
	SRSF5	Q13243	272
	TIPRL	O75663	272
	PRKAB1	Q9Y478	270
	SPI1	P17947	270
	HCCS	P53701	268
	MAPRE1	Q15691	268
	ZFAND1	Q8TCF1	268
	SNAI1	O95863	264
	DRGX	A6NNA5	263
	PSMA4	P25789	261
	BPGM	P07738	259
	DCUN1D1	Q96GG9	259
	DCUN1D2	Q6PH85	259
	UBE2J2	Q8N2K1	259
	EIF3J	O75822	258
	PGLS	O95336	258
	SNF8	Q96H20	258
	SNRPA1	P09661	255
	YWHAE	P62258	255
	HOXB9	P17482	250
	ING4	Q9UNL4	249
	VAPA	Q9P0L0	249
	PSMA7	O14818	248
	YWHAH	Q04917	246
	YWHAQ	P27348	245
	YWHAZ	P63104	245
	VAPB	O95292	243
	PSMA5	P28066	241
	ING5	Q8WYH8	240
	MRTO4	Q9UKD2	239
	FEV	Q99581	238
	DCUN1D5	Q9BTE7	237
	REXO2	Q9Y3B8	237
	PSMA2	P25787	234
	UCHL3	P15374	230
	YEATS4	O95619	227
	PSMD10	O75832	226
	HES7	Q9BYE0	225
	PSPH	P78330	225
	CHMP4B	Q9H444	224
	SIGMAR1	Q99720	223
	CHMP2A	O43633	222
	CHMP3	Q9Y3E7	222
	CHMP4A	Q9BY43	222
	VPS28	Q9UK41	221
	CLDN6	P56747	220
	RAB11B	Q15907	218
	RAB4A	P20338	218
	RRAS	P10301	218
	PSMC3IP	Q9P2W1	217
	PPIB	P23284	216
	RAB11A	P62491	216
	RAB2B	Q8WUD1	216
	RAB5C	P51148	216
	RAN	P62826	216
	CSNK2B	P67870	215
	NACA2	Q9H009	215
	RAB14	P61106	215
	RAB5A	P20339	215
	RAB5B	P61020	215
	CHMP2B	Q9UQN3	213
	RAB4B	P61018	213
	PPIC	P45877	212
	RAB2A	P61019	212
	BAK1	Q16611	211
	HMGB2	P26583	209
	RAB6A	P20340	208
	NFYB	P25208	207
	PPIF	P30405	207
	RAB7A	P51149	207
	RAB8A	P61006	207
	RAB8B	Q92930	207
	UBE2E3	Q969T4	207
	RAB18	Q9NP72	206
	MAD2L1	Q13257	205
	RAB1A	P62820	205
	ARHGDIA	P52565	204
	ASF1A	Q9Y294	204
	RRAS2	P62070	204
	RAB13	P51153	203
	RAB24	Q969Q5	203
	RAB30	Q15771	203
	RPL13A	P40429	203
	ASF1B	Q9NVP2	202
	ARHGDIB	P52566	201
	ARL4D	P49703	201
	RAB1B	Q9H0U4	201
	RAB35	Q15286	201
	RAB9A	P51151	201
	ARL4A	P40617	200
	HMGB3	O15347	200
	RAB10	P61026	200
	PEMT	Q9UBM1	199
	BCL2L11	O43521	198
	CDKN1B	P46527	198
	DENR	O43583	198
	DUSP14	O95147	198
	UBE2T	Q9NPD8	197
	ARL11	Q969Q4	196
	LSM12	Q3MHD2	195
	RAB31	Q13636	195
	ITPA	Q9BY32	194
	CITED1	Q99966	193
	UBE2E1	P51965	193
	TSR2	Q969E8	191
	ANAPC10	Q9UM13	185
	RAP1A	P62834	184
	RAP1B	P61224	184
	RAX2	Q96IS3	184
	RAP2A	P10114	183
	RAP2B	P61225	183
	RAP2C	Q9Y3L5	183
	UBE2H	P62256	183
	UBE2M	P61081	183
	ARL3	P36405	182
	ARF1	P84077	181
	ARF3	P61204	181
	ARL1	P40616	181
	MCTS1	Q9ULC4	181
	ARF4	P18085	180
	ARF5	P84085	180
	ARL5A	Q9Y689	179
	ARL5B	Q96KC2	179
	PTRH2	Q9Y3E5	179
	CNBP	P62633	177
	DUSP28	Q4G0W2	176
	VPS25	Q9BRG1	176
	ARF6	P62330	175
	TPRKB	Q9Y3C4	175
	PPP3R1	P63098	170
	NME3	Q13232	169
	PPIA	P62937	165
	UBE2G2	P60604	165
	CDKN1A	P38936	164
	GLRX2	Q9NS18	164
	ACP1	P24666	158
	BTF3L4	Q96K17	158
	NME1	P15531	152
	UBE2A	P49459	152
	UBE2B	P63146	152
	UBE2N	P61088	152
	FAM72B	Q86X60	149
	FAM72C	H0Y354	149
	FAM72D	Q6L9T8	149
	EDF1	O60869	148
	POLE3	Q9NRF9	147
	UBE2D1	P51668	147
	UBE2D2	P62837	147
	UBE2D3	P61077	147
	UBE2D4	Q9Y2X8	147
	UBE2V1	Q13404	147
	UBE2V2	Q15819	145
	GMFB	P60983	142
	GMFG	O60234	142
	C1D	Q13901	141
	BOLA1	Q9Y3E2	137
	SRXN1	Q9BYN0	137
	ZNF593	O00488	134
	CHRAC1	Q9NRG0	131
	HIST1H2AB	P04908	130
	HIST1H2AK	P0C0S8	130
	PDCD5	O14737	125
	POLR2I	P36954	125
	GABARAP	O95166	117
	GABARAPL1	Q9H0R8	117
	GABARAPL2	P60520	117
	POLE4	Q9NR33	117
	SUPT4H1	P63272	117
	BOLA3	Q53S33	107
	GLRX	P35754	106
	TXN	P10599	105
	LSM7	Q9UK45	103
	ENY2	Q9NPA8	101
	URM1	Q9BTM9	101
	ELOF1	P60002	83
	RPS21	P63220	83
	NEDD8	Q15843	81
	LSM6	P62312	80
	CKS1B	P61024	79
	UBL5	Q9BZL1	73
	GTF2H5	Q6ZYL4	71
	RPL38	P63173	70
	TMSB4X	P62328	44
