signature_id	species	perturbation_genes	n_batches	label_unmapped	function_label	split_group	split	assay_type	source
adamson_DNAJC19	human	DNAJC19	1	True		adamson_DNAJC19		Perturb-seq CRISPRi	GSE90546
adamson_EIF2B2	human	EIF2B2	1	True		adamson_EIF2B2		Perturb-seq CRISPRi	GSE90546
adamson_EIF2B3	human	EIF2B3	1	True		adamson_EIF2B3		Perturb-seq CRISPRi	GSE90546
adamson_EIF2B4	human	EIF2B4	1	True		adamson_EIF2B4		Perturb-seq CRISPRi	GSE90546
adamson_EIF2S1	human	EIF2S1	1	True		adamson_EIF2S1		Perturb-seq CRISPRi	GSE90546
adamson_EP300	human	EP300	1	True		adamson_EP300		Perturb-seq CRISPRi	GSE90546
adamson_FARSB	human	FARSB	1	True		adamson_FARSB		Perturb-seq CRISPRi	GSE90546
adamson_FECH	human	FECH	1	True		adamson_FECH		Perturb-seq CRISPRi	GSE90546
adamson_GBF1	human	GBF1	1	True		adamson_GBF1		Perturb-seq CRISPRi	GSE90546
adamson_GMPPB	human	GMPPB	1	True		adamson_GMPPB		Perturb-seq CRISPRi	GSE90546
adamson_GNPNAT1	human	GNPNAT1	1	True		adamson_GNPNAT1		Perturb-seq CRISPRi	GSE90546
adamson_HARS	human	HARS	1	True		adamson_HARS		Perturb-seq CRISPRi	GSE90546
adamson_HSD17B12	human	HSD17B12	1	True		adamson_HSD17B12		Perturb-seq CRISPRi	GSE90546
adamson_HSPA5	human	HSPA5	1	True		adamson_HSPA5		Perturb-seq CRISPRi	GSE90546
adamson_HSPA9	human	HSPA9	1	True		adamson_HSPA9		Perturb-seq CRISPRi	GSE90546
adamson_HYOU1	human	HYOU1	1	True		adamson_HYOU1		Perturb-seq CRISPRi	GSE90546
adamson_IARS2	human	IARS2	1	True		adamson_IARS2		Perturb-seq CRISPRi	GSE90546
adamson_IDH3A	human	IDH3A	1	True		adamson_IDH3A		Perturb-seq CRISPRi	GSE90546
adamson_IER3IP1	human	IER3IP1	1	True		adamson_IER3IP1		Perturb-seq CRISPRi	GSE90546
adamson_IRE1	human	IRE1	1	True		adamson_IRE1		Perturb-seq CRISPRi	GSE90546
adamson_KCTD16	human	KCTD16	1	True		adamson_KCTD16		Perturb-seq CRISPRi	GSE90546
adamson_MANF	human	MANF	1	True		adamson_MANF		Perturb-seq CRISPRi	GSE90546
adamson_MARS	human	MARS	1	True		adamson_MARS		Perturb-seq CRISPRi	GSE90546
adamson_MRGBP	human	MRGBP	1	True		adamson_MRGBP		Perturb-seq CRISPRi	GSE90546
adamson_MRPL39	human	MRPL39	1	True		adamson_MRPL39		Perturb-seq CRISPRi	GSE90546
adamson_MTHFD1	human	MTHFD1	1	True		adamson_MTHFD1		Perturb-seq CRISPRi	GSE90546
adamson_NEDD8	human	NEDD8	1	True		adamson_NEDD8		Perturb-seq CRISPRi	GSE90546
adamson_OST4	human	OST4	1	True		adamson_OST4		Perturb-seq CRISPRi	GSE90546
adamson_P4HB	human	P4HB	1	True		adamson_P4HB		Perturb-seq CRISPRi	GSE90546
adamson_PDIA6	human	PDIA6	1	True		adamson_PDIA6		Perturb-seq CRISPRi	GSE90546
adamson_PERK	human	PERK	1	True		adamson_PERK		Perturb-seq CRISPRi	GSE90546
adamson_PPWD1	human	PPWD1	1	True		adamson_PPWD1		Perturb-seq CRISPRi	GSE90546
adamson_PSMD4	human	PSMD4	1	True		adamson_PSMD4		Perturb-seq CRISPRi	GSE90546
adamson_PTDSS1	human	PTDSS1	1	True		adamson_PTDSS1		Perturb-seq CRISPRi	GSE90546
adamson_QARS	human	QARS	1	True		adamson_QARS		Perturb-seq CRISPRi	GSE90546
adamson_SAMM50	human	SAMM50	1	True		adamson_SAMM50		Perturb-seq CRISPRi	GSE90546
adamson_SARS	human	SARS	1	True		adamson_SARS		Perturb-seq CRISPRi	GSE90546
adamson_SCYL1	human	SCYL1	1	True		adamson_SCYL1		Perturb-seq CRISPRi	GSE90546
adamson_SEC61A1	human	SEC61A1	1	True		adamson_SEC61A1		Perturb-seq CRISPRi	GSE90546
adamson_SEC61B	human	SEC61B	1	True		adamson_SEC61B		Perturb-seq CRISPRi	GSE90546
adamson_SEC61G	human	SEC61G	1	True		adamson_SEC61G		Perturb-seq CRISPRi	GSE90546
adamson_SEC63	human	SEC63	1	True		adamson_SEC63		Perturb-seq CRISPRi	GSE90546
adamson_SEL1L	human	SEL1L	1	True		adamson_SEL1L		Perturb-seq CRISPRi	GSE90546
adamson_SLC35B1	human	SLC35B1	1	True		adamson_SLC35B1		Perturb-seq CRISPRi	GSE90546
adamson_SLC39A7	human	SLC39A7	1	True		adamson_SLC39A7		Perturb-seq CRISPRi	GSE90546
adamson_SLMO2	human	SLMO2	1	True		adamson_SLMO2		Perturb-seq CRISPRi	GSE90546
adamson_SNAI1	human	SNAI1	1	False	GO:0030154	adamson_SNAI1		Perturb-seq CRISPRi	GSE90546
adamson_SOCS1	human	SOCS1	1	True		adamson_SOCS1		Perturb-seq CRISPRi	GSE90546
adamson_SPCS2	human	SPCS2	1	True		adamson_SPCS2		Perturb-seq CRISPRi	GSE90546
adamson_SPCS3	human	SPCS3	1	True		adamson_SPCS3		Perturb-seq CRISPRi	GSE90546
adamson_SPI1	human	SPI1	1	False	GO:0006351	adamson_SPI1		Perturb-seq CRISPRi	GSE90546
adamson_SRP68	human	SRP68	1	True		adamson_SRP68		Perturb-seq CRISPRi	GSE90546
adamson_SRP72	human	SRP72	1	True		adamson_SRP72		Perturb-seq CRISPRi	GSE90546
adamson_SRPR	human	SRPR	1	True		adamson_SRPR		Perturb-seq CRISPRi	GSE90546
adamson_SRPRB	human	SRPRB	1	True		adamson_SRPRB		Perturb-seq CRISPRi	GSE90546
adamson_STT3A	human	STT3A	1	True		adamson_STT3A		Perturb-seq CRISPRi	GSE90546
adamson_SYVN1	human	SYVN1	1	True		adamson_SYVN1		Perturb-seq CRISPRi	GSE90546
adamson_TARS	human	TARS	1	True		adamson_TARS		Perturb-seq CRISPRi	GSE90546
adamson_TELO2	human	TELO2	1	True		adamson_TELO2		Perturb-seq CRISPRi	GSE90546
adamson_TIMM23	human	TIMM23	1	True		adamson_TIMM23		Perturb-seq CRISPRi	GSE90546
adamson_TIMM44	human	TIMM44	1	True		adamson_TIMM44		Perturb-seq CRISPRi	GSE90546
adamson_TMED10	human	TMED10	1	True		adamson_TMED10		Perturb-seq CRISPRi	GSE90546
adamson_TMED2	human	TMED2	1	True		adamson_TMED2		Perturb-seq CRISPRi	GSE90546
adamson_TMEM167A	human	TMEM167A	1	True		adamson_TMEM167A		Perturb-seq CRISPRi	GSE90546
adamson_TTI1	human	TTI1	1	True		adamson_TTI1		Perturb-seq CRISPRi	GSE90546
adamson_TTI2	human	TTI2	1	True		adamson_TTI2		Perturb-seq CRISPRi	GSE90546
adamson_UFL1	human	UFL1	1	True		adamson_UFL1		Perturb-seq CRISPRi	GSE90546
adamson_UFM1	human	UFM1	1	True		adamson_UFM1		Perturb-seq CRISPRi	GSE90546
adamson_XRN1	human	XRN1	1	True		adamson_XRN1		Perturb-seq CRISPRi	GSE90546
adamson_YIPF5	human	YIPF5	1	True		adamson_YIPF5		Perturb-seq CRISPRi	GSE90546
adamson_ZNF326	human	ZNF326	1	True		adamson_ZNF326		Perturb-seq CRISPRi	GSE90546
