yeast_systematic	yeast_common	yeast_uniprot	yeast_omaid	human_symbol	human_uniprot	human_omaid	ortholog_type	score	distance	is_main_isoform_pair	source
YBR229C	ROT2	P38138	YEAST00156	GANAB	Q14697	HUMAN06587	1:n	2099.949951171875	90.0	yes	OMA All.May2026 (API)
YBR042C	CST26	P38226	YEAST00157	AGPAT5	Q9NUQ2	HUMAN92364	1:1	202.0800018310547	161.0	yes	OMA All.May2026 (API)
YBR143C	SUP45	P12385	YEAST00160	ETF1	P62495	HUMAN80988	1:1	2853.300048828125	35.33570098876953	yes	OMA All.May2026 (API)
YBR039W	ATP3	P38077	YEAST00172	ATP5F1C	P36542	HUMAN00209	1:1	740.6500244140625	90.0	yes	OMA All.May2026 (API)
YBL089W	AVT5	P38176	YEAST00173	SLC38A6	Q8IZM9	HUMAN19693	m:n	286.6000061035156	175.0	yes	OMA All.May2026 (API)
YBL089W	AVT5	P38176	YEAST00173	SLC38A3	Q99624	HUMAN70183	m:n	298.7200012207031	175.0	yes	OMA All.May2026 (API)
YBL089W	AVT5	P38176	YEAST00173	SLC38A2	Q96QD8	HUMAN12170	m:n	339.2799987792969	161.0	yes	OMA All.May2026 (API)
YBR087W	RFC5	P38251	YEAST00176	RFC3	P40938	HUMAN16751	1:1	1118.6199951171875	85.0	yes	OMA All.May2026 (API)
YBR121C	GRS1	P38088	YEAST00177	GARS1	P41250	HUMAN88344	m:1	2452.110107421875	74.0	yes	OMA All.May2026 (API)
YBR026C	ETR1	P38071	YEAST00178	MECR	Q9BV79	HUMAN48501	1:1	641.9400024414062	105.0	yes	OMA All.May2026 (API)
YBR177C	EHT1	P38295	YEAST00181	ABHD3	Q8WU67	HUMAN37816	1:1	336.69000244140625	141.0	yes	OMA All.May2026 (API)
YBL068W	PRS4	P38063	YEAST00188	PRPS1L1	P21108	HUMAN87979	m:n	1708.8499755859375	47.0	yes	OMA All.May2026 (API)
YBL068W	PRS4	P38063	YEAST00188	PRPS1	P60891	HUMAN101755	m:n	1785.02001953125	42.12860107421875	yes	OMA All.May2026 (API)
YBR084W	MIS1	P09440	YEAST00191	MTHFD1L	Q6UB35	HUMAN87016	m:n	3419.31005859375	72.0	yes	OMA All.May2026 (API)
YBR084W	MIS1	P09440	YEAST00191	MTHFD1	P11586	HUMAN19779	m:n	4393.0	60.0	yes	OMA All.May2026 (API)
YBR245C	ISW1	P38144	YEAST00193	SMARCA5	O60264	HUMAN77529	m:n	3816.489990234375	68.0	yes	OMA All.May2026 (API)
YBR245C	ISW1	P38144	YEAST00193	SMARCA1	B7ZLQ5	HUMAN102099	m:n	3833.1201171875	67.0	yes	OMA All.May2026 (API)
YBR085W	AAC3	P18238	YEAST00194	SLC25A4	P12235	HUMAN78314	m:n	1165.5799560546875	69.0	yes	OMA All.May2026 (API)
YBR085W	AAC3	P18238	YEAST00194	SLC25A31	Q9H0C2	HUMAN77299	m:n	1186.56005859375	67.0	yes	OMA All.May2026 (API)
YBR085W	AAC3	P18238	YEAST00194	SLC25A5	P05141	HUMAN101973	m:n	1197.27001953125	66.0	yes	OMA All.May2026 (API)
YBR085W	AAC3	P18238	YEAST00194	SLC25A6	P12236	HUMAN99570	m:n	1217.43994140625	67.0	yes	OMA All.May2026 (API)
YBR041W	FAT1	P38225	YEAST00198	SLC27A5	Q9Y2P5	HUMAN46676	1:n	818.5399780273438	121.0	yes	OMA All.May2026 (API)
YBR041W	FAT1	P38225	YEAST00198	SLC27A3	Q5K4L6	HUMAN52283	1:n	823.4400024414062	126.0	yes	OMA All.May2026 (API)
YBR041W	FAT1	P38225	YEAST00198	SLC27A1	Q6PCB7	HUMAN41804	1:n	875.8400268554688	128.0	yes	OMA All.May2026 (API)
YBR041W	FAT1	P38225	YEAST00198	SLC27A6	Q9Y2P4	HUMAN80562	1:n	877.8499755859375	134.0	yes	OMA All.May2026 (API)
YBR041W	FAT1	P38225	YEAST00198	SLC27A4	Q6P1M0	HUMAN98696	1:n	911.4400024414062	131.0	yes	OMA All.May2026 (API)
YBR041W	FAT1	P38225	YEAST00198	SLC27A2	O14975	HUMAN23043	1:n	966.2999877929688	132.0	yes	OMA All.May2026 (API)
YBR252W	DUT1	P33317	YEAST00199	DUT	H0YMM5	HUMAN22958	1:1	440.0	60.0	yes	OMA All.May2026 (API)
YBL082C	ALG3	P38179	YEAST00200	ALG3	Q92685	HUMAN73730	1:1	792.8300170898438	124.0	yes	OMA All.May2026 (API)
YBL002W	HTB2	P02294	YEAST00201	H2BC3	P33778	HUMAN83374	m:n	846.760009765625	20.85099983215332	yes	OMA All.May2026 (API)
YBL002W	HTB2	P02294	YEAST00201	H2BC14	Q99879	HUMAN83506	m:n	848.9000244140625	20.85099983215332	yes	OMA All.May2026 (API)
YBL002W	HTB2	P02294	YEAST00201	H2BC17	P23527	HUMAN83520	m:n	852.1500244140625	24.85930061340332	yes	OMA All.May2026 (API)
YBL002W	HTB2	P02294	YEAST00201	H2BC1	Q96A08	HUMAN83349	m:n	858.0399780273438	19.52050018310547	yes	OMA All.May2026 (API)
YBL002W	HTB2	P02294	YEAST00201	H2BC13	Q99880	HUMAN83502	m:n	859.97998046875	20.3976993560791	yes	OMA All.May2026 (API)
YBL098W	BNA4	P38169	YEAST00202	KMO	O15229	HUMAN55419	1:1	1055.5400390625	101.0	yes	OMA All.May2026 (API)
YBR117C	TKL2	P33315	YEAST00203	TKTL2	Q9H0I9	HUMAN77987	m:n	365.6600036621094	168.0	yes	OMA All.May2026 (API)
YBR117C	TKL2	P33315	YEAST00203	TKT	P29401	HUMAN70575	m:n	414.70001220703125	166.0	yes	OMA All.May2026 (API)
YBR169C	SSE2	P32590	YEAST00205	HSPA4	P34932	HUMAN80743	m:n	1748.4300537109375	99.0	yes	OMA All.May2026 (API)
YBR169C	SSE2	P32590	YEAST00205	HSPH1	Q92598	HUMAN16677	m:n	1772.97998046875	97.0	yes	OMA All.May2026 (API)
YBR155W	CNS1	P33313	YEAST00207	TTC4	O95801	HUMAN50060	1:1	318.4100036621094	140.0	yes	OMA All.May2026 (API)
YBR237W	PRP5	P21372	YEAST00209	DDX46	A0A0C4DG89	HUMAN80828	1:1	1360.8800048828125	112.0	yes	OMA All.May2026 (API)
YBR149W	ARA1	P38115	YEAST00211	AKR1C3	P42330	HUMAN00109	m:n	510.0	113.0	yes	OMA All.May2026 (API)
YBR149W	ARA1	P38115	YEAST00211	AKR1C1	Q04828	HUMAN00099	m:n	527.530029296875	109.0	yes	OMA All.May2026 (API)
YBR149W	ARA1	P38115	YEAST00211	AKR1C2	P52895	HUMAN00102	m:n	533.5999755859375	108.0	yes	OMA All.May2026 (API)
YBR149W	ARA1	P38115	YEAST00211	AKR1C8	Q5T2L2	HUMAN00110	m:n	567.6199951171875	109.0	yes	OMA All.May2026 (API)
YBR149W	ARA1	P38115	YEAST00211	AKR1D1	P51857	HUMAN91495	m:n	571.3200073242188	115.0	yes	OMA All.May2026 (API)
YBR149W	ARA1	P38115	YEAST00211	AKR1A1	P14550	HUMAN49596	m:n	573.0499877929688	115.0	yes	OMA All.May2026 (API)
YBR149W	ARA1	P38115	YEAST00211	AKR1E2	Q96JD6	HUMAN00092	m:n	582.0499877929688	105.0	yes	OMA All.May2026 (API)
YBR149W	ARA1	P38115	YEAST00211	AKR1B1	P15121	HUMAN91413	m:n	592.3300170898438	103.0	yes	OMA All.May2026 (API)
YBR149W	ARA1	P38115	YEAST00211	AKR1B10	O60218	HUMAN91416	m:n	679.1900024414062	99.0	yes	OMA All.May2026 (API)
YBR147W	RTC2	P38279	YEAST00215	SLC66A1	Q6ZP29	HUMAN47814	m:1	290.0400085449219	143.0	yes	OMA All.May2026 (API)
YBR002C	RER2	P35196	YEAST00217	DHDDS	A0A8V8TQ96	HUMAN48272	1:1	693.75	96.0	yes	OMA All.May2026 (API)
YBL064C	PRX1	P34227	YEAST00220	PRDX6	P30041	HUMAN53608	1:1	768.1799926757812	76.0	yes	OMA All.May2026 (API)
YBL091C	MAP2	P38174	YEAST00223	METAP2	P50579	HUMAN14743	1:1	1786.550048828125	53.0	yes	OMA All.May2026 (API)
YBR010W	HHT1; HHT2	P61830	YEAST00228	H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12	P68431	HUMAN83411	m:n	1340.18994140625	10.549200057983398	yes	OMA All.May2026 (API)
YBR010W	HHT1; HHT2	P61830	YEAST00228	H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12	P68431	HUMAN83416	m:n	1340.18994140625	10.549200057983398	yes	OMA All.May2026 (API)
YBR010W	HHT1; HHT2	P61830	YEAST00228	H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12	P68431	HUMAN83516	m:n	1340.18994140625	10.549200057983398	yes	OMA All.May2026 (API)
YBR010W	HHT1; HHT2	P61830	YEAST00228	H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12	P68431	HUMAN83518	m:n	1340.18994140625	10.549200057983398	yes	OMA All.May2026 (API)
YBR010W	HHT1; HHT2	P61830	YEAST00228	H3-3A; H3-3B	P84243	HUMAN36322	m:n	1378.3800048828125	9.044899940490723	yes	OMA All.May2026 (API)
YBR010W	HHT1; HHT2	P61830	YEAST00228	H3-3A; H3-3B	P84243	HUMAN54948	m:n	1378.3800048828125	9.044899940490723	yes	OMA All.May2026 (API)
YBR025C	OLA1	P38219	YEAST00233	OLA1	Q9NTK5	HUMAN65607	1:1	1642.93994140625	66.0	yes	OMA All.May2026 (API)
YBR084C-A	RPL19A	P0CX82	YEAST00236	RPL19	P84098	HUMAN33309	m:1	981.280029296875	55.0	yes	OMA All.May2026 (API)
YBR261C	TAE1	P38340	YEAST00238	NTMT1	Q9BV86	HUMAN98846	1:1	534.77001953125	112.0	yes	OMA All.May2026 (API)
YBR034C	HMT1	P38074	YEAST00239	PRMT8	Q9NR22	HUMAN10516	1:n	1322.2099609375	74.0	yes	OMA All.May2026 (API)
YBR034C	HMT1	P38074	YEAST00239	PRMT1	Q99873	HUMAN45141	1:n	1366.6800537109375	71.0	yes	OMA All.May2026 (API)
YBL039C	URA7	P28274	YEAST00246	CTPS2	Q9NRF8	HUMAN99888	m:n	2744.699951171875	57.0	yes	OMA All.May2026 (API)
YBL039C	URA7	P28274	YEAST00246	CTPS1	P17812	HUMAN49134	m:n	2906.590087890625	54.0	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC4; H2AC8	P04908	HUMAN83373	m:n	954.489990234375	20.3976993560791	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	HIST1H2AB	Q08AJ9	HUMAN83410	m:n	954.489990234375	20.3976993560791	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC7	P20671	HUMAN83406	m:n	957.6599731445312	19.954299926757812	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC1	Q96QV6	HUMAN83348	m:n	963.3800048828125	20.3976993560791	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC25	Q7L7L0	HUMAN55112	m:n	966.25	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC21	Q8IUE6	HUMAN51837	m:n	968.8300170898438	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	HIST1H2AK	A4FTV9	HUMAN83484	m:n	969.97998046875	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC12	Q96KK5	HUMAN83487	m:n	969.97998046875	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	HIST1H2AK	A4FTV9	HUMAN83503	m:n	969.97998046875	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC14	Q99878	HUMAN83505	m:n	969.97998046875	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC11; H2AC13; H2AC15; H2AC16; H2AC17	P0C0S8	HUMAN83513	m:n	969.97998046875	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC11; H2AC13; H2AC15; H2AC16; H2AC17	P0C0S8	HUMAN83514	m:n	969.97998046875	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC11; H2AC13; H2AC15; H2AC16; H2AC17	P0C0S8	HUMAN83519	m:n	969.97998046875	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC18; H2AC19	Q6FI13	HUMAN51829	m:n	971.4600219726562	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC18; H2AC19	Q6FI13	HUMAN51830	m:n	971.4600219726562	19.096099853515625	yes	OMA All.May2026 (API)
YBL003C	HTA2	P04912	YEAST00249	H2AC20	Q16777	HUMAN51836	m:n	971.4600219726562	19.096099853515625	yes	OMA All.May2026 (API)
YBR069C	TAT1	P38085	YEAST00250	SLC7A4	O43246	HUMAN59369	m:1	196.7899932861328	209.0	yes	OMA All.May2026 (API)
YBR009C	HHF1; HHF2	P02309	YEAST00252	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	P62805	HUMAN11373	m:n	1074.719970703125	8.283699989318848	yes	OMA All.May2026 (API)
YBR009C	HHF1; HHF2	P02309	YEAST00252	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	P62805	HUMAN51832	m:n	1074.719970703125	8.283699989318848	yes	OMA All.May2026 (API)
YBR009C	HHF1; HHF2	P02309	YEAST00252	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	P62805	HUMAN83370	m:n	1074.719970703125	8.283699989318848	yes	OMA All.May2026 (API)
YBR009C	HHF1; HHF2	P02309	YEAST00252	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	P62805	HUMAN83389	m:n	1074.719970703125	8.283699989318848	yes	OMA All.May2026 (API)
YBR009C	HHF1; HHF2	P02309	YEAST00252	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	P62805	HUMAN83401	m:n	1074.719970703125	8.283699989318848	yes	OMA All.May2026 (API)
YBR009C	HHF1; HHF2	P02309	YEAST00252	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	P62805	HUMAN83414	m:n	1074.719970703125	8.283699989318848	yes	OMA All.May2026 (API)
YBR009C	HHF1; HHF2	P02309	YEAST00252	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	P62805	HUMAN83420	m:n	1074.719970703125	8.283699989318848	yes	OMA All.May2026 (API)
YBR009C	HHF1; HHF2	P02309	YEAST00252	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	P62805	HUMAN83507	m:n	1074.719970703125	8.283699989318848	yes	OMA All.May2026 (API)
YBR009C	HHF1; HHF2	P02309	YEAST00252	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	P62805	HUMAN83508	m:n	1074.719970703125	8.283699989318848	yes	OMA All.May2026 (API)
YBR009C	HHF1; HHF2	P02309	YEAST00252	H4C1; H4C2; H4C3; H4C4; H4C5; H4C6; H4C8; H4C9; H4C11; H4C12; H4C13; H4C14; H4C15; H4C16	P62805	HUMAN83517	m:n	1074.719970703125	8.283699989318848	yes	OMA All.May2026 (API)
YBR092C	PHO3	P24031	YEAST00266	MINPP1	Q9UNW1	HUMAN02053	m:1	203.4600067138672	213.0	yes	OMA All.May2026 (API)
YBR159W	IFA38	P38286	YEAST00273	HSD17B3	P37058	HUMAN97708	1:n	473.5299987792969	108.0	yes	OMA All.May2026 (API)
YBR159W	IFA38	P38286	YEAST00273	HSD17B12	Q53GQ0	HUMAN05509	1:n	549.8699951171875	104.0	yes	OMA All.May2026 (API)
YPR080W	TEF1; TEF2	P02994	YEAST00274	EEF1A1P5	Q5VTE0	HUMAN85471	m:1	3911.39990234375	20.3976993560791	yes	OMA All.May2026 (API)
YBL004W	UTP20	P35194	YEAST00275	UTP20	O75691	HUMAN14921	1:1	1834.219970703125	177.0	yes	OMA All.May2026 (API)
YBR058C	UBP14	P38237	YEAST00287	USP13	Q92995	HUMAN73543	1:n	809.239990234375	136.0	yes	OMA All.May2026 (API)
YBR058C	UBP14	P38237	YEAST00287	USP5	P45974	HUMAN10800	1:n	893.4099731445312	136.0	yes	OMA All.May2026 (API)
YBL084C	CDC27	P38042	YEAST00288	CDC27	P30260	HUMAN34505	1:1	925.97998046875	128.0	yes	OMA All.May2026 (API)
YER117W	RPL23B	P0CX42	YEAST00291	RPL23	P62829	HUMAN33279	m:1	1128.77001953125	20.85099983215332	yes	OMA All.May2026 (API)
YBL092W	RPL32	P38061	YEAST00308	RPL32	P62910	HUMAN68626	1:1	711.6599731445312	45.0	yes	OMA All.May2026 (API)
YBR139W	ATG42	P38109	YEAST00313	CTSA	P10619	HUMAN57314	m:1	638.8599853515625	125.0	yes	OMA All.May2026 (API)
YBR111C	YSA1	Q01976	YEAST00318	NUDT5	Q9UKK9	HUMAN00263	1:1	519.7999877929688	89.0	yes	OMA All.May2026 (API)
YBR110W	ALG1	P16661	YEAST00320	ALG1	Q9BT22	HUMAN26463	1:1	891.6799926757812	113.0	yes	OMA All.May2026 (API)
YBL036C		P38197	YEAST00322	PLPBP	O94903	HUMAN93391	1:1	521.739990234375	86.0	yes	OMA All.May2026 (API)
YBL076C	ILS1	P09436	YEAST00329	IARS1	P41252	HUMAN97556	1:1	5027.7998046875	62.0	yes	OMA All.May2026 (API)
YBR189W	RPS9B	P05755	YEAST00337	RPS9	P46781	HUMAN45944	m:1	1308.27001953125	28.36359977722168	yes	OMA All.May2026 (API)
YBR011C	IPP1	P00817	YEAST00339	PPA2	Q9H2U2	HUMAN76853	1:1	1168.3699951171875	55.0	yes	OMA All.May2026 (API)
YBL041W	PRE7	P23724	YEAST00340	PSMB1	P20618	HUMAN87480	1:1	785.989990234375	79.0	yes	OMA All.May2026 (API)
YBR296C	PHO89	P38361	YEAST00344	SLC20A1	Q8WUM9	HUMAN64396	1:1	838.239990234375	130.0	yes	OMA All.May2026 (API)
YBL040C	ERD2	P18414	YEAST00345	KDELR2	P33947	HUMAN87793	1:n	808.5999755859375	73.0	yes	OMA All.May2026 (API)
YBL040C	ERD2	P18414	YEAST00345	KDELR3	O43731	HUMAN60565	1:n	818.3699951171875	76.0	yes	OMA All.May2026 (API)
