systematic	common	uniprot	in_orthodb	orthodb_og
YAR008W	SEN34	P39707	N	
YAR009C	TY1B-A	O13527	N	
YAR010C	TY1A-A	P0CX57	N	
YAR014C	BUD14	P27637	N	
YAR015W	ADE1	P27616	N	
YAR018C	KIN3	P22209	N	
YAR019C	CDC15	P27636	N	
YAR019W-A		A0A023PXB0	N	
YAR020C	PAU7	P39545	N	
YAR023C	DFP1	D6VPM8	N	
YAR027W	UIP3	P39547	N	
YAR028W	KTD1	P39548	N	
YAR029W	DFP2	P39549	N	
YAR030C		P39550	N	
YAR031W	PRM9	P39551	N	
YAR033W	MST28	P39552	N	
YAR035C-A		Q8TGV0	N	
YAR035W	YAT1	P80235	N	
YAR042W	SWH1	P35845	N	
YAR047C		P39557	N	
YAR050W	FLO1	P32768	N	
YAR053W		P39559	N	
YAR060C		P0CX88	N	
YAR061W		P0CX90	N	
YAR062W		P0CI66	N	
YAR064W		P39563	N	
YAR066W		P0CX18	N	
YAR068W		P39564	N	
YAR069C		P0CX92	N	
YAR070C		P39566	N	
YAR071W	PHO11	P35842	N	
YAR073W	IMD1	P39567	N	
YAR075W		O42831	N	
YBL001C	ECM15	P35195	N	
YBL002W	HTB2	P02294	N	
YBL003C	HTA2	P04912	N	
YBL004W	UTP20	P35194	N	
YBL005W	PDR3	P33200	N	
YBL005W-A	TY1A-BL	Q12266	N	
YBL005W-B	TY1B-BL	Q12490	N	
YBL006C	LDB7	P38210	N	
YBL006W-A		Q8TGQ6	N	
YBL007C	SLA1	P32790	N	
YBL008W	HIR1	P32479	N	
YBL008W-A		Q3E821	N	
YBL009W	ALK2	P32789	N	
YBL010C	LAA2	P32788	N	
YBL011W	SCT1	P32784	N	
YBL012C		P38209	N	
YBL013W	FMT1	P32785	N	
YBL014C	RRN6	P32786	N	
YBL015W	ACH1	P32316	N	
YBL016W	FUS3	P16892	N	
YBL017C	PEP1	P32319	N	
YBL018C	POP8	P38208	N	
YBL019W	APN2	P38207	N	
YBL020W	RFT1	P38206	N	
YBL021C	HAP3	P13434	N	
YBL022C	PIM1	P36775	N	
YBL023C	MCM2	P29469	N	
YBL024W	NCL1	P38205	N	
YBL025W	RRN10	P38204	N	
YBL026W	LSM2	P38203	N	
YBL027W	RPL19B	P0CX83	N	
YBL028C		P38202	N	
YBL029C-A		Q3E756	N	
YBL029W		P38201	N	
YBL030C	PET9	P18239	N	
YBL031W	SHE1	P38200	N	
YBL032W	HEK2	P38199	N	
YBL033C	RIB1	P38066	N	
YBL034C	STU1	P38198	N	
YBL035C	POL12	P38121	N	
YBL036C		P38197	N	
YBL037W	APL3	P38065	N	
YBL038W	MRPL16	P38064	N	
YBL039C	URA7	P28274	N	
YBL039C-A		P0C5K9	N	
YBL039W-B		P0C268	N	
YBL040C	ERD2	P18414	N	
YBL041W	PRE7	P23724	N	
YBL042C	FUI1	P38196	N	
YBL043W	ECM13	P38195	N	
YBL044W		P38194	N	
YBL045C	COR1	P07256	N	
YBL046W	PSY4	P38193	N	
YBL047C	EDE1	P34216	N	
YBL048W	RRT1	P38192	N	
YBL049W	MOH1	P38191	N	
YBL050W	SEC17	P32602	N	
YBL051C	PIN4	P34217	N	
YBL052C	SAS3	P34218	N	
YBL053W		P38190	N	
YBL054W	TOD6	P34219	N	
YBL055C		P34220	N	
YBL056W	PTC3	P34221	N	
YBL057C	PTH2	P34222	N	
YBL058W	SHP1	P34223	N	
YBL059C-A	CMC2	Q3E7A4	N	
YBL059W		P34224	N	
YBL060W	YEL1	P34225	N	
YBL061C	SKT5	P34226	N	
YBL062W		P38189	N	
YBL063W	KIP1	P28742	N	
YBL064C	PRX1	P34227	N	
YBL065W		P38188	N	
YBL066C	SEF1	P34228	N	
YBL067C	UBP13	P38187	N	
YBL068W	PRS4	P38063	N	
YBL068W-A		P0C5L1	N	
YBL069W	AST1	P35183	N	
YBL070C		P38186	N	
YBL071C		P38185	N	
YBL071C-B		Q8TGU8	N	
YBL071W-A	KTI11	Q3E840	N	
YBL072C	RPS8A	P0CX39	N	
YBL073W		P38184	N	
YBL074C	AAR2	P32357	N	
YBL075C	SSA3	P09435	N	
YBL076C	ILS1	P09436	N	
YBL077W		P38183	N	
YBL078C	ATG8	P38182	Y	4920361at2759
YBL079W	NUP170	P38181	N	
YBL080C	PET112	P33893	N	
YBL081W		P38180	N	
YBL082C	ALG3	P38179	N	
YBL083C		P38178	N	
YBL084C	CDC27	P38042	N	
YBL085W	BOI1	P38041	N	
YBL086C		P38177	N	
YBL087C	RPL23A	P0CX41	N	
YBL088C	TEL1	P38110	N	
YBL089W	AVT5	P38176	N	
YBL090W	MRP21	P38175	N	
YBL091C	MAP2	P38174	N	
YBL091C-A	SCS22	Q6Q595	N	
YBL092W	RPL32	P38061	N	
YBL093C	ROX3	P25046	N	
YBL094C		P38173	N	
YBL095W	MRX3	P38172	N	
YBL096C		P38171	N	
YBL097W	BRN1	P38170	N	
YBL098W	BNA4	P38169	N	
YBL099W	ATP1	P07251	N	
YBL100C		P38168	N	
YBL100W-A	TY2A-B	Q12260	N	
YBL100W-B	TY2B-B	Q12491	N	
YBL100W-C		P0C269	N	
YBL101C	ECM21	P38167	N	
YBL102W	SFT2	P38166	N	
YBL103C	RTG3	P38165	N	
YBL104C	SEA4	P38164	N	
YBL105C	PKC1	P24583	N	
YBL106C	SRO77	P38163	N	
YBL107C	MIX23	P38162	N	
YBL107W-A		Q6B113	N	
YBL108C-A	PAU9	Q3E770	N	
YBL108W		P38161	N	
YBL109W		P89495	N	
YBL111C		Q3E7Y5	N	
YBL112C		Q3E7Y4	N	
YBL113C		Q7M4S9	N	
YBL113W-A		Q8TGK5	N	
YBR001C	NTH2	P35172	N	
YBR002C	RER2	P35196	N	
YBR003W	COQ1	P18900	N	
YBR004C	GPI18	P38211	N	
YBR005W	RCR1	P38212	N	
YBR006W	UGA2	P38067	N	
YBR007C	DSF2	P38213	N	
YBR008C	FLR1	P38124	N	
YBR009C	HHF1; HHF2	P02309	N	
YBR010W	HHT1; HHT2	P61830	N	
YBR011C	IPP1	P00817	N	
YBR012C		P38214	N	
YBR012W-A	TY1A-BR	Q12217	N	
YBR012W-B	TY1B-BR	Q12193	N	
YBR013C		P38215	N	
YBR014C	GRX7	P38068	N	
YBR015C	MNN2	P38069	N	
YBR016W	CPP1	P38216	N	
YBR017C	KAP104	P38217	N	
YBR018C	GAL7	P08431	N	
YBR019C	GAL10	P04397	N	
YBR020W	GAL1	P04385	N	
YBR021W	FUR4	P05316	N	
YBR022W	POA1	P38218	N	
YBR023C	CHS3	P29465	N	
YBR024W	SCO2	P38072	N	
YBR025C	OLA1	P38219	N	
YBR026C	ETR1	P38071	N	
YBR027C		P38220	N	
YBR028C	YPK3	P38070	N	
YBR029C	CDS1	P38221	N	
YBR030W	RKM3	P38222	N	
YBR031W	RPL4A	P10664	N	
YBR032W		P38223	N	
YBR033W	EDS1	P38073	N	
YBR034C	HMT1	P38074	N	
YBR035C	PDX3	P38075	N	
YBR036C	CSG2	P35206	N	
YBR037C	SCO1	P23833	N	
YBR038W	CHS2	P14180	N	
YBR039W	ATP3	P38077	N	
YBR040W	FIG1	P38224	N	
YBR041W	FAT1	P38225	N	
YBR042C	CST26	P38226	N	
YBR043C	QDR3	P38227	N	
YBR044C	TCM62	P38228	N	
YBR045C	GIP1	P38229	N	
YBR046C	ZTA1	P38230	N	
YBR047W	FMP23	P38231	N	
YBR048W	RPS11B	P0CX48	N	
YBR049C	REB1	P21538	N	
YBR050C	REG2	P38232	N	
YBR051W		P38233	N	
YBR052C	RFS1	P38234	N	
YBR053C		P38235	N	
YBR054W	YRO2	P38079	N	
YBR055C	PRP6	P19735	N	
YBR056C-B		P0C5L0	N	
YBR056W		P38081	N	
YBR056W-A		I2HB52	N	
YBR057C	MUM2	P38236	N	
YBR058C	UBP14	P38237	N	
YBR058C-A	TSC3	Q3E790	N	
YBR059C	AKL1	P38080	N	
YBR060C	ORC2	P32833	N	
YBR061C	TRM7	P38238	N	
YBR062C		P38239	N	
YBR063C		P38083	N	
YBR064W		P38240	N	
YBR065C	ECM2	P38241	N	
YBR066C	NRG2	P38082	N	
YBR067C	TIP1	P27654	N	
YBR068C	BAP2	P38084	N	
YBR069C	TAT1	P38085	N	
YBR070C	ALG14	P38242	N	
YBR071W		P38243	N	
YBR072C-A		Q3E794	N	
YBR072W	HSP26	P15992	N	
YBR073W	RDH54	P38086	N	
YBR074W	PFF1	P38244	N	
YBR076C-A		P0C5L2	N	
YBR076W	ECM8	P38246	N	
YBR077C	SLM4	P38247	N	
YBR078W	ECM33	P38248	N	
YBR079C	RPG1	P38249	N	
YBR080C	SEC18	P18759	N	
YBR081C	SPT7	P35177	N	
YBR082C	UBC4	P15731	Y	535258at2759
YBR083W	TEC1	P18412	N	
YBR084C-A	RPL19A	P0CX82	N	
YBR084W	MIS1	P09440	N	
YBR085C-A		O43137	N	
YBR085W	AAC3	P18238	N	
YBR086C	IST2	P38250	N	
YBR087W	RFC5	P38251	N	
YBR088C	POL30	P15873	N	
YBR089C-A	NHP6B	P11633	N	
YBR089W		P38252	N	
YBR090C		P38253	N	
YBR091C	TIM12	P32830	N	
YBR092C	PHO3	P24031	N	
YBR093C	PHO5	P00635	N	
YBR094W	PBY1	P38254	N	
YBR095C	RXT2	P38255	N	
YBR096W		P38256	N	
YBR097W	VPS15	P22219	N	
YBR098W	MMS4	P38257	N	
YBR099C		P38258	N	
YBR101C	FES1	P38260	N	
YBR102C	EXO84	P38261	N	
YBR103C-A		P0C5L3	N	
YBR103W	SIF2	P38262	N	
YBR104W	YMC2	P38087	N	
YBR105C	VID24	P38263	Y	2678129at2759
YBR106W	PHO88	P38264	N	
YBR107C	IML3	P38265	N	
YBR108W	AIM3	P38266	N	
YBR109C	CMD1	P06787	N	
YBR109W-A		P90471	N	
YBR110W	ALG1	P16661	N	
YBR111C	YSA1	Q01976	N	
YBR111W-A	SUS1	Q6WNK7	N	
YBR112C	CYC8	P14922	N	
YBR113W		P38267	N	
YBR114W	RAD16	P31244	N	
YBR115C	LYS2	P07702	N	
YBR116C		P38268	N	
YBR117C	TKL2	P33315	N	
YBR119W	MUD1	P32605	N	
YBR120C	CBP6	P07253	N	
YBR121C	GRS1	P38088	N	
YBR121C-A		P0C5L4	N	
YBR122C	MRPL36	P36531	N	
YBR123C	TFC1	P32367	N	
YBR124W		P38269	N	
YBR125C	PTC4	P38089	N	
YBR126C	TPS1	Q00764	N	
YBR126W-A		Q8TGU7	N	
YBR126W-B		A0A023PXH5	N	
YBR127C	VMA2	P16140	N	
YBR128C	ATG14	P38270	N	
YBR129C	OPY1	P38271	N	
YBR130C	SHE3	P38272	N	
YBR131C-A		Q8TGQ5	N	
YBR131W	CCZ1	P38273	N	
YBR132C	AGP2	P38090	N	
YBR133C	HSL7	P38274	N	
YBR134W		P38275	N	
YBR135W	CKS1	P20486	N	
YBR136W	MEC1	P38111	N	
YBR137W		P38276	N	
YBR138C		P38277	N	
YBR139W	ATG42	P38109	N	
YBR140C	IRA1	P18963	N	
YBR141C	BMT2	P38278	N	
YBR141W-A		Q8TGQ4	N	
YBR142W	MAK5	P38112	N	
YBR143C	SUP45	P12385	N	
YBR144C		P34215	N	
YBR145W	ADH5	P38113	N	
YBR146W	MRPS9	P38120	N	
YBR147W	RTC2	P38279	N	
YBR148W	YSW1	P38280	N	
YBR149W	ARA1	P38115	Y	4660629at2759
YBR150C	TBS1	P38114	N	
YBR151W	APD1	P38281	N	
YBR152W	SPP381	P38282	N	
YBR153W	RIB7	P33312	N	
YBR154C	RPB5	P20434	N	
YBR155W	CNS1	P33313	N	
YBR156C	SLI15	P38283	N	
YBR157C	ICS2	P38284	N	
YBR158W	AMN1	P38285	N	
YBR159W	IFA38	P38286	N	
YBR160W	CDC28	P00546	N	
YBR161W	CSH1	P38287	N	
YBR162C	TOS1	P38288	N	
YBR162W-A	YSY6	P38374	N	
YBR163W	EXO5	P38289	N	
YBR164C	ARL1	P38116	Y	4819201at2759
YBR165W	UBS1	P38290	N	
YBR166C	TYR1	P20049	N	
YBR167C	POP7	P38291	N	
YBR168W	PEX32	P38292	N	
YBR169C	SSE2	P32590	N	
YBR170C	NPL4	P33755	N	
YBR171W	SEC66	P33754	N	
YBR172C	SMY2	P32909	N	
YBR173C	UMP1	P38293	N	
YBR174C		P38294	N	
YBR175W	SWD3	P38123	N	
YBR176W	ECM31	P38122	N	
YBR177C	EHT1	P38295	N	
YBR178W		P38296	N	
YBR179C	FZO1	P38297	N	
YBR180W	DTR1	P38125	N	
YBR181C	RPS6B	P0CX38	N	
YBR182C	SMP1	P38128	N	
YBR182C-A		Q8TGU6	N	
YBR183W	YPC1	P38298	N	
YBR184W		P38299	N	
YBR185C	MBA1	P38300	N	
YBR186W	PCH2	P38126	N	
YBR187W	GDT1	P38301	N	
YBR188C	NTC20	P38302	N	
YBR189W	RPS9B	P05755	N	
YBR190W		P38303	N	
YBR191W	RPL21A	Q02753	N	
YBR191W-A		P0C5L5	N	
YBR192W	RIM2	P38127	N	
YBR193C	MED8	P38304	N	
YBR194W	AIM4	P38305	N	
YBR195C	MSI1	P13712	N	
YBR196C	PGI1	P12709	N	
YBR196C-A		Q3E820	N	
YBR196C-B		Q3E778	N	
YBR197C		P38306	N	
YBR198C	TAF5	P38129	N	
YBR199W	KTR4	P38131	N	
YBR200W	BEM1	P29366	N	
YBR200W-A		Q3E755	N	
YBR201C-A		Q2V2Q3	N	
YBR201W	DER1	P38307	N	
YBR202W	MCM7	P38132	N	
YBR203W	COS111	P38308	N	
YBR204C	LDH1	P38139	N	
YBR205W	KTR3	P38130	N	
YBR206W		P38309	N	
YBR207W	FTH1	P38310	N	
YBR208C	DUR1,2	P32528	N	
YBR209W		P38311	N	
YBR210W	ERV15	P38312	Y	4425416at2759
YBR211C	AME1	P38313	N	
YBR212W	NGR1	P32831	N	
YBR213W	MET8	P15807	N	
YBR214W	SDS24	P38314	N	
YBR215W	HPC2	Q01448	N	
YBR216C	YBP1	P38315	N	
YBR217W	ATG12	P38316	N	
YBR218C	PYC2	P32327	N	
YBR219C		P38317	N	
YBR220C		P38318	N	
YBR221C	PDB1	P32473	N	
YBR221W-A		Q3E781	N	
YBR222C	PCS60	P38137	N	
YBR223C	TDP1	P38319	N	
YBR223W-A		Q8TGQ3	N	
YBR224W		P38320	N	
YBR225W		P38321	N	
YBR226C		P38322	N	
YBR227C	MCX1	P38323	N	
YBR228W	SLX1	P38324	N	
YBR229C	ROT2	P38138	N	
YBR230C	OM14	P38325	N	
YBR230W-A		Q3E762	N	
YBR231C	SWC5	P38326	N	
YBR232C		P38327	N	
YBR233W	PBP2	P38151	N	
YBR233W-A	DAD3	P69850	N	
YBR234C	ARC40	P38328	N	
YBR235W	VHC1	P38329	N	
YBR236C	ABD1	P32783	N	
YBR237W	PRP5	P21372	N	
YBR238C		P38330	N	
YBR239C	ERT1	P38140	N	
YBR240C	THI2	P38141	N	
YBR241C		P38142	N	
YBR242W		P38331	N	
YBR243C	ALG7	P07286	N	
YBR244W	GPX2	P38143	N	
YBR245C	ISW1	P38144	N	
YBR246W	RRT2	P38332	N	
YBR247C	ENP1	P38333	N	
YBR248C	HIS7	P33734	N	
YBR249C	ARO4	P32449	N	
YBR250W	SPO23	P33757	N	
YBR251W	MRPS5	P33759	N	
YBR252W	DUT1	P33317	N	
YBR253W	SRB6	P32570	N	
YBR254C	TRS20	P38334	N	
YBR255C-A		Q3E776	N	
YBR255W	MTC4	P38335	N	
YBR256C	RIB5	P38145	N	
YBR257W	POP4	P38336	N	
YBR258C	SHG1	P38337	N	
YBR259W		P38338	N	
YBR260C	RGD1	P38339	N	
YBR261C	TAE1	P38340	N	
YBR262C	MIC12	P38341	N	
YBR263W	SHM1	P37292	N	
YBR264C	YPT10	P38146	N	
YBR265W	TSC10	P38342	N	
YBR266C	SLM6	P38343	N	
YBR267W	REI1	P38344	N	
YBR268W	MRPL37	P36532	N	
YBR269C	SDH8	P38345	N	
YBR270C	BIT2	P38346	N	
YBR271W	EFM2	P38347	N	
YBR272C	HSM3	P38348	N	
YBR273C	UBX7	P38349	N	
YBR274W	CHK1	P38147	N	
YBR275C	RIF1	P29539	N	
YBR276C	PPS1	P38148	N	
YBR277C		P38350	N	
YBR278W	DPB3	P27344	N	
YBR279W	PAF1	P38351	N	
YBR280C	SAF1	P38352	N	
YBR281C	DUG2	P38149	N	
YBR282W	MRPL27	P36526	N	
YBR283C	SSH1	P38353	N	
YBR284W		P38150	N	
YBR285W		P38354	N	
YBR286W	APE3	P37302	N	
YBR287W		P38355	N	
YBR288C	APM3	P38153	N	
YBR289W	SNF5	P18480	N	
YBR290W	BSD2	P38356	N	
YBR291C	CTP1	P38152	N	
YBR292C		P38357	N	
YBR293W	VBA2	P38358	N	
YBR294W	SUL1	P38359	N	
YBR295W	PCA1	P38360	N	
YBR296C	PHO89	P38361	N	
YBR296C-A		Q8TGU5	N	
YBR297W	MAL33	P38157	N	
YBR298C	MAL31	P38156	N	
YBR298C-A		Q8TGK4	N	
YBR299W	MAL32	P38158	N	
YBR300C		P38362	N	
YBR301W	PAU24	P38155	N	
YBR302C	COS2	P0CX12	N	
YCL001W	RER1	P25560	N	
YCL001W-A		P87012	N	
YCL001W-B		Q96VH2	N	
YCL002C		P25565	N	
YCL004W	PGS1	P25578	N	
YCL005W	LDB16	P25587	N	
YCL005W-A	VMA9	Q3E7B6	N	
YCL007C	CWH36	P25603	N	
YCL008C	STP22	P25604	N	
YCL009C	ILV6	P25605	N	
YCL010C	SGF29	P25554	N	
YCL011C	GBP2	P25555	N	
YCL012C		Q8J0M4	N	
YCL014W	BUD3	P25558	N	
YCL016C	DCC1	P25559	N	
YCL017C	NFS1	P25374	N	
YCL018W	LEU2	P04173	N	
YCL019W	TY2B-C	P25384	N	
YCL020W	TY2A-C	P25383	N	
YCL021W		P25561	N	
YCL021W-A		Q96VH3	N	
YCL022C		P25562	N	
YCL023C		P25563	N	
YCL024W	KCC4	P25389	N	
YCL025C	AGP1	P25376	N	
YCL026C-A	FRM2	P37261	N	
YCL026C-B	HBN1	Q96VH4	N	
YCL027W	FUS1	P11710	N	
YCL028W	RNQ1	P25367	N	
YCL029C	BIK1	P11709	N	
YCL030C	HIS4	P00815	N	
YCL031C	RRP7	P25368	N	
YCL032W	STE50	P25344	N	
YCL033C	MXR2	P25566	N	
YCL034W	LSB5	P25369	N	
YCL035C	GRX1	P25373	N	
YCL036W	GFD2	P25370	N	
YCL037C	SRO9	P25567	N	
YCL038C	ATG22	P25568	N	
YCL039W	GID7	P25569	N	
YCL040W	GLK1	P17709	N	
YCL041C		P25571	N	
YCL042W		P25572	N	
YCL043C	PDI1	P17967	N	
YCL044C	MGR1	P25573	N	
YCL045C	EMC1	P25574	N	
YCL046W		P25575	N	
YCL047C	POF1	P25576	N	
YCL048W	SPS22	P25380	N	
YCL048W-A		Q2V2Q2	N	
YCL049C		P25577	N	
YCL050C	APA1	P16550	N	
YCL051W	LRE1	P25579	N	
YCL052C	PBN1	P25580	N	
YCL054W	SPB1	P25582	N	
YCL054W-A	RDT1	A0A0B7P221	N	
YCL055W	KAR4	P25583	N	
YCL056C	PEX34	P25584	N	
YCL057C-A	MIC10	Q96VH5	N	
YCL057W	PRD1	P25375	N	
YCL058C	FYV5	P25585	N	
YCL058W-A	ADF1	Q2V2Q1	N	
YCL059C	KRR1	P25586	N	
YCL061C	MRC1	P25588	N	
YCL063W	VAC17	P25591	N	
YCL064C	CHA1	P25379	N	
YCL065W		P37264	N	
YCL066W	HMLALPHA1	P0CY07	N	
YCL067C	HMLALPHA2	P0CY09	N	
YCL068C		P25593	N	
YCL069W	VBA3	P25594	N	
YCL073C	GEX1	P25596	N	
YCL074W	TY5A	P25600	N	
YCL075W	TY5B	P25601	N	
YCL076W		P25602	N	
YCR001W		P25347	N	
YCR002C	CDC10	P25342	Y	2731767at2759
YCR003W	MRPL32	P25348	N	
YCR004C	YCP4	P25349	N	
YCR005C	CIT2	P08679	N	
YCR006C		P25350	N	
YCR007C	DFP3	P25354	N	
YCR008W	SAT4	P25333	N	
YCR009C	RVS161	P25343	N	
YCR010C	ADY2	P25613	N	
YCR011C	ADP1	P25371	N	
YCR012W	PGK1	P00560	N	
YCR013C		P25614	N	
YCR014C	POL4	P25615	N	
YCR015C	CTO1	P25616	N	
YCR016W		P25617	N	
YCR017C	CWH43	P25618	N	
YCR018C	SRD1	P09007	N	
YCR018C-A		Q96VH1	N	
YCR019W	MAK32	P23060	N	
YCR020C	PET18	P25362	N	
YCR020C-A	MAK31	P23059	N	
YCR020W-B	HTL1	Q9URQ5	N	
YCR021C	HSP30	P25619	N	
YCR022C		P25620	N	
YCR023C		P25351	N	
YCR024C	SLM5	P25345	N	
YCR024C-A	PMP1	P32903	N	
YCR024C-B		Q3E7Z8	N	
YCR025C		P25352	N	
YCR026C	NPP1	P25353	N	
YCR027C	RHB1	P25378	N	
YCR028C	FEN2	P25621	N	
YCR028C-A	RIM1	P32445	N	
YCR030C	SYP1	P25623	N	
YCR031C	RPS14A	P06367	N	
YCR032W	BPH1	P25356	N	
YCR033W	SNT1	P25357	N	
YCR034W	ELO2	P25358	N	
YCR035C	RRP43	P25359	N	
YCR036W	RBK1	P25332	N	
YCR037C	PHO87	P25360	N	
YCR038C	BUD5	P25300	N	
YCR038W-A		Q96VG8	N	
YCR039C	MATALPHA2	P0CY08	N	
YCR040W	MATALPHA1	P0CY06	N	
YCR041W		P37265	N	
YCR042C	TAF2	P23255	N	
YCR043C		P25361	N	
YCR044C	PER1	P25625	N	
YCR045C	RRT12	P25381	N	
YCR045W-A		Q8TGQ2	N	
YCR046C	IMG1	P25626	N	
YCR047C	BUD23	P25627	N	
YCR047W-A		Q8TGQ1	N	
YCR048W	ARE1	P25628	N	
YCR049C		P25629	N	
YCR050C		P25630	N	
YCR051W		P25631	N	
YCR052W	RSC6	P25632	N	
YCR053W	THR4	P16120	N	
YCR054C	CTR86	P25355	N	
YCR057C	PWP2	P25635	N	
YCR059C	YIH1	P25637	N	
YCR060W	TAH1	P25638	N	
YCR061W		P25639	N	
YCR063W	BUD31	P25337	N	
YCR064C		P25640	N	
YCR065W	HCM1	P25364	N	
YCR066W	RAD18	P10862	N	
YCR067C	SED4	P25365	N	
YCR068W	ATG15	P25641	N	
YCR069W	CPR4	P25334	N	
YCR071C	IMG2	P25642	N	
YCR072C	RSA4	P25382	N	
YCR073C	SSK22	P25390	N	
YCR073W-A	SOL2	P37262	N	
YCR075C	ERS1	P17261	N	
YCR075W-A	EGO2	Q3E830	N	
YCR076C	FUB1	P25659	N	
YCR077C	PAT1	P25644	N	
YCR079W	PTC6	P25646	N	
YCR081C-A		Q8TGQ0	N	
YCR081W	SRB8	P25648	N	
YCR082W	AHC2	P25649	N	
YCR083W	TRX3	P25372	N	
YCR084C	TUP1	P16649	N	
YCR085W		P25650	N	
YCR086W	CSM1	P25651	N	
YCR087C-A		P37263	N	
YCR087W		P25652	N	
YCR088W	ABP1	P15891	N	
YCR089W	FIG2	P25653	N	
YCR090C		P25654	N	
YCR091W	KIN82	P25341	N	
YCR092C	MSH3	P25336	N	
YCR093W	CDC39	P25655	N	
YCR094W	CDC50	P25656	N	
YCR095C	OCA4	P25366	N	
YCR095W-A		Q3E787	N	
YCR096C	HMRA2	P0CY13	N	
YCR097W	HMRA1	P0CY11	N	
