yeast_systematic	yeast_common	yeast_uniprot	human_symbol	human_uniprot	ortholog_type	cluster_id	cluster_score	yeast_confidence	human_confidence	source
YIL048W	NEO1	P40527	ATP9A	O75110	m:n	37	952	1.0	0.49	InParanoid9
YBL075C	SSA3	P09435	HSPA1A	P0DMV8	m:n	38	951	0.375	1.0	InParanoid9
YBL075C	SSA3	P09435	HSPA1B	P0DMV9	m:n	38	951	0.375	1.0	InParanoid9
YBL075C	SSA3	P09435	HSPA8	P11142	m:n	38	951	0.375	1.0	InParanoid9
YBL075C	SSA3	P09435	HSPA6	P17066	m:n	38	951	0.375	0.375	InParanoid9
YBL075C	SSA3	P09435	HSPA1L	P34931	m:n	38	951	0.375	0.584	InParanoid9
YBL075C	SSA3	P09435	HSPA2	P54652	m:n	38	951	0.375	0.473	InParanoid9
YAL005C	SSA1	P10591	HSPA1A	P0DMV8	m:n	38	951	0.887	1.0	InParanoid9
YAL005C	SSA1	P10591	HSPA1B	P0DMV9	m:n	38	951	0.887	1.0	InParanoid9
YAL005C	SSA1	P10591	HSPA8	P11142	m:n	38	951	0.887	1.0	InParanoid9
YAL005C	SSA1	P10591	HSPA6	P17066	m:n	38	951	0.887	0.375	InParanoid9
YAL005C	SSA1	P10591	HSPA1L	P34931	m:n	38	951	0.887	0.584	InParanoid9
YAL005C	SSA1	P10591	HSPA2	P54652	m:n	38	951	0.887	0.473	InParanoid9
YLL024C	SSA2	P10592	HSPA1A	P0DMV8	m:n	38	951	1.0	1.0	InParanoid9
YLL024C	SSA2	P10592	HSPA1B	P0DMV9	m:n	38	951	1.0	1.0	InParanoid9
YLL024C	SSA2	P10592	HSPA8	P11142	m:n	38	951	1.0	1.0	InParanoid9
YLL024C	SSA2	P10592	HSPA6	P17066	m:n	38	951	1.0	0.375	InParanoid9
YLL024C	SSA2	P10592	HSPA1L	P34931	m:n	38	951	1.0	0.584	InParanoid9
YLL024C	SSA2	P10592	HSPA2	P54652	m:n	38	951	1.0	0.473	InParanoid9
YER103W	SSA4	P22202	HSPA1A	P0DMV8	m:n	38	951	1.0	1.0	InParanoid9
YER103W	SSA4	P22202	HSPA1B	P0DMV9	m:n	38	951	1.0	1.0	InParanoid9
YER103W	SSA4	P22202	HSPA8	P11142	m:n	38	951	1.0	1.0	InParanoid9
YER103W	SSA4	P22202	HSPA6	P17066	m:n	38	951	1.0	0.375	InParanoid9
YER103W	SSA4	P22202	HSPA1L	P34931	m:n	38	951	1.0	0.584	InParanoid9
YER103W	SSA4	P22202	HSPA2	P54652	m:n	38	951	1.0	0.473	InParanoid9
YMR080C	NAM7	P30771	UPF1	Q92900	1:1	39	935	1.0	1.0	InParanoid9
YBR245C	ISW1	P38144	SMARCA5	O60264	m:n	40	931	0.071	1.0	InParanoid9
YBR245C	ISW1	P38144	SMARCA1	P28370	m:n	40	931	0.071	0.682	InParanoid9
YOR304W	ISW2	Q08773	SMARCA5	O60264	m:n	40	931	1.0	1.0	InParanoid9
YOR304W	ISW2	Q08773	SMARCA1	P28370	m:n	40	931	1.0	0.682	InParanoid9
YER013W	PRP22	P24384	DHX8	Q14562	1:1	41	929	1.0	1.0	InParanoid9
YPR184W	GDB1	Q06625	AGL	P35573	1:1	42	927	1.0	1.0	InParanoid9
YPR010C	RPA135	P22138	POLR1B	Q9H9Y6	1:1	43	917	1.0	1.0	InParanoid9
YPL160W	CDC60	P26637	LARS1	Q9P2J5	1:1	44	900	1.0	1.0	InParanoid9
YOR335C	ALA1	P40825	AARS1	P49588	1:1	45	879	1.0	1.0	InParanoid9
YOR326W	MYO2	P19524	MYO5C	Q9NQX4	m:n	46	862	1.0	0.258	InParanoid9
YOR326W	MYO2	P19524	MYO5B	Q9ULV0	m:n	46	862	1.0	1.0	InParanoid9
YOR326W	MYO2	P19524	MYO5A	Q9Y4I1	m:n	46	862	1.0	0.483	InParanoid9
YAL029C	MYO4	P32492	MYO5C	Q9NQX4	m:n	46	862	0.221	0.258	InParanoid9
YAL029C	MYO4	P32492	MYO5B	Q9ULV0	m:n	46	862	0.221	1.0	InParanoid9
YAL029C	MYO4	P32492	MYO5A	Q9Y4I1	m:n	46	862	0.221	0.483	InParanoid9
YDR091C	RLI1	Q03195	ABCE1	P61221	1:1	47	854	1.0	1.0	InParanoid9
YJL045W		P47052	SDHA	P31040	m:n	48	852	0.565	1.0	InParanoid9
YKL148C	SDH1	Q00711	SDHA	P31040	m:n	48	852	1.0	1.0	InParanoid9
YGL120C	PRP43	P53131	DHX15	O43143	1:1	49	850	1.0	1.0	InParanoid9
YMR288W	HSH155	P49955	SF3B1	O75533	1:1	50	842	1.0	1.0	InParanoid9
YHR074W	QNS1	P38795	NADSYN1	Q6IA69	1:1	51	842	1.0	1.0	InParanoid9
YIL125W	KGD1	P20967	OGDH	Q02218	m:n	52	837	1.0	1.0	InParanoid9
YIL125W	KGD1	P20967	OGDHL	Q9ULD0	m:n	52	837	1.0	0.615	InParanoid9
YJL034W	KAR2	P16474	HSPA5	P11021	1:1	53	836	1.0	1.0	InParanoid9
YPL086C	ELP3	Q02908	ELP3	Q9H9T3	1:1	54	833	1.0	1.0	InParanoid9
YPL240C	HSP82	P02829	HSP90AA1	P07900	m:n	55	830	0.917	0.697	InParanoid9
YPL240C	HSP82	P02829	HSP90AB1	P08238	m:n	55	830	0.917	1.0	InParanoid9
YPL240C	HSP82	P02829	HSP90AB3P	Q58FF7	m:n	55	830	0.917	0.355	InParanoid9
YMR186W	HSC82	P15108	HSP90AA1	P07900	m:n	55	830	1.0	0.697	InParanoid9
YMR186W	HSC82	P15108	HSP90AB1	P08238	m:n	55	830	1.0	1.0	InParanoid9
YMR186W	HSC82	P15108	HSP90AB3P	Q58FF7	m:n	55	830	1.0	0.355	InParanoid9
YGL167C	PMR1	P13586	ATP2C2	O75185	m:n	56	825	1.0	0.367	InParanoid9
YGL167C	PMR1	P13586	ATP2C1	P98194	m:n	56	825	1.0	1.0	InParanoid9
YJR045C	SSC1	P0CS90	HSPA9	P38646	m:n	57	821	1.0	1.0	InParanoid9
YEL030W	ECM10	P39987	HSPA9	P38646	m:n	57	821	0.48	1.0	InParanoid9
YEL031W	SPF1	P39986	ATP13A1	Q9HD20	1:1	58	818	1.0	1.0	InParanoid9
YER171W	RAD3	P06839	ERCC2	P18074	1:1	59	807	1.0	1.0	InParanoid9
YOR290C	SNF2	P22082	SMARCA2	P51531	m:n	60	805	1.0	1.0	InParanoid9
YOR290C	SNF2	P22082	SMARCA4	P51532	m:n	60	805	1.0	1.0	InParanoid9
YIL126W	STH1	P32597	SMARCA2	P51531	m:n	60	805	1.0	1.0	InParanoid9
YIL126W	STH1	P32597	SMARCA4	P51532	m:n	60	805	1.0	1.0	InParanoid9
YIL078W	THS1	P04801	TARS3	A2RTX5	m:n	61	793	1.0	0.434	InParanoid9
YIL078W	THS1	P04801	TARS1	P26639	m:n	61	793	1.0	1.0	InParanoid9
YEL011W	GLC3	P32775	GBE1	Q04446	1:1	62	787	1.0	1.0	InParanoid9
YIL143C	SSL2	Q00578	ERCC3	P19447	1:1	63	783	1.0	1.0	InParanoid9
YLR069C	MEF1	P25039	GFM1	Q96RP9	1:1	64	780	1.0	1.0	InParanoid9
YPL217C	BMS1	Q08965	BMS1	Q14692	1:1	65	779	1.0	1.0	InParanoid9
YGL022W	STT3	P39007	STT3A	P46977	m:n	66	771	1.0	0.103	InParanoid9
YGL022W	STT3	P39007	STT3B	Q8TCJ2	m:n	66	771	1.0	1.0	InParanoid9
YDR238C	SEC26	P41810	COPB1	P53618	1:1	67	768	1.0	1.0	InParanoid9
YBL022C	PIM1	P36775	LONP1	P36776	1:1	68	764	1.0	1.0	InParanoid9
YKL129C	MYO3	P36006	MYO1F	O00160	m:n	69	763	0.617	1.0	InParanoid9
YKL129C	MYO3	P36006	MYO1E	Q12965	m:n	69	763	0.617	0.571	InParanoid9
YMR109W	MYO5	Q04439	MYO1F	O00160	m:n	69	763	1.0	1.0	InParanoid9
YMR109W	MYO5	Q04439	MYO1E	Q12965	m:n	69	763	1.0	0.571	InParanoid9
YBR127C	VMA2	P16140	ATP6V1B1	P15313	m:n	70	763	1.0	0.413	InParanoid9
YBR127C	VMA2	P16140	ATP6V1B2	P21281	m:n	70	763	1.0	1.0	InParanoid9
YKL104C	GFA1	P14742	GFPT2	O94808	m:n	71	763	1.0	1.0	InParanoid9
YKL104C	GFA1	P14742	GFPT1	Q06210	m:n	71	763	1.0	0.569	InParanoid9
YPR160W	GPH1	P06738	PYGL	P06737	m:n	72	762	1.0	1.0	InParanoid9
YPR160W	GPH1	P06738	PYGB	P11216	m:n	72	762	1.0	0.714	InParanoid9
YPR160W	GPH1	P06738	PYGM	P11217	m:n	72	762	1.0	0.693	InParanoid9
YPR080W	TEF1; TEF2	P02994	EEF1A1	P68104	m:n	73	760	1.0	1.0	InParanoid9
YPR080W	TEF1; TEF2	P02994	EEF1A2	Q05639	m:n	73	760	1.0	0.643	InParanoid9
YPR080W	TEF1; TEF2	P02994	EEF1A1P5	Q5VTE0	m:n	73	760	1.0	0.971	InParanoid9
YBL099W	ATP1	P07251	ATP5F1A	P25705	1:1	74	742	1.0	1.0	InParanoid9
YNL163C	RIA1	P53893	EFL1	Q7Z2Z2	1:1	75	742	1.0	1.0	InParanoid9
YBL023C	MCM2	P29469	MCM2	P49736	1:1	76	740	1.0	1.0	InParanoid9
YPR181C	SEC23	P15303	SEC23A	Q15436	m:n	77	738	1.0	1.0	InParanoid9
YPR181C	SEC23	P15303	SEC23B	Q15437	m:n	77	738	1.0	0.749	InParanoid9
YKR086W	PRP16	P15938	DHX38	Q92620	1:1	78	737	1.0	1.0	InParanoid9
YHR186C	KOG1	P38873	RPTOR	Q8N122	1:1	79	737	1.0	1.0	InParanoid9
YJR121W	ATP2	P00830	ATP5F1B	P06576	1:1	80	733	1.0	1.0	InParanoid9
YOL021C	DIS3	Q08162	DIS3	Q9Y2L1	1:1	81	733	1.0	1.0	InParanoid9
YER164W	CHD1	P32657	CHD1	O14646	m:n	82	732	1.0	1.0	InParanoid9
YER164W	CHD1	P32657	CHD2	O14647	m:n	82	732	1.0	0.449	InParanoid9
YPL167C	REV3	P14284	REV3L	O60673	1:1	83	732	1.0	1.0	InParanoid9
YFR015C	GSY1	P23337	GYS1	P13807	m:n	84	725	1.0	1.0	InParanoid9
YFR015C	GSY1	P23337	GYS2	P54840	m:n	84	725	1.0	0.387	InParanoid9
YLR258W	GSY2	P27472	GYS1	P13807	m:n	84	725	0.661	1.0	InParanoid9
YLR258W	GSY2	P27472	GYS2	P54840	m:n	84	725	0.661	0.387	InParanoid9
YDL145C	COP1	P53622	COPA	P53621	1:1	85	723	1.0	1.0	InParanoid9
YMR120C	ADE17	P38009	ATIC	P31939	m:n	86	718	1.0	1.0	InParanoid9
YLR028C	ADE16	P54113	ATIC	P31939	m:n	86	718	0.675	1.0	InParanoid9
YDR170C	SEC7	P11075	ARFGEF2	Q9Y6D5	m:n	87	718	1.0	1.0	InParanoid9
YDR170C	SEC7	P11075	ARFGEF1	Q9Y6D6	m:n	87	718	1.0	0.681	InParanoid9
YGL173C	XRN1	P22147	XRN1	Q8IZH2	1:1	88	716	1.0	1.0	InParanoid9
YFL037W	TUB2	P02557	TUBB8B	A6NNZ2	m:n	89	715	1.0	0.51	InParanoid9
YFL037W	TUB2	P02557	TUBB4A	P04350	m:n	89	715	1.0	0.918	InParanoid9
YFL037W	TUB2	P02557	TUBB	P07437	m:n	89	715	1.0	0.902	InParanoid9
YFL037W	TUB2	P02557	TUBB4B	P68371	m:n	89	715	1.0	1.0	InParanoid9
YFL037W	TUB2	P02557	TUBB3	Q13509	m:n	89	715	1.0	0.711	InParanoid9
YFL037W	TUB2	P02557	TUBB2A	Q13885	m:n	89	715	1.0	0.871	InParanoid9
YFL037W	TUB2	P02557	TUBB8	Q3ZCM7	m:n	89	715	1.0	0.634	InParanoid9
YFL037W	TUB2	P02557	TUBB6	Q9BUF5	m:n	89	715	1.0	0.608	InParanoid9
YFL037W	TUB2	P02557	TUBB2B	Q9BVA1	m:n	89	715	1.0	0.902	InParanoid9
YFL037W	TUB2	P02557	TUBB1	Q9H4B7	m:n	89	715	1.0	0.093	InParanoid9
YML085C	TUB1	P09733	TUBA3C	P0DPH7	m:n	90	713	1.0	0.787	InParanoid9
YML085C	TUB1	P09733	TUBA3D	P0DPH8	m:n	90	713	1.0	0.787	InParanoid9
YML085C	TUB1	P09733	TUBA1B	P68363	m:n	90	713	1.0	0.844	InParanoid9
YML085C	TUB1	P09733	TUBA4A	P68366	m:n	90	713	1.0	1.0	InParanoid9
YML085C	TUB1	P09733	TUBA3E	Q6PEY2	m:n	90	713	1.0	0.711	InParanoid9
YML085C	TUB1	P09733	TUBA1A	Q71U36	m:n	90	713	1.0	0.829	InParanoid9
YML085C	TUB1	P09733	TUBA1C	Q9BQE3	m:n	90	713	1.0	0.848	InParanoid9
YML085C	TUB1	P09733	TUBA8	Q9NY65	m:n	90	713	1.0	0.602	InParanoid9
YML124C	TUB3	P09734	TUBA3C	P0DPH7	m:n	90	713	0.631	0.787	InParanoid9
YML124C	TUB3	P09734	TUBA3D	P0DPH8	m:n	90	713	0.631	0.787	InParanoid9
YML124C	TUB3	P09734	TUBA1B	P68363	m:n	90	713	0.631	0.844	InParanoid9
YML124C	TUB3	P09734	TUBA4A	P68366	m:n	90	713	0.631	1.0	InParanoid9
YML124C	TUB3	P09734	TUBA3E	Q6PEY2	m:n	90	713	0.631	0.711	InParanoid9
YML124C	TUB3	P09734	TUBA1A	Q71U36	m:n	90	713	0.631	0.829	InParanoid9
YML124C	TUB3	P09734	TUBA1C	Q9BQE3	m:n	90	713	0.631	0.848	InParanoid9
YML124C	TUB3	P09734	TUBA8	Q9NY65	m:n	90	713	0.631	0.602	InParanoid9
YLL039C	UBI4	P0CG63	UBC	P0CG48	1:1	91	711	1.0	1.0	InParanoid9
YOR291W	YPK9	Q12697	ATP13A5	Q4VNC0	m:n	92	699	1.0	0.117	InParanoid9
YOR291W	YPK9	Q12697	ATP13A4	Q4VNC1	m:n	92	699	1.0	0.167	InParanoid9
YOR291W	YPK9	Q12697	ATP13A3	Q9H7F0	m:n	92	699	1.0	1.0	InParanoid9
YOR291W	YPK9	Q12697	ATP13A2	Q9NQ11	m:n	92	699	1.0	0.081	InParanoid9
YLR398C	SKI2	P35207	SKIC2	Q15477	1:1	93	699	1.0	1.0	InParanoid9
YFL039C	ACT1	P60010	ACTB	P60709	m:n	94	696	1.0	1.0	InParanoid9
YFL039C	ACT1	P60010	ACTA2	P62736	m:n	94	696	1.0	0.452	InParanoid9
YFL039C	ACT1	P60010	ACTG1	P63261	m:n	94	696	1.0	1.0	InParanoid9
YFL039C	ACT1	P60010	ACTG2	P63267	m:n	94	696	1.0	0.452	InParanoid9
YFL039C	ACT1	P60010	ACTC1	P68032	m:n	94	696	1.0	0.435	InParanoid9
YFL039C	ACT1	P60010	ACTA1	P68133	m:n	94	696	1.0	0.403	InParanoid9
YFL039C	ACT1	P60010	ACTBL2	Q562R1	m:n	94	696	1.0	0.238	InParanoid9
YFL039C	ACT1	P60010	POTEKP	Q9BYX7	m:n	94	696	1.0	0.095	InParanoid9
YLR389C	STE23	Q06010	IDE	P14735	1:1	95	696	1.0	1.0	InParanoid9
YHR023W	MYO1	P08964	MYH7B	A7E2Y1	m:n	96	694	1.0	0.403	InParanoid9
YHR023W	MYO1	P08964	MYH3	P11055	m:n	96	694	1.0	0.575	InParanoid9
YHR023W	MYO1	P08964	MYH1	P12882	m:n	96	694	1.0	0.661	InParanoid9
YHR023W	MYO1	P08964	MYH7	P12883	m:n	96	694	1.0	1.0	InParanoid9
YHR023W	MYO1	P08964	MYH6	P13533	m:n	96	694	1.0	0.829	InParanoid9
YHR023W	MYO1	P08964	MYH8	P13535	m:n	96	694	1.0	0.647	InParanoid9
YHR023W	MYO1	P08964	MYH10	P35580	m:n	96	694	1.0	0.118	InParanoid9
YHR023W	MYO1	P08964	MYH11	P35749	m:n	96	694	1.0	0.11	InParanoid9
YHR023W	MYO1	P08964	MYH14	Q7Z406	m:n	96	694	1.0	0.095	InParanoid9
YHR023W	MYO1	P08964	MYH2	Q9UKX2	m:n	96	694	1.0	0.63	InParanoid9
YHR023W	MYO1	P08964	MYH13	Q9UKX3	m:n	96	694	1.0	0.61	InParanoid9
YHR023W	MYO1	P08964	MYH15	Q9Y2K3	m:n	96	694	1.0	0.36	InParanoid9
YHR023W	MYO1	P08964	MYH4	Q9Y623	m:n	96	694	1.0	0.631	InParanoid9
YCR057C	PWP2	P25635	PWP2	Q15269	m:n	97	689	1.0	1.0	InParanoid9
YOL090W	MSH2	P25847	MSH2	P43246	1:1	98	680	1.0	1.0	InParanoid9
YGL150C	INO80	P53115	INO80	Q9ULG1	1:1	99	679	1.0	1.0	InParanoid9
YGL234W	ADE57	P07244	GART	P22102	1:1	100	677	1.0	1.0	InParanoid9
YJL111W	CCT7	P42943	CCT7	Q99832	1:1	101	676	1.0	1.0	InParanoid9
YHR027C	RPN1	P38764	PSMD2	Q13200	1:1	102	675	1.0	1.0	InParanoid9
YJR064W	CCT5	P40413	CCT5	P48643	1:1	103	675	1.0	1.0	InParanoid9
YER025W	GCD11	P32481	EIF2S3	P41091	m:n	104	672	1.0	1.0	InParanoid9
YER025W	GCD11	P32481	EIF2S3B	Q2VIR3	m:n	104	672	1.0	0.954	InParanoid9
YBL039C	URA7	P28274	CTPS1	P17812	m:n	105	669	1.0	1.0	InParanoid9
YBL039C	URA7	P28274	CTPS2	Q9NRF8	m:n	105	669	1.0	0.462	InParanoid9
YJR103W	URA8	P38627	CTPS1	P17812	m:n	105	669	0.539	1.0	InParanoid9
YJR103W	URA8	P38627	CTPS2	Q9NRF8	m:n	105	669	0.539	0.462	InParanoid9
YDR212W	TCP1	P12612	TCP1	P17987	1:1	106	668	1.0	1.0	InParanoid9
YML035C	AMD1	P15274	AMPD1	P23109	m:n	107	665	1.0	0.056	InParanoid9
YML035C	AMD1	P15274	AMPD3	Q01432	m:n	107	665	1.0	0.105	InParanoid9
YML035C	AMD1	P15274	AMPD2	Q01433	m:n	107	665	1.0	1.0	InParanoid9
YGR061C	ADE6	P38972	PFAS	O15067	1:1	108	665	1.0	1.0	InParanoid9
YIL142W	CCT2	P39076	CCT2	P78371	1:1	109	664	1.0	1.0	InParanoid9
YGL201C	MCM6	P53091	MCM6	Q14566	1:1	110	663	1.0	1.0	InParanoid9
YNL102W	POL1	P13382	POLA1	P09884	1:1	111	660	1.0	1.0	InParanoid9
YPR019W	MCM4	P30665	MCM4	P33991	1:1	112	657	1.0	1.0	InParanoid9
YER017C	AFG3	P39925	AFG3L2	Q9Y4W6	m:n	113	656	0.073	1.0	InParanoid9
YMR089C	YTA12	P40341	AFG3L2	Q9Y4W6	m:n	113	656	1.0	1.0	InParanoid9
YJR035W	RAD26	P40352	ERCC6	Q03468	1:1	114	654	1.0	1.0	InParanoid9
YKL145W	RPT1	P33299	PSMC2	P35998	1:1	115	649	1.0	1.0	InParanoid9
YHR183W	GND1	P38720	PGD	P52209	m:n	116	648	1.0	1.0	InParanoid9
YGR256W	GND2	P53319	PGD	P52209	m:n	116	648	0.716	1.0	InParanoid9
YJL014W	CCT3	P39077	CCT3	P49368	1:1	117	646	1.0	1.0	InParanoid9
Q0045	COX1	P00401	MT-CO1	P00395	1:1	118	642	1.0	1.0	InParanoid9
YDR037W	KRS1	P15180	KARS1	Q15046	1:1	119	640	1.0	1.0	InParanoid9
YLR274W	MCM5	P29496	MCM5	P33992	1:1	120	634	1.0	1.0	InParanoid9
YHR216W	IMD2	P38697	IMPDH2	P12268	m:n	121	632	0.636	0.638	InParanoid9
YHR216W	IMD2	P38697	IMPDH1	P20839	m:n	121	632	0.636	1.0	InParanoid9
YML056C	IMD4	P50094	IMPDH2	P12268	m:n	121	632	1.0	0.638	InParanoid9
YML056C	IMD4	P50094	IMPDH1	P20839	m:n	121	632	1.0	1.0	InParanoid9
YLR432W	IMD3	P50095	IMPDH2	P12268	m:n	121	632	0.731	0.638	InParanoid9
YLR432W	IMD3	P50095	IMPDH1	P20839	m:n	121	632	0.731	1.0	InParanoid9
YBR196C	PGI1	P12709	GPI	P06744	1:1	122	632	1.0	1.0	InParanoid9
YER043C	SAH1	P39954	AHCY	P23526	1:1	123	631	1.0	1.0	InParanoid9
YDR190C	RVB1	Q03940	RUVBL1	Q9Y265	1:1	124	629	1.0	1.0	InParanoid9
YDL185W	VMA1	P17255	ATP6V1A	P38606	1:1	125	627	1.0	1.0	InParanoid9
YBR080C	SEC18	P18759	NSF	P46459	1:1	126	627	1.0	1.0	InParanoid9
YOR270C	VPH1	P32563	TCIRG1	Q13488	m:n	127	626	1.0	0.117	InParanoid9
YOR270C	VPH1	P32563	ATP6V0A1	Q93050	m:n	127	626	1.0	1.0	InParanoid9
YOR270C	VPH1	P32563	ATP6V0A4	Q9HBG4	m:n	127	626	1.0	0.384	InParanoid9
YOR270C	VPH1	P32563	ATP6V0A2	Q9Y487	m:n	127	626	1.0	0.241	InParanoid9
YMR054W	STV1	P37296	TCIRG1	Q13488	m:n	127	626	0.142	0.117	InParanoid9
YMR054W	STV1	P37296	ATP6V0A1	Q93050	m:n	127	626	0.142	1.0	InParanoid9
YMR054W	STV1	P37296	ATP6V0A4	Q9HBG4	m:n	127	626	0.142	0.384	InParanoid9
YMR054W	STV1	P37296	ATP6V0A2	Q9Y487	m:n	127	626	0.142	0.241	InParanoid9
YPL235W	RVB2	Q12464	RUVBL2	Q9Y230	1:1	128	624	1.0	1.0	InParanoid9
YOR330C	MIP1	P15801	POLG	P54098	1:1	129	624	1.0	1.0	InParanoid9
YPL262W	FUM1	P08417	FH	P07954	1:1	130	622	1.0	1.0	InParanoid9
YJL074C	SMC3	P47037	SMC3	Q9UQE7	1:1	131	621	1.0	1.0	InParanoid9
YIL075C	RPN2	P32565	PSMD1	Q99460	1:1	132	619	1.0	1.0	InParanoid9
YDL143W	CCT4	P39078	CCT4	P50991	1:1	133	617	1.0	1.0	InParanoid9
YMR290C	HAS1	Q03532	DDX18	Q9NVP1	1:1	134	615	1.0	1.0	InParanoid9
YGR264C	MES1	P00958	MARS1	P56192	1:1	135	615	1.0	1.0	InParanoid9
YGR240C	PFK1	P16861	PFKM	P08237	m:n	136	614	0.189	0.541	InParanoid9
YGR240C	PFK1	P16861	PFKL	P17858	m:n	136	614	0.189	0.508	InParanoid9
