systematic	common	uniprot	seq_len
YDR406W	PDR15	Q04182	1529
YGL173C	XRN1	P22147	1528
YHR164C	DNA2	P38859	1522
YKL101W	HSL1	P34244	1518
YDR135C	YCF1	P39109	1515
YDR334W	SWR1	Q05471	1514
YBL034C	STU1	P38198	1513
YOR153W	PDR5	P33302	1511
YPL058C	PDR12	Q02785	1511
YPL167C	REV3	P14284	1504
YLR256W	HAP1	P0CE41	1502
YBL079W	NUP170	P38181	1502
YDR011W	SNQ2	P32568	1501
YIL082W-A	TY3B-I	Q7LHG5	1498
YPL242C	IQG1	Q12280	1495
YDR180W	SCC2	Q04002	1493
YGL150C	INO80	P53115	1489
YGL197W	MDS3	P53094	1487
YKL010C	UFD4	P33202	1483
YIR006C	PAN1	P32521	1480
YJL095W	BCK1	Q01389	1478
YGR281W	YOR1	P53049	1477
YOR291W	YPK9	Q12697	1472
YAL029C	MYO4	P32492	1471
YNL102W	POL1	P13382	1468
YER164W	CHD1	P32657	1468
YLL021W	SPA2	P23201	1466
YOR116C	RPO31	P04051	1460
YIL115C	NUP159	P40477	1460
YEL022W	GEA2	P39993	1459
YBR097W	VPS15	P22219	1454
YLR320W	MMS22	Q06164	1454
YGR116W	SPT6	P23615	1451
YMR190C	SGS1	P35187	1447
YJR092W	BUD4	P47136	1447
YJR137C	MET5	P47169	1442
YDR326C	YSP2	Q06681	1438
YDL112W	TRM3	Q07527	1436
YAL024C	LTE1	P07866	1435
YDR464W	SPP41	P38904	1435
YLR419W	YLR419W	Q06698	1435
YMR280C	CAT8	P39113	1433
YPR189W	SKI3	P17883	1432
YER093C	TSC11	P40061	1430
YNL088W	TOP2	P06786	1428
YCR081W	SRB8	P25648	1427
YDR443C	SSN2	P38931	1420
YMR259C	TRM732	Q03496	1420
YLR086W	SMC4	Q12267	1418
YIL013C	PDR11	P40550	1411
YMR176W	ECM5	Q03214	1411
YJR031C	GEA1	P47102	1408
YCR042C	TAF2	P23255	1407
YPR164W	MMS1	Q06211	1407
YGL131C	SNT2	P53127	1403
YJL042W	MHP1	P43638	1398
YOR011W	AUS1	Q08409	1394
YBR115C	LYS2	P07702	1392
YER105C	NUP157	P40064	1391
YLR466W	YRF1-4	O13559	1382
YBL047C	EDE1	P34216	1381
YJR127C	RSF2	P46974	1380
YGR270W	YTA7	P40340	1379
YIL159W	BNR1	P40450	1375
YML133C	YML133C	Q03099	1374
YLL067C	YLL067C	Q07888	1374
YLL066C	YLL066C	Q99208	1374
YIR019C	FLO11	P08640	1367
YOR336W	KRE5	P22023	1365
YML049C	RSE1	Q04693	1361
YIL126W	STH1	P32597	1359
YDR227W	SIR4	P11978	1358
YGR061C	ADE6	P38972	1358
YJR033C	RAV1	P47104	1357
YDR301W	CFT1	Q06632	1357
YAL017W	PSK1	P31374	1356
YLR371W	ROM2	P51862	1356
YAL026C	DRS2	P39524	1355
YFL036W	RPO41	P13433	1351
YLR384C	IKI3	Q06706	1349
YHR080C	LAM4	P38800	1345
YOL138C	RTC1	Q08281	1341
YLR278C	YLR278C	Q05854	1341
YMR129W	POM152	P39685	1337
YER008C	SEC3	P33332	1336
YNR070W	PDR18	P53756	1333
YBR081C	SPT7	P35177	1332
YCR073C	SSK22	P25390	1331
YDR216W	ADR1	P07248	1323
YAL063C	FLO9	P39712	1322
YIL030C	SSM4	P40318	1319
YGL092W	NUP145	P49687	1317
YPL016W	SWI1	P09547	1314
YNL250W	RAD50	P12753	1312
YDR217C	RAD9	P14737	1309
YLR425W	TUS1	Q06412	1307
YGR014W	MSB2	P32334	1306
YDR159W	SAC3	P46674	1301
YOL075C	YOL075C	Q08234	1294
YKL209C	STE6	P12866	1290
YDR407C	TRS120	Q04183	1289
YOR296W	YOR296W	Q08748	1289
YLR398C	SKI2	P35207	1287
YKL215C	OXP1	P28273	1286
YDL019C	OSH2	Q12451	1283
YMR012W	CLU1	Q03690	1277
YMR076C	PDS5	Q04264	1277
YEL077C	YEL077C	Q3E7X8	1277
YPL137C	GIP3	Q03016	1276
YAL002W	VPS8	P39702	1274
YLR436C	ECM30	Q06673	1274
YDL195W	SEC31	P38968	1273
YKL129C	MYO3	P36006	1272
YOR124C	UBP2	Q01476	1272
YMR128W	ECM16	Q04217	1267
YGL133W	ITC1	P53125	1264
YOR330C	MIP1	P15801	1254
YJL197W	UBP12	P39538	1254
YML081W	TDA9	Q04545	1251
YDR293C	SSD1	P24276	1250
YOR227W	HER1	Q12276	1246
YDR104C	SPO71	Q03868	1245
YBL007C	SLA1	P32790	1244
YDR097C	MSH6	Q03834	1242
YNL091W	NST1	P53935	1240
YNL273W	TOF1	P53840	1238
YGR090W	UTP22	P53254	1237
YJL129C	TRK1	P12685	1235
YFR016C	AIP5	P43597	1233
YJL074C	SMC3	P47037	1230
YMR304W	UBP15	P50101	1230
YNL257C	SIP3	P38717	1229
YPL012W	RRP12	Q12754	1228
YHR155W	LAM1	P38851	1228
YCR033W	SNT1	P25357	1226
YPR095C	SYT1	Q06836	1226
YFL008W	SMC1	P32908	1225
YOR151C	RPB2	P08518	1224
YDR335W	MSN5	P52918	1224
YPL110C	GDE1	Q02979	1223
YJL080C	SCP160	P06105	1222
YIL147C	SLN1	P39928	1220
YLR084C	RAX2	Q12465	1220
YMR109W	MYO5	Q04439	1219
YGL140C	YGL140C	P53120	1219
YKR103W	NFT1	P0CE68	1218
YBR295W	PCA1	P38360	1216
YEL031W	SPF1	P39986	1215
YPR026W	ATH1	P48016	1211
YPR122W	AXL1	P40851	1208
YPR010C	RPA135	P22138	1203
YML091C	RPM2	Q02773	1202
YDL145C	COP1	P53622	1201
YLR189C	ATG26	Q06321	1198
YAR009C	TY1B-A	O13527	1196
YPL226W	NEW1	Q08972	1196
YKR096W	ESL2	P36168	1195
YJL076W	NET1	P47035	1189
YAR042W	SWH1	P35845	1188
YEL025C	YEL025C	P39991	1188
YGL251C	HFM1	P51979	1187
YOR086C	TCB1	Q12466	1186
YNL106C	INP52	P50942	1183
YPL217C	BMS1	Q08965	1183
YBR218C	PYC2	P32327	1180
YGL062W	PYC1	P11154	1178
YGR233C	PHO81	P17442	1178
YNL087W	TCB2	P48231	1178
YPR049C	ATG11	Q12527	1178
YKL201C	MNN4	P36044	1178
YLR272C	YCS4	Q06156	1176
YOL078W	AVO1	Q08236	1176
YJL092W	SRS2	P12954	1174
YJR041C	URB2	P47108	1174
YGL006W	PMC1	P38929	1173
YKL038W	RGT1	P32862	1170
YFR031C	SMC2	P38989	1170
YPL006W	NCR1	Q12200	1170
YLR032W	RAD5	P32849	1169
YKR102W	FLO10	P36170	1169
YBR023C	CHS3	P29465	1165
YNL054W	VAC7	P53950	1165
YHR158C	KEL1	P38853	1164
YJR151C	DAN4	P47179	1161
YAL001C	TFC3	P34111	1160
YKR082W	NUP133	P36161	1157
YJL020C	BBC1	P47068	1157
YGR070W	ROM1	P53046	1155
YBL105C	PKC1	P24583	1151
YJR090C	GRR1	P24814	1151
YIL048W	NEO1	P40527	1151
YIL026C	IRR1	P40541	1150
YOR207C	RET1	P22276	1149
YDR128W	MTC5	Q03897	1148
YBL066C	SEF1	P34228	1148
YLR096W	KIN2	P13186	1147
YHL023C	NPR3	P38742	1146
YLR410W	VIP1	Q06685	1146
YGR097W	ASK10	P48361	1146
YER013W	PRP22	P24384	1145
YER129W	SAK1	P38990	1142
YDR507C	GIN4	Q12263	1142
YMR317W	YMR317W	Q04893	1140
YGR170W	PSD2	P53037	1138
YOR188W	MSB1	P21339	1137
YML117W	NAB6	Q03735	1134
YBL022C	PIM1	P36775	1133
YPR022C	YPR022C	Q12139	1133
YGL151W	NUT1	P53114	1132
YKL105C	SEG2	P34250	1132
YNL192W	CHS1	P08004	1131
YAL019W	FUN30	P31380	1131
YBR245C	ISW1	P38144	1129
YPL115C	BEM3	P32873	1128
YML104C	MDM1	Q01846	1127
YDL231C	BRE4	Q07660	1125
YGR134W	CAF130	P53280	1122
YER176W	ECM32	P32644	1121
YPR030W	CSR2	Q12734	1121
YJR039W	YJR039W	P47107	1121
YBR235W	VHC1	P38329	1120
YOR304W	ISW2	Q08773	1120
YJR109C	CPA2	P03965	1118
YIL151C	ESL1	P40456	1118
YBL101C	ECM21	P38167	1117
YNR067C	DSE4	P53753	1117
YOL087C	DUF1	Q99247	1116
YNR065C	YNR065C	P53751	1116
YHR079C	IRE1	P32361	1115
YGL094C	PAN2	P53010	1115
YLR383W	SMC6	Q12749	1114
YER110C	KAP123	P40069	1113
YMR047C	NUP116	Q02630	1113
YIR033W	MGA2	P40578	1113
YBL063W	KIP1	P28742	1111
YNL163C	RIA1	P53893	1110
YBR059C	AKL1	P38080	1108
YOR109W	INP53	Q12271	1107
YPL060C-A	TY4B-P	A0A0B7P3V8	1104
YKL092C	BUD2	P33314	1104
YGR094W	VAS1	P07806	1104
YMR218C	TRS130	Q03660	1102
YPL216W	YPL216W	Q08964	1102
YOL045W	PSK2	Q08217	1101
YPL022W	RAD1	P06777	1100
YKL205W	LOS1	P33418	1100
YML100W	TSL1	P38427	1098
YDL102W	POL3	P15436	1097
YCL061C	MRC1	P25588	1096
YBR150C	TBS1	P38114	1094
YER111C	SWI4	P25302	1093
YOL034W	SMC5	Q08204	1093
YDL215C	GDH2	P33327	1092
YDR040C	ENA1	P13587	1091
YDR039C	ENA2	Q01896	1091
YDR038C	ENA5	Q12691	1091
YJR091C	JSN1	P47135	1091
YPL160W	CDC60	P26637	1090
YMR308C	PSE1	P32337	1089
YHR077C	NMD2	P38798	1089
YMR196W	YMR196W	Q04336	1088
YLR223C	IFH1	P39520	1085
YJR035W	RAD26	P40352	1085
YGR218W	CRM1	P30822	1084
YGL156W	AMS1	P22855	1083
YIL112W	HOS4	P40480	1083
YPR115W	RGC1	Q06108	1083
YLR071C	RGR1	P19263	1082
YKL020C	SPT23	P35210	1082
YOL051W	GAL11	P19659	1081
YGL016W	KAP122	P32767	1081
YOL100W	PKH2	Q12236	1081
YHR102W	KIC1	P38692	1080
YHR119W	SET1	P38827	1080
YOL145C	CTR9	P89105	1077
YDR291W	HRQ1	Q05549	1077
YOR098C	NUP1	P20676	1076
YER033C	ZRG8	P40021	1076
YHR211W	FLO5	P38894	1075
YPR042C	PUF2	Q12221	1075
YFL034W	MIL1	P43564	1073
YJL050W	MTR4	P47047	1073
YPR097W	LEC1	Q06839	1073
YBL076C	ILS1	P09436	1072
YKR086W	PRP16	P15938	1071
YDL185W	VMA1	P17255	1071
YIL156W	UBP7	P40453	1071
YHR154W	RTT107	P38850	1070
YGL013C	PDR1	P12383	1068
YNL267W	PIK1	P39104	1066
YGR274C	TAF1	P46677	1066
YPR055W	SEC8	P32855	1065
YCR067C	SED4	P25365	1065
YDR122W	KIN1	P13185	1064
YML010W	SPT5	P27692	1063
YDR310C	SUM1	P46676	1062
YNL278W	CAF120	P53836	1060
YJL098W	SAP185	P40856	1058
YLR039C	RIC1	P40395	1056
YNL132W	KRE33	P53914	1056
YML075C	HMG1	P12683	1054
YMR261C	TPS3	P38426	1054
YDR017C	KCS1	Q12494	1050
YDL077C	VAM6	Q07468	1049
YCR011C	ADP1	P25371	1049
YJR132W	NMD5	P46970	1048
YLL016W	SDC25	P0CF34	1048
YAL051W	OAF1	P39720	1047
YJL084C	ALY2	P47029	1046
YDL223C	HBT1	Q07653	1046
YLR450W	HMG2	P12684	1045
YLR249W	YEF3	P16521	1044
YNL014W	HEF3	P53978	1044
YKL197C	PEX1	P24004	1043
YNL327W	EGT2	P42835	1041
YER114C	BOI2	P39969	1040
YPL009C	RQC2	Q12532	1038
YKL033W	TTI1	P36097	1038
YBL104C	SEA4	P38164	1038
YCL024W	KCC4	P25389	1037
YKL057C	NUP120	P35729	1037
YOL098C	YOL098C	Q12496	1037
YGR125W	VSB1	P53273	1036
YGL207W	SPT16	P32558	1035
YDR325W	YCG1	Q06680	1035
YFR030W	MET10	P39692	1035
YIL031W	ULP2	P40537	1034
YMR189W	GCV2	P49095	1034
YKR028W	SAP190	P36123	1033
YPR032W	SRO7	Q12038	1033
YIL128W	MET18	P40469	1032
YPL125W	KAP120	Q02932	1032
YPR204W	YPR204W	Q08995	1032
YGR258C	RAD2	P07276	1031
YNL329C	PEX6	P33760	1030
YOL089C	HAL9	Q12180	1030
YMR231W	PEP5	P12868	1029
YHR082C	KSP1	P38691	1029
YFL025C	BST1	P43571	1029
YLR389C	STE23	Q06010	1027
YLR187W	SKG3	Q06315	1026
YGR047C	TFC4	P33339	1025
YDR060W	MAK21	Q12176	1025
YBL037W	APL3	P38065	1025
YKL210W	UBA1	P22515	1024
YEL055C	POL5	P39985	1022
YGR188C	BUB1	P41695	1021
YCR092C	MSH3	P25336	1018
YDL240W	LRG1	P35688	1017
YGL201C	MCM6	P53091	1017
YLL031C	GPI13	Q07830	1017
YIL125W	KGD1	P20967	1014
YDR028C	REG1	Q00816	1014
YOR349W	CIN1	P40987	1014
YPL183C	RTT10	Q08924	1013
YDR495C	VPS3	P23643	1011
YBL106C	SRO77	P38163	1010
YDR379W	RGA2	Q06407	1009
YKL173W	SNU114	P36048	1008
YOR127W	RGA1	P39083	1007
YOR048C	RAT1	Q02792	1006
YDR270W	CCC2	P38995	1004
YGL241W	KAP114	P53067	1004
YAL035W	FUN12	P39730	1002
YFR040W	SAP155	P43612	1002
YPL040C	ISM1	P48526	1002
YOL021C	DIS3	Q08162	1001
YEL061C	CIN8	P27895	1000
YNL123W	NMA111	P53920	997
YDL149W	ATG9	Q12142	997
YHR073W	OSH3	P38713	996
YOR363C	PIP2	P52960	996
YDL031W	DBP10	Q12389	995
YIL169C	CSS1	P40442	995
YHR027C	RPN1	P38764	993
YIR002C	MPH1	P40562	993
YDR080W	VPS41	P38959	992
YOL084W	PHM7	Q12252	991
YDR430C	CYM1	P32898	989
YGR240C	PFK1	P16861	987
YOR346W	REV1	P12689	985
YLR138W	NHA1	Q99271	985
YDL073W	YDL073W	Q07454	984
YOR335C	ALA1	P40825	983
YDR359C	EAF1	Q06337	982
YMR185W	RTP1	Q12751	981
YBL085W	BOI1	P38041	980
YKL015W	PUT3	P25502	979
YLR442C	SIR3	P06701	978
YBR074W	PFF1	P38244	976
YMR275C	BUL1	P48524	976
YBL005W	PDR3	P33200	976
YBR084W	MIS1	P09440	975
YIL073C	SPO22	P40511	975
YAR019C	CDC15	P27636	974
YNL236W	SIN4	P32259	974
YDR238C	SEC26	P41810	973
YOR160W	MTR10	Q99189	972
YEL032W	MCM3	P24279	971
YMR080C	NAM7	P30771	971
YMR288W	HSH155	P49955	971
YDR166C	SEC5	P89102	971
YNL118C	DCP2	P53550	970
YIR023W	DAL81	P21657	970
YMR287C	DSS1	P39112	969
YKL064W	MNR2	P35724	969
YNL243W	SLA2	P33338	968
YOL155C	HPF1	Q05164	967
YBR112C	CYC8	P14922	966
YLR067C	PET309	P32522	965
YNL023C	FAP1	P53971	965
YOL090W	MSH2	P25847	964
YBR079C	RPG1	P38249	964
YIL130W	ASG1	P40467	964
YBR038W	CHS2	P14180	963
YDL190C	UFD2	P54860	961
YDL035C	GPR1	Q12361	961
YGL238W	CSE1	P33307	960
YMR086W	SEG1	Q04279	960
YMR205C	PFK2	P16862	959
YHR120W	MSH1	P25846	959
YKL068W	NUP100	Q02629	959
YBR073W	RDH54	P38086	958
YGL227W	VID30	P53076	958
YOL063C	CRT10	Q08226	957
YGR140W	CBF2	P32504	956
YEL043W	YEF3	P32618	956
YBR229C	ROT2	P38138	954
YJR089W	BIR1	P47134	954
YCR017C	CWH43	P25618	953
YNL127W	FAR11	P53917	953
YMR266W	RSN1	Q03516	953
YKL157W	APE2	P32454	952
YGR162W	TIF4631	P39935	952
YGL167C	PMR1	P13586	950
YGR100W	MDR1	P53258	950
YDR421W	ARO80	Q04052	950
YMR019W	STB4	P50104	949
YPL036W	PMA2	P19657	947
YBR108W	AIM3	P38266	947
YGR204W	ADE3	P07245	946
YBR086C	IST2	P38250	946
YIL137C	TMA108	P40462	946
YIL002C	INP51	P40559	946
YLL003W	SFI1	Q12369	946
YIL075C	RPN2	P32565	945
YDR356W	SPC110	P32380	944
YJL154C	VPS35	P34110	944
YML076C	WAR1	Q03631	944
YDR395W	SXM1	Q04175	944
YOR005C	DNL4	Q08387	944
YLR129W	DIP2	Q12220	943
YMR124W	YMR124W	P39523	943
YML109W	ZDS2	P54786	942
YHL007C	STE20	Q03497	939
YLR409C	UTP21	Q06078	939
YPR104C	FHL1	P39521	936
YGR089W	NNF2	P53253	936
YNL287W	SEC21	P32074	935
YJR061W	MNN14	P40355	935
YPR019W	MCM4	P30665	933
YPL195W	APL5	Q08951	932
YOR219C	STE13	P33894	931
YHR098C	SFB3	P38810	929
YKL171W	NNK1	P36003	928
YER075C	PTP3	P40048	928
YGR056W	RSC1	P53236	928
YPR135W	CTF4	Q01454	927
YDR069C	DOA4	P32571	926
YIL109C	SEC24	P40482	926
YDR081C	PDC2	P32896	925
YDL220C	CDC13	P32797	924
YBR203W	COS111	P38308	924
YCR057C	PWP2	P25635	923
YCR037C	PHO87	P25360	923
YER024W	YAT2	P40017	923
YKL050C	YKL050C	P35736	922
YIL017C	VID28	P40547	921
YML111W	BUL2	Q03758	920
YKL165C	MCD4	P36051	919
YBR033W	EDS1	P38073	919
YGL008C	PMA1	P05030	918
YLR148W	PEP3	P27801	918
YBR017C	KAP104	P38217	918
YDR103W	STE5	P32917	917
YGL093W	SPC105	P53148	917
YKR021W	ALY1	P36117	915
YMR273C	ZDS1	P50111	915
YGL049C	TIF4632	P39936	914
YOR113W	AZF1	P41696	914
YML065W	ORC1	P54784	914
YDR213W	UPC2	Q12151	913
YER151C	UBP3	Q01477	912
YLR309C	IMH1	Q06704	911
YGL233W	SEC15	P22224	910
YKR089C	TGL4	P36165	910
YGL141W	HUL5	P53119	910
YGL036W	VIR1	P53185	909
YLL026W	HSP104	P31539	908
YNL321W	VNX1	P42839	908
YBR289W	SNF5	P18480	905
YLR014C	PPR1	P07272	904
YDR409W	SIZ1	Q04195	904
YNL313C	EMW1	P42842	904
YPR160W	GPH1	P06738	902
YPR021C	AGC1	Q12482	902
YIL047C	SYG1	P40528	902
YLR373C	VID22	Q05934	901
YPL150W	YPL150W	Q12152	901
YDL154W	MSH5	Q12175	901
YDR006C	SOK1	P40317	901
YKR009C	FOX2	Q02207	900
YBR225W	YBR225W	P38321	900
YML093W	UTP14	Q04500	899
YLR336C	SGD1	Q06132	899
YBR055C	PRP6	P19735	899
YGL163C	RAD54	P32863	898
YDR466W	PKH3	Q03306	898
YMR066W	SOV1	Q04748	898
YGL180W	ATG1	P53104	897
YOR371C	GPB1	Q08886	897
YER047C	SAP1	P39955	897
YDR074W	TPS2	P31688	896
YPL126W	NAN1	Q02931	896
YLR382C	NAM2	P11325	894
YNR013C	PHO91	P27514	894
YDR096W	GIS1	Q03833	894
YPL249C	GYP5	Q12344	894
YBL014C	RRN6	P32786	894
YNR047W	FPK1	P53739	893
YOR129C	AFI1	Q99222	893
YLR092W	SUL2	Q12325	893
YJR036C	HUL4	P40985	892
YNL233W	BNI4	P53858	892
YMR054W	STV1	P37296	890
YGL137W	SEC27	P41811	889
YLR357W	RSC2	Q06488	889
YDR027C	VPS54	Q12071	889
YKR050W	TRK2	P28584	889
YER070W	RNR1	P21524	888
YLR045C	STU2	P46675	888
YGL014W	PUF4	P25339	888
YPR089W	YPR089W	O13585	888
YJL070C	YJL070C	P40361	888
YPR112C	MRD1	Q06106	887
YLR451W	LEU3	P08638	886
YOR058C	ASE1	P50275	885
YDR303C	RSC3	Q06639	885
YDL117W	CYK3	Q07533	885
YDL194W	SNF3	P10870	884
YDR206W	EBS1	Q03466	884
YLR318W	EST2	Q06163	884
YHR056C	RSC30	P38781	883
YGR238C	KEL2	P50090	882
YPL248C	GAL4	P04386	881
YOR211C	MGM1	P32266	881
YKL073W	LHS1	P36016	881
YJL078C	PRY3	P47033	881
YOR141C	ARP8	Q12386	881
YJL198W	PHO90	P39535	881
YAL056W	GPB2	P39717	880
YJL056C	ZAP1	P47043	880
YLR386W	VAC14	Q06708	880
YML099C	ARG81	P05085	880
YNL325C	FIG4	P42837	879
YLL013C	PUF3	Q07807	879
YBR281C	DUG2	P38149	878
YFL003C	MSH4	P40965	878
YPR194C	OPT2	Q06593	877
YDR186C	SND1	Q04007	877
YNR011C	PRP2	P20095	876
YER032W	FIR1	P40020	876
YNL049C	SFB2	P53953	876
YDR475C	JIP4	Q03361	876
YLR240W	VPS34	P22543	875
YDR285W	ZIP1	P31111	875
YOR038C	HIR2	P32480	875
YNL221C	POP1	P41812	875
YNL082W	PMS1	P14242	873
YJL094C	KHA1	P40309	873
YOR329C	SCD5	P34758	872
YLR166C	SEC10	Q06245	871
YCR030C	SYP1	P25623	870
YPL147W	PXA1	P41909	870
YGR157W	CHO2	P05374	869
YIL066C	RNR3	P21672	869
YPL268W	PLC1	P32383	869
YDR089W	VTC5	P38966	869
YBL023C	MCM2	P29469	868
YPL174C	NIP100	P33420	868
YLL005C	SPO75	Q07798	868
YPL141C	FRK1	Q03002	865
YGR150C	CCM1	P48237	864
YDR351W	SBE2	P42223	864
YER069W	ARG5,6	Q01217	863
YKR064W	OAF3	P36023	863
YMR165C	PAH1	P32567	862
YNL068C	FKH2	P41813	862
YLR001C	YLR001C	Q07895	862
YPL008W	CHL1	P22516	861
YMR125W	STO1	P34160	861
YOR217W	RFC1	P38630	861
